FP_ID,SENSOR_ID,VDL_ID,FROM_DATETIME,TO_DATETIME,LOCATION_ID,LAT,LON,GEproLAT,GEproLON,CLASS
0F0C,PI040298AD5I213966,MN22,2018-09-04 9:07:16,2018-10-04 9:07:16,MySbD5DVVV1534867996413,37.14026223,-8.635092601,,,MC-TEST
0F04,PI040298AD5I213967,MN26,2018-09-04 9:07:16,2018-10-04 9:07:16,v9vbFeB7vf1534868821800,37.14031525,-8.63510937,,,MA-TEST
0F48,PI040298AD5I210985,MN27,2018-09-04 9:07:16,2018-10-04 9:07:16,Q4lXEbWcrK1534869086737,37.14029685,-8.635182897,,,MAb-TEST
1BF2,PI040298AD5I213880,OG06,2018-09-04 9:07:16,2018-10-04 9:07:16,CmSxAzgehi1535299936326,37.14069132,-8.633142653,,,GRID
1CA2,PI040298AD5G201682,MN34,2018-09-04 9:07:16,2018-10-04 9:07:16,yiS8fE2DmG1534871621291,37.14040579,-8.63541277,,,MCb-TEST
1E8C,PI040298AD5I212674,MN39,2018-09-04 9:07:16,2018-10-04 9:07:16,1NJjN6QpvM1534872498323,37.14045986,-8.635250569,,,MA-TEST
2BB7,PI040298AD5I212632,SB12,2018-09-04 9:07:16,2018-10-04 9:07:16,0wuGkGKKZ71535456384667,37.13822097,-8.635243077,,,GRID
2CD5,PI040298AD5I211999,MN02,2018-09-04 9:07:16,2018-10-04 9:07:16,Fq2FXgQLM81534849197309,37.13996066,-8.63466836,,,HM-TEST
2CF7,PI040298AD5I214139,SS07,2018-09-04 9:07:16,2018-10-04 9:07:16,KDhBY6w3ex1537785253361,37.1391043,-8.63357598,,,SW1b-TEST
2D1F,PI040298AD5I212135,TS10,2018-09-04 9:07:16,2018-10-04 9:07:16,X2KKrNKaU61535452887181,37.13886649,-8.6345981,,,GRID
2D8F,PI040298AD5G200816,TS14,2018-09-04 9:07:16,2018-10-04 9:07:16,Cvg7QlZ48P1535451367123,37.1391693,-8.634657257,,,GRID
2D46,PI040298AD5I212139,TS06,2018-09-04 9:07:16,2018-10-04 9:07:16,bFqZZnoxk21535454015361,37.13871824,-8.634554454,,,GRID
2.00E+26,PI040298AD5I211031,SS40,2018-09-04 9:07:16,2018-10-04 9:07:16,3th6MKTFWB1535217877515,0,0,37.139197°,-8.632476°,HPG-TEST
2EB1,PI040298AD5I211046,TS15,2018-09-04 9:07:16,2018-10-04 9:07:16,ywUpTzoVJg1535451070883,37.13909171,-8.634292355,,,GRID
2F1D,PI040298AD5I213013,MN16,2018-09-04 9:07:16,2018-10-04 9:07:16,I7EF0S7WP71534866900848,37.1402362,-8.634870131,,,MA-TEST
3A30,PI040298AD5I211083,MN04,2018-09-04 9:07:16,2018-10-04 9:07:16,eG9zvVzB7z1534849663856,37.13988197,-8.635260695,,,HM-TEST
