FP_ID,VDL_ID,CLASS,LAT,LON,LOCATION_ID,3b,FROM_DATETIME,TO_DATETIME,GEproLAT,GEproLON
A45D,,,0.0,0.0,9Ksnvh6eL41535276224824,,2018-09-04 09:07:16,2018-10-04 09:07:16,,
65C0,,,0.0,0.0,fKWmN3KTxh1535274748231,,2018-09-04 09:07:16,2018-10-04 09:07:16,,
66C4,,,0.0,0.0,J1zIe514IJ1535279682786,,2018-09-04 09:07:16,2018-10-04 09:07:16,,
54AD,,,0.0,0.0,e816PTeYqx1535275312708,,2018-09-04 09:07:16,2018-10-04 09:07:16,,
6A22,Burgau2-6a22,,37.0720011537,-8.77515150648,FDCtY3Myk01534956289457,PI040298AD5I208350,2018-09-04 09:07:16,2018-10-04 09:07:16,,
0564,ER01,GRID,0.0,0.0,or2Co8W8C61535299808350,PI040298AD5I213170,2018-09-04 09:07:16,2018-10-04 09:07:16, 37.140820°, -8.632846°
533F,ER02,GRID,37.1408710655,-8.63255301863,tax5p6Okho1535449241608,PI040298AD5I213454,2018-09-04 09:07:16,2018-10-04 09:07:16,,
9431,ER03,GRID,37.1393443443,-8.63278556294,pUv962F8pH1535216200274,PI040298AD5I211347,2018-09-04 09:07:16,2018-10-04 09:07:16,,
4704,ER04,GRID,0.0,0.0,agl8HPwFpS1535278218371,PI040298AD5I214095,2018-09-04 09:07:16,2018-10-04 09:07:16, 37.140972°, -8.631911°
5B33,ER05,GRID,37.1409019334,-8.63163603481,NrudXlJXLE1535450050025,PI040298AD5I210925,2018-09-04 09:07:16,2018-10-04 09:07:16,,
4EFA,ER06,GRID,37.1408468579,-8.63132418111,2UpXZ9qsrK1535450249236,PI040298AD5I212037,2018-09-04 09:07:16,2018-10-04 09:07:16,,
6A37,FR01,GRID,37.1400534313,-8.63033387872,5hI12wAFjv1531386302928,PI040298AD5I208079,2018-09-04 09:07:16,2018-10-04 09:07:16,,
9417,FR02,GRID,0.0,0.0,syYfkQ8xNC1531386630830,PI040298AD5I211342,2018-09-04 09:07:16,2018-10-04 09:07:16, 37.140090°, -8.630561°
5968,FW01,GRID,37.1393363058,-8.63313700882,GMlIHZ3Woe1535192572102,PI040298AD5I206247,2018-09-04 09:07:16,2018-10-04 09:07:16,,
5991,MN01,GRID,37.1394531703,-8.63081180162,oQPpcXdSeR1531387325357,PI040298AD5I208350,2018-09-04 09:07:16,2018-10-04 09:07:16,,
2CD5,MN02,HM-TEST,37.1399606587,-8.63466836005,Fq2FXgQLM81534849197309,PI040298AD5I212110,2018-09-04 09:07:16,2018-10-04 09:07:16,,
5D17,MN03,HM-CONTROL,37.1399606587,-8.63466836005,LjM8kSdx3z1534849423584,PI040298AD5I211999,2018-09-04 09:07:16,2018-10-04 09:07:16,,
3A30,MN04,HM-TEST,37.1398819704,-8.63526069499,eG9zvVzB7z1534849663856,PI040298AD5I210872,2018-09-04 09:07:16,2018-10-04 09:07:16,,
392B,MN05,HM-CONTROL,37.1398819704,-8.63526069499,mDOSxUTaS01534849950866,PI040298AD5I211083,2018-09-04 09:07:16,2018-10-04 09:07:16,,
41BE,MN06,HM-TEST,37.1398819704,-8.63526069499,kkDlUEz5zD1534850226684,PI040298AD5I213420,2018-09-04 09:07:16,2018-10-04 09:07:16,,
35E2,MN07,HM-CONTROL,37.1398404526,-8.63566548563,HF0Z1gIeVp1534850507740,PI040298AD5I211129,2018-09-04 09:07:16,2018-10-04 09:07:16,,
1099,MN08,HM-TEST,37.14018467,-8.63503453068,ub684UMsBv1534867121078,PI040298AD5I212141,2018-09-04 09:07:16,2018-10-04 09:07:16,,
5B8B,MN09,HM-CONTROL,37.1398404526,-8.63566548563,9eTwz2TQy21534851108880,PI040298AD5I212991,2018-09-04 09:07:16,2018-10-04 09:07:16,,
5D46,MN10,HM-CONTROL,37.1400463053,-8.63509280903,VKTuZBe3Jr1534851436104,PI040298AD5I211603,2018-09-04 09:07:16,2018-10-04 09:07:16,,
