LAT;;;;;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386
LON;;;;;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775
ASL;;;;;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000
CITY;;;;;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount raw;Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;10;12;00;00;19.88;90.00;1018.50;0.00;0.00;74.00;100.00;74.00;10.00;0.00;0.00;6.92;207.90;11.98;212.74;30.97;250.30;12.24
2018;10;12;01;00;20.07;87.00;1018.60;0.00;0.00;15.00;26.00;0.00;15.00;0.00;0.00;8.29;214.38;13.39;216.25;29.69;247.17;14.40
