NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 07CF,PI040298AD5I212610,2018-08-28 10:36:50,-1.0,133.68,9.0,47.24
Flower power 07CF,PI040298AD5I212610,2018-08-28 10:51:50,-1.0,140.36,9.26,49.3
Flower power 07CF,PI040298AD5I212610,2018-08-28 11:06:50,-1.0,147.73,9.26,49.24
Flower power 07CF,PI040298AD5I212610,2018-08-28 11:21:50,-1.0,149.69,9.64,50.18
Flower power 07CF,PI040298AD5I212610,2018-08-28 11:36:50,-1.0,153.76,9.26,50.77
Flower power 07CF,PI040298AD5I212610,2018-08-28 11:51:50,-1.0,155.88,9.0,51.02
Flower power 07CF,PI040298AD5I212610,2018-08-28 12:06:50,-1.0,160.29,9.64,52.24
Flower power 07CF,PI040298AD5I212610,2018-08-28 12:21:50,-1.0,160.29,9.0,52.18
Flower power 07CF,PI040298AD5I212610,2018-08-28 12:36:50,-1.0,151.7,9.13,53.69
Flower power 07CF,PI040298AD5I212610,2018-08-28 12:51:50,-1.0,162.59,9.38,52.61
Flower power 07CF,PI040298AD5I212610,2018-08-28 13:06:50,-1.0,162.59,9.26,53.3
Flower power 07CF,PI040298AD5I212610,2018-08-28 13:21:50,-1.0,162.59,9.51,52.99
Flower power 07CF,PI040298AD5I212610,2018-08-28 13:36:50,-1.0,160.29,9.38,53.81
Flower power 07CF,PI040298AD5I212610,2018-08-28 13:51:50,-1.0,158.06,9.64,52.99
Flower power 07CF,PI040298AD5I212610,2018-08-28 14:06:50,-1.0,151.7,9.64,51.32
Flower power 07CF,PI040298AD5I212610,2018-08-28 14:21:50,-1.0,147.73,9.26,51.81
Flower power 07CF,PI040298AD5I212610,2018-08-28 14:36:50,-1.0,143.95,9.51,51.26
Flower power 07CF,PI040298AD5I212610,2018-08-28 14:51:50,-1.0,138.63,9.26,47.97
Flower power 07CF,PI040298AD5I212610,2018-08-28 15:06:50,-1.0,132.11,9.13,49.06
Flower power 07CF,PI040298AD5I212610,2018-08-28 15:21:50,-1.0,124.74,9.51,48.66
Flower power 07CF,PI040298AD5I212610,2018-08-28 15:36:50,-1.0,115.68,9.64,48.26
Flower power 07CF,PI040298AD5I212610,2018-08-28 15:51:50,-1.0,103.78,9.64,46.52
Flower power 07CF,PI040298AD5I212610,2018-08-28 16:06:50,-1.0,93.24,9.64,44.32
Flower power 07CF,PI040298AD5I212610,2018-08-28 16:21:50,-1.0,70.82,9.64,41.46
Flower power 07CF,PI040298AD5I212610,2018-08-28 16:36:50,-1.0,58.5,9.77,40.72
Flower power 07CF,PI040298AD5I212610,2018-08-28 16:51:50,-1.0,66.46,9.64,39.46
Flower power 07CF,PI040298AD5I212610,2018-08-28 17:06:50,-1.0,44.51,9.51,37.15
Flower power 07CF,PI040298AD5I212610,2018-08-28 17:21:50,-1.0,42.02,9.64,32.27
Flower power 07CF,PI040298AD5I212610,2018-08-28 17:36:50,-1.0,37.37,9.64,31.2
Flower power 07CF,PI040298AD5I212610,2018-08-28 17:51:50,-1.0,22.73,9.38,28.6
Flower power 07CF,PI040298AD5I212610,2018-08-28 18:06:50,-1.0,20.73,9.38,26.33
Flower power 07CF,PI040298AD5I212610,2018-08-28 18:21:50,-1.0,6.88,9.64,23.65
Flower power 07CF,PI040298AD5I212610,2018-08-28 18:36:50,-1.0,4.39,9.51,22.21
Flower power 07CF,PI040298AD5I212610,2018-08-28 18:51:50,-1.0,2.28,9.64,21.26
Flower power 07CF,PI040298AD5I212610,2018-08-28 19:06:50,-1.0,0.67,9.64,20.4
Flower power 07CF,PI040298AD5I212610,2018-08-28 19:21:50,-1.0,0.1,9.38,19.72
Flower power 07CF,PI040298AD5I212610,2018-08-28 19:36:50,-1.0,0.1,9.51,19.33
Flower power 07CF,PI040298AD5I212610,2018-08-28 19:51:50,-1.0,0.1,9.64,19.33
Flower power 07CF,PI040298AD5I212610,2018-08-28 20:06:50,-1.0,0.1,9.9,19.23
Flower power 07CF,PI040298AD5I212610,2018-08-28 20:21:50,-1.0,0.1,9.64,19.18
Flower power 07CF,PI040298AD5I212610,2018-08-28 20:36:50,-1.0,0.1,9.64,18.93
Flower power 07CF,PI040298AD5I212610,2018-08-28 20:51:50,-1.0,0.1,9.9,18.74
Flower power 07CF,PI040298AD5I212610,2018-08-28 21:06:50,-1.0,0.1,9.38,18.49
Flower power 07CF,PI040298AD5I212610,2018-08-28 21:21:50,-1.0,0.1,9.38,18.54
Flower power 07CF,PI040298AD5I212610,2018-08-28 21:36:50,-1.0,0.1,9.64,18.64
Flower power 07CF,PI040298AD5I212610,2018-08-28 21:51:50,-1.0,0.1,9.64,18.69
Flower power 07CF,PI040298AD5I212610,2018-08-28 22:06:50,-1.0,0.1,9.9,18.59
Flower power 07CF,PI040298AD5I212610,2018-08-28 22:21:50,-1.0,0.1,9.77,18.64
Flower power 07CF,PI040298AD5I212610,2018-08-28 22:36:50,-1.0,0.1,9.38,18.59
Flower power 07CF,PI040298AD5I212610,2018-08-28 22:51:50,-1.0,0.1,9.51,18.54
Flower power 07CF,PI040298AD5I212610,2018-08-28 23:06:50,-1.0,0.1,9.64,18.54
Flower power 07CF,PI040298AD5I212610,2018-08-28 23:21:50,-1.0,0.1,9.64,18.44
Flower power 07CF,PI040298AD5I212610,2018-08-28 23:36:50,-1.0,0.1,9.64,18.39
Flower power 07CF,PI040298AD5I212610,2018-08-28 23:51:50,-1.0,0.1,9.38,18.44
Flower power 07CF,PI040298AD5I212610,2018-08-29 00:06:50,-1.0,0.1,9.77,18.24
Flower power 07CF,PI040298AD5I212610,2018-08-29 00:21:50,-1.0,0.1,9.9,18.19
Flower power 07CF,PI040298AD5I212610,2018-08-29 00:36:50,-1.0,0.1,9.64,18.08
Flower power 07CF,PI040298AD5I212610,2018-08-29 00:51:50,-1.0,0.1,9.38,18.08
Flower power 07CF,PI040298AD5I212610,2018-08-29 01:06:50,-1.0,0.1,9.38,17.88
Flower power 07CF,PI040298AD5I212610,2018-08-29 01:21:50,-1.0,0.1,9.9,17.68
Flower power 07CF,PI040298AD5I212610,2018-08-29 01:36:50,-1.0,0.1,9.51,17.73
Flower power 07CF,PI040298AD5I212610,2018-08-29 01:51:50,-1.0,0.1,9.26,17.68
Flower power 07CF,PI040298AD5I212610,2018-08-29 02:06:50,-1.0,0.1,9.77,17.88
Flower power 07CF,PI040298AD5I212610,2018-08-29 02:21:50,-1.0,0.1,9.26,17.58
Flower power 07CF,PI040298AD5I212610,2018-08-29 02:36:50,-1.0,0.1,9.26,17.38
Flower power 07CF,PI040298AD5I212610,2018-08-29 02:51:50,-1.0,0.1,9.13,17.02
Flower power 07CF,PI040298AD5I212610,2018-08-29 03:06:50,-1.0,0.1,9.13,16.34
Flower power 07CF,PI040298AD5I212610,2018-08-29 03:21:50,-1.0,0.1,9.26,16.34
Flower power 07CF,PI040298AD5I212610,2018-08-29 03:36:50,-1.0,0.1,9.51,15.98
Flower power 07CF,PI040298AD5I212610,2018-08-29 03:51:50,-1.0,0.1,9.13,15.66
Flower power 07CF,PI040298AD5I212610,2018-08-29 04:06:50,-1.0,0.1,9.38,15.29
Flower power 07CF,PI040298AD5I212610,2018-08-29 04:21:50,-1.0,0.1,9.13,15.24
Flower power 07CF,PI040298AD5I212610,2018-08-29 04:36:50,-1.0,0.1,9.64,15.56
Flower power 07CF,PI040298AD5I212610,2018-08-29 04:51:50,-1.0,0.1,9.26,15.56
Flower power 07CF,PI040298AD5I212610,2018-08-29 05:06:50,-1.0,0.1,9.51,15.5
Flower power 07CF,PI040298AD5I212610,2018-08-29 05:21:50,-1.0,0.1,9.64,15.29
Flower power 07CF,PI040298AD5I212610,2018-08-29 05:36:50,-1.0,0.1,9.64,14.92
Flower power 07CF,PI040298AD5I212610,2018-08-29 05:51:50,-1.0,0.12,9.26,15.13
Flower power 07CF,PI040298AD5I212610,2018-08-29 06:06:50,-1.0,0.94,9.51,14.97
Flower power 07CF,PI040298AD5I212610,2018-08-29 06:21:50,-1.0,2.67,9.13,15.4
Flower power 07CF,PI040298AD5I212610,2018-08-29 06:36:50,-1.0,5.8,9.9,16.29
Flower power 07CF,PI040298AD5I212610,2018-08-29 06:51:50,-1.0,8.24,9.51,19.43
Flower power 07CF,PI040298AD5I212610,2018-08-29 07:06:50,-1.0,26.31,9.64,24.16
Flower power 07CF,PI040298AD5I212610,2018-08-29 07:21:50,-1.0,35.58,9.38,28.2
Flower power 07CF,PI040298AD5I212610,2018-08-29 07:36:50,-1.0,26.31,9.77,30.23
Flower power 07CF,PI040298AD5I212610,2018-08-29 07:51:50,-1.0,52.2,9.64,32.22
Flower power 07CF,PI040298AD5I212610,2018-08-29 08:06:50,-1.0,60.14,9.64,33.74
