NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 0F48,PI040298AD5I210985,2018-08-21 16:45:36,-1.0,7.79,9.14,28.91
Flower power 0F48,PI040298AD5I210985,2018-08-21 17:00:36,-1.0,7.55,9.0,28.51
Flower power 0F48,PI040298AD5I210985,2018-08-21 17:15:36,-1.0,7.49,9.54,28.33
Flower power 0F48,PI040298AD5I210985,2018-08-21 17:30:36,-1.0,6.04,9.14,27.89
Flower power 0F48,PI040298AD5I210985,2018-08-21 17:45:36,-1.0,5.37,9.27,27.53
Flower power 0F48,PI040298AD5I210985,2018-08-21 18:00:36,-1.0,4.74,9.4,27.18
Flower power 0F48,PI040298AD5I210985,2018-08-21 18:15:36,-1.0,4.09,9.0,26.64
Flower power 0F48,PI040298AD5I210985,2018-08-21 18:30:36,-1.0,3.22,9.14,25.79
Flower power 0F48,PI040298AD5I210985,2018-08-21 18:45:36,-1.0,2.2,9.27,25.34
Flower power 0F48,PI040298AD5I210985,2018-08-21 19:00:36,-1.0,1.16,9.0,24.48
Flower power 0F48,PI040298AD5I210985,2018-08-21 19:15:36,-1.0,0.37,9.4,23.65
Flower power 0F48,PI040298AD5I210985,2018-08-21 19:30:36,-1.0,0.1,9.4,23.33
Flower power 0F48,PI040298AD5I210985,2018-08-21 19:45:36,-1.0,0.1,9.54,22.68
Flower power 0F48,PI040298AD5I210985,2018-08-21 20:00:36,-1.0,0.1,9.27,22.26
Flower power 0F48,PI040298AD5I210985,2018-08-21 20:15:36,-1.0,0.1,9.54,22.07
Flower power 0F48,PI040298AD5I210985,2018-08-21 20:30:36,-1.0,0.1,9.67,21.79
Flower power 0F48,PI040298AD5I210985,2018-08-21 20:45:36,-1.0,0.1,9.14,21.31
Flower power 0F48,PI040298AD5I210985,2018-08-21 21:00:36,-1.0,0.1,9.4,21.26
Flower power 0F48,PI040298AD5I210985,2018-08-21 21:15:36,-1.0,0.1,9.4,21.45
Flower power 0F48,PI040298AD5I210985,2018-08-21 21:30:36,-1.0,0.1,9.8,21.64
Flower power 0F48,PI040298AD5I210985,2018-08-21 21:45:36,-1.0,0.1,9.4,21.17
Flower power 0F48,PI040298AD5I210985,2018-08-21 22:00:36,-1.0,0.1,9.27,21.17
Flower power 0F48,PI040298AD5I210985,2018-08-21 22:15:36,-1.0,0.1,9.54,21.17
Flower power 0F48,PI040298AD5I210985,2018-08-21 22:30:36,-1.0,0.1,9.8,21.31
Flower power 0F48,PI040298AD5I210985,2018-08-21 22:45:36,-1.0,0.1,9.54,21.22
Flower power 0F48,PI040298AD5I210985,2018-08-21 23:00:36,-1.0,0.1,9.14,20.16
Flower power 0F48,PI040298AD5I210985,2018-08-21 23:15:36,-1.0,0.1,9.54,20.16
Flower power 0F48,PI040298AD5I210985,2018-08-21 23:30:36,-1.0,0.1,9.67,19.43
Flower power 0F48,PI040298AD5I210985,2018-08-21 23:45:36,-1.0,0.1,9.4,18.74
Flower power 0F48,PI040298AD5I210985,2018-08-22 00:00:36,-1.0,0.1,9.4,18.29
Flower power 0F48,PI040298AD5I210985,2018-08-22 00:15:36,-1.0,0.1,9.27,18.19
Flower power 0F48,PI040298AD5I210985,2018-08-22 00:30:36,-1.0,0.1,9.4,18.49
Flower power 0F48,PI040298AD5I210985,2018-08-22 00:45:36,-1.0,0.1,9.54,18.29
Flower power 0F48,PI040298AD5I210985,2018-08-22 01:00:36,-1.0,0.1,9.54,17.58
Flower power 0F48,PI040298AD5I210985,2018-08-22 01:15:36,-1.0,0.1,9.8,17.12
Flower power 0F48,PI040298AD5I210985,2018-08-22 01:30:36,-1.0,0.1,9.67,16.81
Flower power 0F48,PI040298AD5I210985,2018-08-22 01:45:36,-1.0,0.1,9.4,16.5
Flower power 0F48,PI040298AD5I210985,2018-08-22 02:00:36,-1.0,0.1,9.54,16.29
Flower power 0F48,PI040298AD5I210985,2018-08-22 02:15:36,-1.0,0.1,9.67,16.08
