NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 2CD5,PI040298AD5I211999,2018-08-21 11:13:17,-1.0,149.18,10.33,53.56
Flower power 2CD5,PI040298AD5I211999,2018-08-21 11:28:17,-1.0,151.08,10.84,54.39
Flower power 2CD5,PI040298AD5I211999,2018-08-21 11:43:17,-1.0,155.04,10.97,54.65
Flower power 2CD5,PI040298AD5I211999,2018-08-21 11:58:17,-1.0,155.04,10.71,54.72
Flower power 2CD5,PI040298AD5I211999,2018-08-21 12:13:17,-1.0,157.1,10.97,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 12:28:17,-1.0,159.21,11.22,54.65
Flower power 2CD5,PI040298AD5I211999,2018-08-21 12:43:17,-1.0,159.21,11.35,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 12:58:17,-1.0,159.21,11.22,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 13:13:17,-1.0,157.1,11.22,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 13:28:17,-1.0,153.04,11.35,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 13:43:17,-1.0,151.08,11.6,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 13:58:17,-1.0,147.32,11.48,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 14:13:17,-1.0,143.73,11.86,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 14:28:17,-1.0,138.65,11.35,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 14:43:17,-1.0,133.91,11.86,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 14:58:17,-1.0,126.68,11.86,55.0
Flower power 2CD5,PI040298AD5I211999,2018-08-21 15:13:17,-1.0,120.16,11.86,53.88
Flower power 2CD5,PI040298AD5I211999,2018-08-21 15:28:17,-1.0,111.0,12.11,52.49
Flower power 2CD5,PI040298AD5I211999,2018-08-21 15:43:17,-1.0,102.19,11.99,52.11
Flower power 2CD5,PI040298AD5I211999,2018-08-21 15:58:17,-1.0,92.36,11.6,51.75
Flower power 2CD5,PI040298AD5I211999,2018-08-21 16:13:17,-1.0,83.0,11.86,50.53
Flower power 2CD5,PI040298AD5I211999,2018-08-21 16:28:17,-1.0,74.82,11.6,49.41
Flower power 2CD5,PI040298AD5I211999,2018-08-21 16:43:17,-1.0,70.19,11.73,47.13
Flower power 2CD5,PI040298AD5I211999,2018-08-21 16:58:17,-1.0,62.77,11.86,45.92
Flower power 2CD5,PI040298AD5I211999,2018-08-21 17:13:17,-1.0,55.6,12.24,45.12
Flower power 2CD5,PI040298AD5I211999,2018-08-21 17:28:17,-1.0,32.93,12.24,41.61
Flower power 2CD5,PI040298AD5I211999,2018-08-21 17:43:17,-1.0,32.34,11.86,39.99
Flower power 2CD5,PI040298AD5I211999,2018-08-21 17:58:17,-1.0,24.02,12.11,38.32
Flower power 2CD5,PI040298AD5I211999,2018-08-21 18:13:17,-1.0,20.69,12.11,36.18
Flower power 2CD5,PI040298AD5I211999,2018-08-21 18:28:17,-1.0,13.29,12.37,33.51
Flower power 2CD5,PI040298AD5I211999,2018-08-21 18:43:17,-1.0,6.93,12.24,30.45
Flower power 2CD5,PI040298AD5I211999,2018-08-21 18:58:17,-1.0,3.29,11.86,28.46
Flower power 2CD5,PI040298AD5I211999,2018-08-21 19:13:17,-1.0,1.08,12.37,26.46
Flower power 2CD5,PI040298AD5I211999,2018-08-21 19:28:17,-1.0,0.15,12.11,25.52
Flower power 2CD5,PI040298AD5I211999,2018-08-21 19:43:17,-1.0,0.1,11.99,25.2
Flower power 2CD5,PI040298AD5I211999,2018-08-21 19:58:17,-1.0,0.1,11.99,24.79
Flower power 2CD5,PI040298AD5I211999,2018-08-21 20:13:17,-1.0,0.1,12.24,23.97
