NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 2D1F,PI040298AD5I212135,2018-08-28 10:54:01,-1.0,141.59,13.29,55.0
Flower power 2D1F,PI040298AD5I212135,2018-08-28 11:09:01,-1.0,145.16,13.42,55.0
Flower power 2D1F,PI040298AD5I212135,2018-08-28 11:24:01,-1.0,148.92,13.16,55.0
Flower power 2D1F,PI040298AD5I212135,2018-08-28 11:39:01,-1.0,150.87,13.42,55.0
Flower power 2D1F,PI040298AD5I212135,2018-08-28 11:54:01,-1.0,150.87,13.54,55.0
Flower power 2D1F,PI040298AD5I212135,2018-08-28 12:09:01,-1.0,150.87,13.54,55.0
Flower power 2D1F,PI040298AD5I212135,2018-08-28 12:24:01,-1.0,150.87,13.67,55.0
Flower power 2D1F,PI040298AD5I212135,2018-08-28 12:39:01,-1.0,148.92,13.8,55.0
Flower power 2D1F,PI040298AD5I212135,2018-08-28 12:54:01,-1.0,57.24,13.42,51.93
Flower power 2D1F,PI040298AD5I212135,2018-08-28 13:09:01,-1.0,37.89,13.67,42.87
Flower power 2D1F,PI040298AD5I212135,2018-08-28 13:24:01,-1.0,18.8,13.67,39.12
Flower power 2D1F,PI040298AD5I212135,2018-08-28 13:39:01,-1.0,34.56,13.67,37.94
Flower power 2D1F,PI040298AD5I212135,2018-08-28 13:54:01,-1.0,15.22,13.54,35.77
Flower power 2D1F,PI040298AD5I212135,2018-08-28 14:09:01,-1.0,12.44,13.42,35.18
Flower power 2D1F,PI040298AD5I212135,2018-08-28 14:24:01,-1.0,15.29,13.92,34.01
Flower power 2D1F,PI040298AD5I212135,2018-08-28 14:39:01,-1.0,23.48,13.54,34.23
Flower power 2D1F,PI040298AD5I212135,2018-08-28 14:54:01,-1.0,9.92,13.29,31.51
Flower power 2D1F,PI040298AD5I212135,2018-08-28 15:09:01,-1.0,9.11,13.8,30.23
Flower power 2D1F,PI040298AD5I212135,2018-08-28 15:24:01,-1.0,8.4,13.67,29.35
Flower power 2D1F,PI040298AD5I212135,2018-08-28 15:39:01,-1.0,7.97,13.67,28.86
Flower power 2D1F,PI040298AD5I212135,2018-08-28 15:54:01,-1.0,7.63,13.54,28.24
Flower power 2D1F,PI040298AD5I212135,2018-08-28 16:09:01,-1.0,7.23,13.54,27.58
Flower power 2D1F,PI040298AD5I212135,2018-08-28 16:24:01,-1.0,6.88,13.42,27.04
Flower power 2D1F,PI040298AD5I212135,2018-08-28 16:39:01,-1.0,6.55,13.67,26.55
Flower power 2D1F,PI040298AD5I212135,2018-08-28 16:54:01,-1.0,6.29,13.67,26.01
Flower power 2D1F,PI040298AD5I212135,2018-08-28 17:09:01,-1.0,5.9,13.54,25.52
Flower power 2D1F,PI040298AD5I212135,2018-08-28 17:24:01,-1.0,5.55,13.16,24.93
Flower power 2D1F,PI040298AD5I212135,2018-08-28 17:39:01,-1.0,5.13,13.29,24.34
Flower power 2D1F,PI040298AD5I212135,2018-08-28 17:54:01,-1.0,4.66,13.54,23.79
Flower power 2D1F,PI040298AD5I212135,2018-08-28 18:09:01,-1.0,4.07,13.42,23.37
Flower power 2D1F,PI040298AD5I212135,2018-08-28 18:24:01,-1.0,3.32,13.16,22.91
Flower power 2D1F,PI040298AD5I212135,2018-08-28 18:39:01,-1.0,2.35,13.03,22.35
Flower power 2D1F,PI040298AD5I212135,2018-08-28 18:54:01,-1.0,1.23,13.16,21.69
Flower power 2D1F,PI040298AD5I212135,2018-08-28 19:09:01,-1.0,0.34,12.91,21.17
Flower power 2D1F,PI040298AD5I212135,2018-08-28 19:24:01,-1.0,0.1,13.54,20.74
Flower power 2D1F,PI040298AD5I212135,2018-08-28 19:39:01,-1.0,0.1,13.03,20.4
Flower power 2D1F,PI040298AD5I212135,2018-08-28 19:54:01,-1.0,0.1,13.42,20.4
Flower power 2D1F,PI040298AD5I212135,2018-08-28 20:09:01,-1.0,0.1,13.16,20.21
Flower power 2D1F,PI040298AD5I212135,2018-08-28 20:24:01,-1.0,0.1,13.42,20.11
Flower power 2D1F,PI040298AD5I212135,2018-08-28 20:39:01,-1.0,0.1,13.29,20.06
