NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 334B,PI040298AD5I212031,2018-08-25 09:38:09,-1.0,79.77,3.73,50.12
Flower power 334B,PI040298AD5I212031,2018-08-25 09:53:08,-1.0,18.17,3.5,45.28
Flower power 334B,PI040298AD5I212031,2018-08-25 10:08:08,-1.0,19.93,3.97,43.49
Flower power 334B,PI040298AD5I212031,2018-08-25 10:23:08,-1.0,102.0,3.62,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 10:38:08,-1.0,22.91,3.85,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 10:53:08,-1.0,114.64,3.73,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 11:08:08,-1.0,124.91,3.97,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 11:23:08,-1.0,132.28,3.62,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 11:38:08,-1.0,135.47,3.5,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 11:53:08,-1.0,138.82,3.97,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 12:08:08,-1.0,140.55,3.39,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 12:23:08,-1.0,142.33,3.5,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 12:38:08,-1.0,142.33,3.5,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 12:53:08,-1.0,142.33,3.62,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 13:08:08,-1.0,140.55,3.85,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 13:23:08,-1.0,144.15,3.85,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 13:38:08,-1.0,140.55,3.85,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 13:53:08,-1.0,137.13,3.5,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 14:08:08,-1.0,132.28,3.73,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 14:23:08,-1.0,132.28,3.85,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 14:38:08,-1.0,123.53,3.97,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 14:53:08,-1.0,112.33,3.97,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 15:08:08,-1.0,104.9,3.97,55.0
Flower power 334B,PI040298AD5I212031,2018-08-25 15:23:08,-1.0,95.8,3.73,55.0
