NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 39B3,PI040298AD5I211070,2018-08-28 15:50:49,-1.0,83.6,8.05,42.47
Flower power 39B3,PI040298AD5I211070,2018-08-28 16:05:49,-1.0,73.64,8.31,47.8
Flower power 39B3,PI040298AD5I211070,2018-08-28 16:20:49,-1.0,68.51,7.92,45.01
Flower power 39B3,PI040298AD5I211070,2018-08-28 16:35:49,-1.0,65.32,8.43,43.85
Flower power 39B3,PI040298AD5I211070,2018-08-28 16:50:49,-1.0,58.29,7.79,41.16
Flower power 39B3,PI040298AD5I211070,2018-08-28 17:05:49,-1.0,47.9,8.18,38.74
Flower power 39B3,PI040298AD5I211070,2018-08-28 17:20:49,-1.0,39.41,7.92,35.86
Flower power 39B3,PI040298AD5I211070,2018-08-28 17:35:09,-1.0,30.01,8.05,32.53
Flower power 39B3,PI040298AD5I211070,2018-08-28 17:50:09,-1.0,23.61,8.18,30.14
Flower power 39B3,PI040298AD5I211070,2018-08-28 18:05:09,-1.0,15.37,8.31,28.38
Flower power 39B3,PI040298AD5I211070,2018-08-28 18:20:09,-1.0,4.21,7.79,24.48
Flower power 39B3,PI040298AD5I211070,2018-08-28 18:35:09,-1.0,2.9,8.43,22.21
Flower power 39B3,PI040298AD5I211070,2018-08-28 18:50:09,-1.0,1.6,8.43,21.36
Flower power 39B3,PI040298AD5I211070,2018-08-28 19:05:09,-1.0,0.53,8.43,20.59
Flower power 39B3,PI040298AD5I211070,2018-08-28 19:20:09,-1.0,0.1,8.18,20.06
Flower power 39B3,PI040298AD5I211070,2018-08-28 19:35:09,-1.0,0.1,7.92,19.72
Flower power 39B3,PI040298AD5I211070,2018-08-28 19:50:09,-1.0,0.1,8.05,19.62
Flower power 39B3,PI040298AD5I211070,2018-08-28 20:05:09,-1.0,0.1,7.92,19.48
Flower power 39B3,PI040298AD5I211070,2018-08-28 20:20:09,-1.0,0.1,8.43,19.38
Flower power 39B3,PI040298AD5I211070,2018-08-28 20:35:09,-1.0,0.1,8.18,19.28
Flower power 39B3,PI040298AD5I211070,2018-08-28 20:50:09,-1.0,0.1,8.05,19.23
Flower power 39B3,PI040298AD5I211070,2018-08-28 21:05:09,-1.0,0.1,7.67,19.03
Flower power 39B3,PI040298AD5I211070,2018-08-28 21:20:09,-1.0,0.1,7.92,19.03
Flower power 39B3,PI040298AD5I211070,2018-08-28 21:35:09,-1.0,0.1,8.31,19.03
Flower power 39B3,PI040298AD5I211070,2018-08-28 21:50:09,-1.0,0.1,8.43,19.08
Flower power 39B3,PI040298AD5I211070,2018-08-28 22:05:09,-1.0,0.1,7.79,19.03
Flower power 39B3,PI040298AD5I211070,2018-08-28 22:20:09,-1.0,0.1,7.92,18.88
Flower power 39B3,PI040298AD5I211070,2018-08-28 22:35:09,-1.0,0.1,8.18,19.03
Flower power 39B3,PI040298AD5I211070,2018-08-28 22:50:09,-1.0,0.1,8.18,19.13
Flower power 39B3,PI040298AD5I211070,2018-08-28 23:05:09,-1.0,0.1,7.79,19.03
Flower power 39B3,PI040298AD5I211070,2018-08-28 23:20:09,-1.0,0.1,8.05,19.03
Flower power 39B3,PI040298AD5I211070,2018-08-28 23:35:09,-1.0,0.1,8.05,19.03
Flower power 39B3,PI040298AD5I211070,2018-08-28 23:50:09,-1.0,0.1,8.31,19.08
Flower power 39B3,PI040298AD5I211070,2018-08-29 00:05:09,-1.0,0.1,7.92,18.93
Flower power 39B3,PI040298AD5I211070,2018-08-29 00:20:09,-1.0,0.1,7.79,18.83
Flower power 39B3,PI040298AD5I211070,2018-08-29 00:35:09,-1.0,0.1,8.18,18.69
Flower power 39B3,PI040298AD5I211070,2018-08-29 00:50:09,-1.0,0.1,7.67,18.78
Flower power 39B3,PI040298AD5I211070,2018-08-29 01:05:09,-1.0,0.1,7.54,18.39
Flower power 39B3,PI040298AD5I211070,2018-08-29 01:20:09,-1.0,0.1,7.67,18.34
Flower power 39B3,PI040298AD5I211070,2018-08-29 01:35:09,-1.0,0.1,7.92,18.44
Flower power 39B3,PI040298AD5I211070,2018-08-29 01:50:09,-1.0,0.1,7.79,18.54
Flower power 39B3,PI040298AD5I211070,2018-08-29 02:05:09,-1.0,0.1,8.18,18.49
Flower power 39B3,PI040298AD5I211070,2018-08-29 02:20:09,-1.0,0.1,8.31,18.34
Flower power 39B3,PI040298AD5I211070,2018-08-29 02:35:09,-1.0,0.1,8.05,18.19
Flower power 39B3,PI040298AD5I211070,2018-08-29 02:50:09,-1.0,0.1,7.92,17.98
Flower power 39B3,PI040298AD5I211070,2018-08-29 03:05:09,-1.0,0.1,8.05,17.48
Flower power 39B3,PI040298AD5I211070,2018-08-29 03:20:09,-1.0,0.1,7.92,17.02
Flower power 39B3,PI040298AD5I211070,2018-08-29 03:35:09,-1.0,0.1,7.79,16.86
Flower power 39B3,PI040298AD5I211070,2018-08-29 03:50:09,-1.0,0.1,8.31,16.03
Flower power 39B3,PI040298AD5I211070,2018-08-29 04:05:09,-1.0,0.1,7.67,15.19
Flower power 39B3,PI040298AD5I211070,2018-08-29 04:20:09,-1.0,0.1,7.67,15.08
Flower power 39B3,PI040298AD5I211070,2018-08-29 04:35:09,-1.0,0.1,8.05,16.19
Flower power 39B3,PI040298AD5I211070,2018-08-29 04:50:09,-1.0,0.1,8.05,16.4
Flower power 39B3,PI040298AD5I211070,2018-08-29 05:05:09,-1.0,0.1,7.92,16.4
Flower power 39B3,PI040298AD5I211070,2018-08-29 05:20:09,-1.0,0.1,7.92,15.66
Flower power 39B3,PI040298AD5I211070,2018-08-29 05:35:09,-1.0,0.1,8.18,15.08
Flower power 39B3,PI040298AD5I211070,2018-08-29 05:50:09,-1.0,0.1,7.67,15.5
Flower power 39B3,PI040298AD5I211070,2018-08-29 06:05:09,-1.0,0.52,8.05,15.24
Flower power 39B3,PI040298AD5I211070,2018-08-29 06:20:09,-1.0,1.56,7.92,15.13
Flower power 39B3,PI040298AD5I211070,2018-08-29 06:35:09,-1.0,2.67,8.05,16.14
Flower power 39B3,PI040298AD5I211070,2018-08-29 06:50:09,-1.0,3.63,7.79,17.07
Flower power 39B3,PI040298AD5I211070,2018-08-29 07:05:09,-1.0,4.47,8.18,18.39
Flower power 39B3,PI040298AD5I211070,2018-08-29 07:20:09,-1.0,5.84,8.18,19.72
Flower power 39B3,PI040298AD5I211070,2018-08-29 07:35:09,-1.0,6.0,8.05,21.17
Flower power 39B3,PI040298AD5I211070,2018-08-29 07:50:09,-1.0,7.23,7.67,21.74
Flower power 39B3,PI040298AD5I211070,2018-08-29 08:05:09,-1.0,7.24,7.79,22.63
Flower power 39B3,PI040298AD5I211070,2018-08-29 08:20:09,-1.0,10.07,7.79,23.6
Flower power 39B3,PI040298AD5I211070,2018-08-29 08:35:09,-1.0,19.5,8.31,24.48
Flower power 39B3,PI040298AD5I211070,2018-08-29 08:50:09,-1.0,32.06,7.54,33.29
Flower power 39B3,PI040298AD5I211070,2018-08-29 09:05:09,-1.0,33.43,7.67,36.36
Flower power 39B3,PI040298AD5I211070,2018-08-29 09:20:09,-1.0,20.6,7.79,38.65
Flower power 39B3,PI040298AD5I211070,2018-08-29 09:35:09,-1.0,32.06,7.79,40.82
Flower power 39B3,PI040298AD5I211070,2018-08-29 09:50:09,-1.0,24.75,7.67,39.8
Flower power 39B3,PI040298AD5I211070,2018-08-29 10:05:09,-1.0,20.32,7.54,40.72
