NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 4A9D,PI040298AD5G200671,2018-08-25 16:59:47,-1.0,53.36,8.79,42.06
Flower power 4A9D,PI040298AD5G200671,2018-08-25 17:14:47,-1.0,42.27,9.05,40.72
Flower power 4A9D,PI040298AD5G200671,2018-08-25 17:29:47,-1.0,40.25,9.3,39.03
Flower power 4A9D,PI040298AD5G200671,2018-08-25 17:44:47,-1.0,33.42,9.18,36.78
Flower power 4A9D,PI040298AD5G200671,2018-08-25 17:59:47,-1.0,13.01,9.3,31.51
Flower power 4A9D,PI040298AD5G200671,2018-08-25 18:14:47,-1.0,10.69,9.05,28.82
Flower power 4A9D,PI040298AD5G200671,2018-08-25 18:29:47,-1.0,7.9,9.43,27.22
Flower power 4A9D,PI040298AD5G200671,2018-08-25 18:44:47,-1.0,4.99,9.05,26.1
Flower power 4A9D,PI040298AD5G200671,2018-08-25 18:59:47,-1.0,2.23,9.05,25.02
Flower power 4A9D,PI040298AD5G200671,2018-08-25 19:14:47,-1.0,0.52,9.56,24.02
Flower power 4A9D,PI040298AD5G200671,2018-08-25 19:29:47,-1.0,0.1,9.3,23.47
Flower power 4A9D,PI040298AD5G200671,2018-08-25 19:44:47,-1.0,0.1,9.56,23.24
Flower power 4A9D,PI040298AD5G200671,2018-08-25 19:59:47,-1.0,0.1,9.43,23.19
Flower power 4A9D,PI040298AD5G200671,2018-08-25 20:14:47,-1.0,0.1,9.18,22.91
Flower power 4A9D,PI040298AD5G200671,2018-08-25 20:29:47,-1.0,0.1,9.3,23.28
Flower power 4A9D,PI040298AD5G200671,2018-08-25 20:44:47,-1.0,0.1,9.18,22.82
Flower power 4A9D,PI040298AD5G200671,2018-08-25 20:59:47,-1.0,0.1,9.3,22.63
Flower power 4A9D,PI040298AD5G200671,2018-08-25 21:14:47,-1.0,0.1,9.3,22.26
Flower power 4A9D,PI040298AD5G200671,2018-08-25 21:29:47,-1.0,0.1,9.56,22.07
Flower power 4A9D,PI040298AD5G200671,2018-08-25 21:44:47,-1.0,0.1,9.3,21.64
Flower power 4A9D,PI040298AD5G200671,2018-08-25 21:59:47,-1.0,0.1,9.3,21.6
Flower power 4A9D,PI040298AD5G200671,2018-08-25 22:14:47,-1.0,0.1,9.18,21.6
Flower power 4A9D,PI040298AD5G200671,2018-08-25 22:29:47,-1.0,0.1,9.3,21.26
Flower power 4A9D,PI040298AD5G200671,2018-08-25 22:44:47,-1.0,0.1,9.05,21.41
Flower power 4A9D,PI040298AD5G200671,2018-08-25 22:59:47,-1.0,0.1,8.92,21.07
Flower power 4A9D,PI040298AD5G200671,2018-08-25 23:14:47,-1.0,0.1,9.3,20.74
Flower power 4A9D,PI040298AD5G200671,2018-08-25 23:29:47,-1.0,0.1,9.18,20.5
Flower power 4A9D,PI040298AD5G200671,2018-08-25 23:44:47,-1.0,0.1,9.18,20.45
Flower power 4A9D,PI040298AD5G200671,2018-08-25 23:59:47,-1.0,0.1,8.92,19.67
Flower power 4A9D,PI040298AD5G200671,2018-08-26 00:14:47,-1.0,0.1,9.43,19.77
Flower power 4A9D,PI040298AD5G200671,2018-08-26 00:29:47,-1.0,0.1,8.92,19.57
Flower power 4A9D,PI040298AD5G200671,2018-08-26 00:44:47,-1.0,0.1,9.43,19.38
Flower power 4A9D,PI040298AD5G200671,2018-08-26 00:59:47,-1.0,0.1,8.92,18.98
Flower power 4A9D,PI040298AD5G200671,2018-08-26 01:14:47,-1.0,0.1,9.18,19.13
Flower power 4A9D,PI040298AD5G200671,2018-08-26 01:29:47,-1.0,0.1,9.43,18.69
Flower power 4A9D,PI040298AD5G200671,2018-08-26 01:44:47,-1.0,0.1,9.05,18.34
Flower power 4A9D,PI040298AD5G200671,2018-08-26 01:59:47,-1.0,0.1,9.05,18.08
Flower power 4A9D,PI040298AD5G200671,2018-08-26 02:14:47,-1.0,0.1,9.05,18.08
Flower power 4A9D,PI040298AD5G200671,2018-08-26 02:29:47,-1.0,0.1,9.43,18.64
Flower power 4A9D,PI040298AD5G200671,2018-08-26 02:44:47,-1.0,0.1,9.05,18.49
Flower power 4A9D,PI040298AD5G200671,2018-08-26 02:59:47,-1.0,0.1,9.18,17.78
Flower power 4A9D,PI040298AD5G200671,2018-08-26 03:14:47,-1.0,0.1,9.05,17.73
Flower power 4A9D,PI040298AD5G200671,2018-08-26 03:29:47,-1.0,0.1,8.79,17.58
Flower power 4A9D,PI040298AD5G200671,2018-08-26 03:44:47,-1.0,0.1,9.05,17.48
Flower power 4A9D,PI040298AD5G200671,2018-08-26 03:59:47,-1.0,0.1,9.18,17.38
Flower power 4A9D,PI040298AD5G200671,2018-08-26 04:14:47,-1.0,0.1,9.43,17.12
Flower power 4A9D,PI040298AD5G200671,2018-08-26 04:29:47,-1.0,0.1,9.18,16.66
Flower power 4A9D,PI040298AD5G200671,2018-08-26 04:44:47,-1.0,0.1,8.92,15.45
Flower power 4A9D,PI040298AD5G200671,2018-08-26 04:59:47,-1.0,0.1,9.18,14.16
Flower power 4A9D,PI040298AD5G200671,2018-08-26 05:14:47,-1.0,0.1,8.92,16.14
Flower power 4A9D,PI040298AD5G200671,2018-08-26 05:29:47,-1.0,0.1,9.18,16.91
Flower power 4A9D,PI040298AD5G200671,2018-08-26 05:44:47,-1.0,0.1,9.3,16.86
Flower power 4A9D,PI040298AD5G200671,2018-08-26 05:59:47,-1.0,0.68,9.18,17.17
Flower power 4A9D,PI040298AD5G200671,2018-08-26 06:14:47,-1.0,2.53,9.05,17.63
Flower power 4A9D,PI040298AD5G200671,2018-08-26 06:29:41,-1.0,5.5,9.3,18.69
