NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 4AA5,PI040298AD5I213048,2018-08-25 10:25:47,-1.0,110.18,13.93,49.12
Flower power 4AA5,PI040298AD5I213048,2018-08-25 10:40:44,-1.0,50.66,13.93,44.48
Flower power 4AA5,PI040298AD5I213048,2018-08-25 10:55:44,-1.0,131.2,13.93,47.75
Flower power 4AA5,PI040298AD5I213048,2018-08-25 11:10:44,-1.0,22.73,13.54,44.16
Flower power 4AA5,PI040298AD5I213048,2018-08-25 11:25:44,-1.0,23.38,13.93,46.3
Flower power 4AA5,PI040298AD5I213048,2018-08-25 11:40:44,-1.0,23.43,13.8,44.8
Flower power 4AA5,PI040298AD5I213048,2018-08-25 11:55:44,-1.0,57.73,13.67,45.44
Flower power 4AA5,PI040298AD5I213048,2018-08-25 12:10:44,-1.0,68.63,13.93,43.13
Flower power 4AA5,PI040298AD5I213048,2018-08-25 12:25:44,-1.0,44.55,13.8,41.96
Flower power 4AA5,PI040298AD5I213048,2018-08-25 12:40:44,-1.0,21.1,13.8,41.21
Flower power 4AA5,PI040298AD5I213048,2018-08-25 12:55:44,-1.0,17.43,13.93,40.92
Flower power 4AA5,PI040298AD5I213048,2018-08-25 13:10:44,-1.0,31.2,13.67,40.18
Flower power 4AA5,PI040298AD5I213048,2018-08-25 13:25:44,-1.0,16.5,14.06,39.51
Flower power 4AA5,PI040298AD5I213048,2018-08-25 13:40:44,-1.0,73.05,13.93,41.36
Flower power 4AA5,PI040298AD5I213048,2018-08-25 13:55:44,-1.0,15.45,13.54,38.84
Flower power 4AA5,PI040298AD5I213048,2018-08-25 14:10:44,-1.0,17.09,13.8,38.65
Flower power 4AA5,PI040298AD5I213048,2018-08-25 14:25:44,-1.0,15.82,13.8,37.94
Flower power 4AA5,PI040298AD5I213048,2018-08-25 14:40:44,-1.0,14.46,13.54,37.52
Flower power 4AA5,PI040298AD5I213048,2018-08-25 14:55:44,-1.0,14.58,13.8,37.29
Flower power 4AA5,PI040298AD5I213048,2018-08-25 15:10:44,-1.0,13.93,13.93,40.77
Flower power 4AA5,PI040298AD5I213048,2018-08-25 15:25:44,-1.0,13.86,13.67,37.66
Flower power 4AA5,PI040298AD5I213048,2018-08-25 15:40:44,-1.0,13.32,13.54,40.43
Flower power 4AA5,PI040298AD5I213048,2018-08-25 15:55:44,-1.0,68.63,13.8,40.38
Flower power 4AA5,PI040298AD5I213048,2018-08-25 16:10:44,-1.0,12.33,13.54,36.46
Flower power 4AA5,PI040298AD5I213048,2018-08-25 16:25:44,-1.0,11.63,13.54,35.45
Flower power 4AA5,PI040298AD5I213048,2018-08-25 16:40:44,-1.0,11.27,13.67,35.5
Flower power 4AA5,PI040298AD5I213048,2018-08-25 16:55:44,-1.0,39.16,13.67,40.33
Flower power 4AA5,PI040298AD5I213048,2018-08-25 17:10:44,-1.0,17.67,13.67,34.86
Flower power 4AA5,PI040298AD5I213048,2018-08-25 17:25:44,-1.0,8.65,13.8,31.65
Flower power 4AA5,PI040298AD5I213048,2018-08-25 17:40:44,-1.0,7.67,13.8,30.76
Flower power 4AA5,PI040298AD5I213048,2018-08-25 17:55:44,-1.0,6.58,13.54,29.92
Flower power 4AA5,PI040298AD5I213048,2018-08-25 18:10:44,-1.0,5.11,13.8,28.46
Flower power 4AA5,PI040298AD5I213048,2018-08-25 18:25:44,-1.0,3.94,13.67,26.95
Flower power 4AA5,PI040298AD5I213048,2018-08-25 18:40:44,-1.0,2.69,13.41,25.88
Flower power 4AA5,PI040298AD5I213048,2018-08-25 18:55:44,-1.0,1.4,13.27,24.84
Flower power 4AA5,PI040298AD5I213048,2018-08-25 19:10:44,-1.0,0.42,13.41,24.02
Flower power 4AA5,PI040298AD5I213048,2018-08-25 19:25:44,-1.0,0.1,13.67,23.14
