NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 4BEA,PI040298AD5I211628,2018-08-25 17:18:38,-1.0,42.2,6.69,37.71
Flower power 4BEA,PI040298AD5I211628,2018-08-25 17:33:38,-1.0,34.29,6.93,36.73
Flower power 4BEA,PI040298AD5I211628,2018-08-25 17:48:38,-1.0,31.43,7.18,34.59
Flower power 4BEA,PI040298AD5I211628,2018-08-25 18:03:38,-1.0,20.83,7.18,32.84
Flower power 4BEA,PI040298AD5I211628,2018-08-25 18:18:38,-1.0,10.23,7.06,28.02
Flower power 4BEA,PI040298AD5I211628,2018-08-25 18:33:38,-1.0,7.32,7.18,26.28
Flower power 4BEA,PI040298AD5I211628,2018-08-25 18:48:38,-1.0,4.36,7.18,25.16
Flower power 4BEA,PI040298AD5I211628,2018-08-25 19:03:38,-1.0,1.71,7.06,24.11
Flower power 4BEA,PI040298AD5I211628,2018-08-25 19:18:38,-1.0,0.32,7.06,23.24
Flower power 4BEA,PI040298AD5I211628,2018-08-25 19:33:38,-1.0,0.1,7.06,22.77
Flower power 4BEA,PI040298AD5I211628,2018-08-25 19:48:38,-1.0,0.1,7.06,22.63
Flower power 4BEA,PI040298AD5I211628,2018-08-25 20:03:38,-1.0,0.1,7.06,22.21
Flower power 4BEA,PI040298AD5I211628,2018-08-25 20:18:38,-1.0,0.1,7.18,21.88
Flower power 4BEA,PI040298AD5I211628,2018-08-25 20:33:38,-1.0,0.1,7.43,22.07
Flower power 4BEA,PI040298AD5I211628,2018-08-25 20:48:38,-1.0,0.1,7.3,21.74
Flower power 4BEA,PI040298AD5I211628,2018-08-25 21:03:38,-1.0,0.1,7.43,20.88
Flower power 4BEA,PI040298AD5I211628,2018-08-25 21:18:38,-1.0,0.1,7.3,20.79
Flower power 4BEA,PI040298AD5I211628,2018-08-25 21:33:38,-1.0,0.1,7.06,20.79
Flower power 4BEA,PI040298AD5I211628,2018-08-25 21:48:38,-1.0,0.1,7.18,20.4
Flower power 4BEA,PI040298AD5I211628,2018-08-25 22:03:38,-1.0,0.1,7.43,21.03
Flower power 4BEA,PI040298AD5I211628,2018-08-25 22:18:38,-1.0,0.1,7.3,20.21
Flower power 4BEA,PI040298AD5I211628,2018-08-25 22:33:38,-1.0,0.1,7.55,20.16
Flower power 4BEA,PI040298AD5I211628,2018-08-25 22:48:38,-1.0,0.1,7.06,20.3
Flower power 4BEA,PI040298AD5I211628,2018-08-25 23:03:38,-1.0,0.1,7.18,20.11
Flower power 4BEA,PI040298AD5I211628,2018-08-25 23:18:38,-1.0,0.1,7.18,19.72
Flower power 4BEA,PI040298AD5I211628,2018-08-25 23:33:38,-1.0,0.1,7.43,19.08
Flower power 4BEA,PI040298AD5I211628,2018-08-25 23:48:38,-1.0,0.1,7.06,18.83
Flower power 4BEA,PI040298AD5I211628,2018-08-26 00:03:38,-1.0,0.1,7.3,18.78
Flower power 4BEA,PI040298AD5I211628,2018-08-26 00:18:38,-1.0,0.1,7.18,18.39
Flower power 4BEA,PI040298AD5I211628,2018-08-26 00:33:38,-1.0,0.1,7.3,18.08
Flower power 4BEA,PI040298AD5I211628,2018-08-26 00:48:38,-1.0,0.1,7.43,18.64
Flower power 4BEA,PI040298AD5I211628,2018-08-26 01:03:38,-1.0,0.1,7.3,18.64
Flower power 4BEA,PI040298AD5I211628,2018-08-26 01:18:38,-1.0,0.1,7.18,18.19
Flower power 4BEA,PI040298AD5I211628,2018-08-26 01:33:38,-1.0,0.1,7.43,18.34
Flower power 4BEA,PI040298AD5I211628,2018-08-26 01:48:38,-1.0,0.1,7.43,17.83
Flower power 4BEA,PI040298AD5I211628,2018-08-26 02:03:38,-1.0,0.1,7.18,17.63
Flower power 4BEA,PI040298AD5I211628,2018-08-26 02:18:38,-1.0,0.1,7.43,17.17
Flower power 4BEA,PI040298AD5I211628,2018-08-26 02:33:38,-1.0,0.1,7.43,16.97
Flower power 4BEA,PI040298AD5I211628,2018-08-26 02:48:38,-1.0,0.1,7.18,16.86
