NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 4D23,PI040298AD5I213916,2018-08-26 09:57:27,-1.0,109.04,12.43,50.95
Flower power 4D23,PI040298AD5I213916,2018-08-26 10:12:27,-1.0,115.36,13.19,53.69
Flower power 4D23,PI040298AD5I213916,2018-08-26 10:27:27,-1.0,119.98,12.81,54.92
Flower power 4D23,PI040298AD5I213916,2018-08-26 10:42:27,-1.0,126.29,13.44,54.52
Flower power 4D23,PI040298AD5I213916,2018-08-26 10:57:27,-1.0,130.39,13.19,55.0
Flower power 4D23,PI040298AD5I213916,2018-08-26 11:12:27,-1.0,134.76,13.7,55.0
Flower power 4D23,PI040298AD5I213916,2018-08-26 11:27:27,-1.0,136.28,13.44,55.0
Flower power 4D23,PI040298AD5I213916,2018-08-26 11:42:27,-1.0,137.84,13.95,55.0
Flower power 4D23,PI040298AD5I213916,2018-08-26 11:57:27,-1.0,139.43,13.82,55.0
Flower power 4D23,PI040298AD5I213916,2018-08-26 12:12:27,-1.0,141.05,13.7,55.0
Flower power 4D23,PI040298AD5I213916,2018-08-26 12:27:27,-1.0,141.05,13.95,55.0
Flower power 4D23,PI040298AD5I213916,2018-08-26 12:42:27,-1.0,141.05,13.82,55.0
Flower power 4D23,PI040298AD5I213916,2018-08-26 12:57:27,-1.0,141.05,14.2,54.52
Flower power 4D23,PI040298AD5I213916,2018-08-26 13:12:27,-1.0,141.05,14.2,52.86
Flower power 4D23,PI040298AD5I213916,2018-08-26 13:27:27,-1.0,139.43,14.45,53.11
Flower power 4D23,PI040298AD5I213916,2018-08-26 13:42:27,-1.0,137.84,14.08,51.87
Flower power 4D23,PI040298AD5I213916,2018-08-26 13:57:27,-1.0,134.76,14.45,50.3
Flower power 4D23,PI040298AD5I213916,2018-08-26 14:12:27,-1.0,130.39,14.2,50.06
Flower power 4D23,PI040298AD5I213916,2018-08-26 14:27:27,-1.0,124.97,14.33,48.2
Flower power 4D23,PI040298AD5I213916,2018-08-26 14:42:27,-1.0,118.79,14.33,47.58
Flower power 4D23,PI040298AD5I213916,2018-08-26 14:57:27,-1.0,112.11,14.2,48.14
Flower power 4D23,PI040298AD5I213916,2018-08-26 15:12:27,-1.0,106.12,14.2,47.92
Flower power 4D23,PI040298AD5I213916,2018-08-26 15:27:27,-1.0,99.05,14.45,46.85
Flower power 4D23,PI040298AD5I213916,2018-08-26 15:42:27,-1.0,92.83,14.71,45.71
Flower power 4D23,PI040298AD5I213916,2018-08-26 15:57:27,-1.0,85.43,14.33,44.16
Flower power 4D23,PI040298AD5I213916,2018-08-26 16:12:27,-1.0,73.15,14.58,42.42
Flower power 4D23,PI040298AD5I213916,2018-08-26 16:27:27,-1.0,74.08,14.2,41.16
Flower power 4D23,PI040298AD5I213916,2018-08-26 16:42:27,-1.0,17.64,14.58,38.37
Flower power 4D23,PI040298AD5I213916,2018-08-26 16:57:27,-1.0,42.5,14.45,37.85
Flower power 4D23,PI040298AD5I213916,2018-08-26 17:12:27,-1.0,9.83,14.58,29.53
Flower power 4D23,PI040298AD5I213916,2018-08-26 17:27:27,-1.0,8.84,14.58,28.46
Flower power 4D23,PI040298AD5I213916,2018-08-26 17:42:27,-1.0,7.93,14.2,27.71
Flower power 4D23,PI040298AD5I213916,2018-08-26 17:57:27,-1.0,7.07,14.2,27.22
Flower power 4D23,PI040298AD5I213916,2018-08-26 18:12:27,-1.0,6.04,14.45,26.64
Flower power 4D23,PI040298AD5I213916,2018-08-26 18:27:27,-1.0,4.85,14.58,26.01
Flower power 4D23,PI040298AD5I213916,2018-08-26 18:42:27,-1.0,3.4,14.45,25.29
Flower power 4D23,PI040298AD5I213916,2018-08-26 18:57:27,-1.0,1.75,14.58,24.52
Flower power 4D23,PI040298AD5I213916,2018-08-26 19:12:27,-1.0,0.45,14.2,23.7
Flower power 4D23,PI040298AD5I213916,2018-08-26 19:27:27,-1.0,0.1,14.33,23.0
Flower power 4D23,PI040298AD5I213916,2018-08-26 19:42:27,-1.0,0.1,14.33,22.58
Flower power 4D23,PI040298AD5I213916,2018-08-26 19:57:27,-1.0,0.1,14.08,22.35
Flower power 4D23,PI040298AD5I213916,2018-08-26 20:12:27,-1.0,0.1,14.45,22.07
Flower power 4D23,PI040298AD5I213916,2018-08-26 20:27:27,-1.0,0.1,14.2,22.12
Flower power 4D23,PI040298AD5I213916,2018-08-26 20:42:27,-1.0,0.1,14.2,22.12
Flower power 4D23,PI040298AD5I213916,2018-08-26 20:57:27,-1.0,0.1,13.95,22.12
Flower power 4D23,PI040298AD5I213916,2018-08-26 21:12:27,-1.0,0.1,14.2,21.93
Flower power 4D23,PI040298AD5I213916,2018-08-26 21:27:27,-1.0,0.1,14.2,21.88
Flower power 4D23,PI040298AD5I213916,2018-08-26 21:42:27,-1.0,0.1,14.08,21.74
