NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 587C,PI040298AD5I214089,2018-08-21 17:50:43,-1.0,34.57,10.49,34.91
Flower power 587C,PI040298AD5I214089,2018-08-21 18:05:38,-1.0,22.36,10.88,32.93
Flower power 587C,PI040298AD5I214089,2018-08-21 18:20:38,-1.0,12.47,11.13,31.29
Flower power 587C,PI040298AD5I214089,2018-08-21 18:35:38,-1.0,10.44,10.88,30.5
Flower power 587C,PI040298AD5I214089,2018-08-21 18:50:38,-1.0,6.25,11.0,28.82
Flower power 587C,PI040298AD5I214089,2018-08-21 19:05:38,-1.0,2.25,11.0,26.64
Flower power 587C,PI040298AD5I214089,2018-08-21 19:20:38,-1.0,0.52,10.88,25.29
Flower power 587C,PI040298AD5I214089,2018-08-21 19:35:38,-1.0,0.1,11.0,24.38
Flower power 587C,PI040298AD5I214089,2018-08-21 19:50:38,-1.0,0.1,11.13,23.97
Flower power 587C,PI040298AD5I214089,2018-08-21 20:05:38,-1.0,0.1,10.88,23.88
Flower power 587C,PI040298AD5I214089,2018-08-21 20:20:38,-1.0,0.1,11.0,23.19
Flower power 587C,PI040298AD5I214089,2018-08-21 20:35:38,-1.0,0.1,11.13,22.86
Flower power 587C,PI040298AD5I214089,2018-08-21 20:50:38,-1.0,0.1,11.26,21.97
Flower power 587C,PI040298AD5I214089,2018-08-21 21:05:38,-1.0,0.1,11.39,22.16
Flower power 587C,PI040298AD5I214089,2018-08-21 21:20:38,-1.0,0.1,11.0,22.77
Flower power 587C,PI040298AD5I214089,2018-08-21 21:35:38,-1.0,0.1,11.13,22.49
Flower power 587C,PI040298AD5I214089,2018-08-21 21:50:38,-1.0,0.1,11.26,22.58
Flower power 587C,PI040298AD5I214089,2018-08-21 22:05:38,-1.0,0.1,11.13,22.49
Flower power 587C,PI040298AD5I214089,2018-08-21 22:20:38,-1.0,0.1,11.0,22.21
Flower power 587C,PI040298AD5I214089,2018-08-21 22:35:38,-1.0,0.1,11.13,22.77
Flower power 587C,PI040298AD5I214089,2018-08-21 22:50:38,-1.0,0.1,11.13,21.88
Flower power 587C,PI040298AD5I214089,2018-08-21 23:05:38,-1.0,0.1,11.13,21.55
Flower power 587C,PI040298AD5I214089,2018-08-21 23:20:38,-1.0,0.1,10.88,21.17
Flower power 587C,PI040298AD5I214089,2018-08-21 23:35:38,-1.0,0.1,10.75,21.12
Flower power 587C,PI040298AD5I214089,2018-08-21 23:50:38,-1.0,0.1,11.13,20.3
Flower power 587C,PI040298AD5I214089,2018-08-22 00:05:38,-1.0,0.1,11.26,20.21
Flower power 587C,PI040298AD5I214089,2018-08-22 00:20:38,-1.0,0.1,11.0,20.35
Flower power 587C,PI040298AD5I214089,2018-08-22 00:35:38,-1.0,0.1,11.39,20.64
Flower power 587C,PI040298AD5I214089,2018-08-22 00:50:38,-1.0,0.1,10.88,20.35
Flower power 587C,PI040298AD5I214089,2018-08-22 01:05:38,-1.0,0.1,11.13,18.64
Flower power 587C,PI040298AD5I214089,2018-08-22 01:20:38,-1.0,0.1,11.13,17.43
Flower power 587C,PI040298AD5I214089,2018-08-22 01:35:38,-1.0,0.1,11.13,16.97
Flower power 587C,PI040298AD5I214089,2018-08-22 01:50:38,-1.0,0.1,11.13,16.6
Flower power 587C,PI040298AD5I214089,2018-08-22 02:05:38,-1.0,0.1,10.75,16.4
Flower power 587C,PI040298AD5I214089,2018-08-22 02:20:38,-1.0,0.1,10.88,16.14
Flower power 587C,PI040298AD5I214089,2018-08-22 02:35:38,-1.0,0.1,11.0,15.82
Flower power 587C,PI040298AD5I214089,2018-08-22 02:50:38,-1.0,0.1,10.62,15.82
Flower power 587C,PI040298AD5I214089,2018-08-22 03:05:38,-1.0,0.1,11.13,15.72
Flower power 587C,PI040298AD5I214089,2018-08-22 03:20:38,-1.0,0.1,10.75,15.5
Flower power 587C,PI040298AD5I214089,2018-08-22 03:35:38,-1.0,0.1,11.26,15.56
Flower power 587C,PI040298AD5I214089,2018-08-22 03:50:38,-1.0,0.1,11.0,15.29
Flower power 587C,PI040298AD5I214089,2018-08-22 04:05:38,-1.0,0.1,11.0,15.08
Flower power 587C,PI040298AD5I214089,2018-08-22 04:20:38,-1.0,0.1,11.0,14.87
Flower power 587C,PI040298AD5I214089,2018-08-22 04:35:38,-1.0,0.1,11.0,14.97
Flower power 587C,PI040298AD5I214089,2018-08-22 04:50:38,-1.0,0.1,11.0,14.92
Flower power 587C,PI040298AD5I214089,2018-08-22 05:05:38,-1.0,0.1,10.75,15.35
Flower power 587C,PI040298AD5I214089,2018-08-22 05:20:38,-1.0,0.1,11.0,16.71
Flower power 587C,PI040298AD5I214089,2018-08-22 05:35:38,-1.0,0.1,10.75,16.34
Flower power 587C,PI040298AD5I214089,2018-08-22 05:50:38,-1.0,0.26,10.75,16.5
Flower power 587C,PI040298AD5I214089,2018-08-22 06:05:38,-1.0,1.5,10.88,16.45
