NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5B9E,PI040298AD5I211602,2018-08-25 09:59:24,-1.0,85.81,7.88,50.71
Flower power 5B9E,PI040298AD5I211602,2018-08-25 10:14:24,-1.0,109.26,7.76,53.11
Flower power 5B9E,PI040298AD5I211602,2018-08-25 10:29:24,-1.0,102.5,8.01,52.99
Flower power 5B9E,PI040298AD5I211602,2018-08-25 10:44:24,-1.0,137.31,8.01,54.26
Flower power 5B9E,PI040298AD5I211602,2018-08-25 10:59:24,-1.0,141.64,8.39,55.0
Flower power 5B9E,PI040298AD5I211602,2018-08-25 11:14:24,-1.0,146.24,8.13,55.0
Flower power 5B9E,PI040298AD5I211602,2018-08-25 11:29:24,-1.0,149.47,8.51,55.0
Flower power 5B9E,PI040298AD5I211602,2018-08-25 11:44:24,-1.0,151.14,8.39,55.0
Flower power 5B9E,PI040298AD5I211602,2018-08-25 11:59:24,-1.0,152.85,8.64,55.0
Flower power 5B9E,PI040298AD5I211602,2018-08-25 12:14:24,-1.0,152.85,8.26,55.0
Flower power 5B9E,PI040298AD5I211602,2018-08-25 12:29:24,-1.0,154.59,8.51,55.0
Flower power 5B9E,PI040298AD5I211602,2018-08-25 12:44:24,-1.0,154.59,8.51,54.26
Flower power 5B9E,PI040298AD5I211602,2018-08-25 12:59:24,-1.0,152.85,8.9,54.39
Flower power 5B9E,PI040298AD5I211602,2018-08-25 13:14:24,-1.0,151.14,8.64,55.0
Flower power 5B9E,PI040298AD5I211602,2018-08-25 13:29:24,-1.0,147.84,8.64,54.26
Flower power 5B9E,PI040298AD5I211602,2018-08-25 13:44:24,-1.0,143.14,9.02,54.14
Flower power 5B9E,PI040298AD5I211602,2018-08-25 13:59:24,-1.0,141.64,8.64,55.0
Flower power 5B9E,PI040298AD5I211602,2018-08-25 14:14:24,-1.0,137.31,9.02,54.78
Flower power 5B9E,PI040298AD5I211602,2018-08-25 14:29:24,-1.0,133.23,8.64,54.85
Flower power 5B9E,PI040298AD5I211602,2018-08-25 14:44:24,-1.0,128.14,8.64,53.69
Flower power 5B9E,PI040298AD5I211602,2018-08-25 14:59:24,-1.0,120.09,8.9,54.85
Flower power 5B9E,PI040298AD5I211602,2018-08-25 15:14:24,-1.0,88.71,9.15,52.74
Flower power 5B9E,PI040298AD5I211602,2018-08-25 15:29:24,-1.0,104.12,9.02,52.74
Flower power 5B9E,PI040298AD5I211602,2018-08-25 15:44:24,-1.0,94.44,9.02,50.71
Flower power 5B9E,PI040298AD5I211602,2018-08-25 15:59:24,-1.0,81.53,8.9,51.08
Flower power 5B9E,PI040298AD5I211602,2018-08-25 16:14:24,-1.0,79.06,9.15,49.12
Flower power 5B9E,PI040298AD5I211602,2018-08-25 16:29:24,-1.0,72.46,8.64,47.86
Flower power 5B9E,PI040298AD5I211602,2018-08-25 16:44:24,-1.0,65.49,8.9,46.03
Flower power 5B9E,PI040298AD5I211602,2018-08-25 16:59:24,-1.0,48.39,9.02,41.86
Flower power 5B9E,PI040298AD5I211602,2018-08-25 17:14:24,-1.0,48.21,8.9,41.26
Flower power 5B9E,PI040298AD5I211602,2018-08-25 17:29:24,-1.0,21.03,8.9,37.06
Flower power 5B9E,PI040298AD5I211602,2018-08-25 17:44:24,-1.0,11.63,9.02,31.78
Flower power 5B9E,PI040298AD5I211602,2018-08-25 17:59:24,-1.0,24.96,9.02,33.07
Flower power 5B9E,PI040298AD5I211602,2018-08-25 18:14:24,-1.0,7.85,8.64,28.6
