NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5BC7,PI040298AD5I211154,2018-08-28 17:40:01,-1.0,7.5,6.84,28.29
Flower power 5BC7,PI040298AD5I211154,2018-08-28 17:55:01,-1.0,5.69,6.72,27.04
Flower power 5BC7,PI040298AD5I211154,2018-08-28 18:10:01,-1.0,4.67,6.72,26.01
Flower power 5BC7,PI040298AD5I211154,2018-08-28 18:25:01,-1.0,3.31,6.48,24.93
Flower power 5BC7,PI040298AD5I211154,2018-08-28 18:40:01,-1.0,2.18,6.84,23.79
Flower power 5BC7,PI040298AD5I211154,2018-08-28 18:55:01,-1.0,1.11,6.6,23.0
Flower power 5BC7,PI040298AD5I211154,2018-08-28 19:10:01,-1.0,0.31,6.84,22.21
Flower power 5BC7,PI040298AD5I211154,2018-08-28 19:25:01,-1.0,0.1,6.48,21.83
Flower power 5BC7,PI040298AD5I211154,2018-08-28 19:40:01,-1.0,0.1,6.6,21.45
Flower power 5BC7,PI040298AD5I211154,2018-08-28 19:55:01,-1.0,0.1,6.72,21.26
Flower power 5BC7,PI040298AD5I211154,2018-08-28 20:10:01,-1.0,0.1,6.6,21.03
Flower power 5BC7,PI040298AD5I211154,2018-08-28 20:25:01,-1.0,0.1,6.84,20.88
Flower power 5BC7,PI040298AD5I211154,2018-08-28 20:40:01,-1.0,0.1,6.84,20.83
Flower power 5BC7,PI040298AD5I211154,2018-08-28 20:55:01,-1.0,0.1,6.84,20.69
Flower power 5BC7,PI040298AD5I211154,2018-08-28 21:10:01,-1.0,0.1,6.72,20.5
Flower power 5BC7,PI040298AD5I211154,2018-08-28 21:25:01,-1.0,0.1,6.6,20.35
Flower power 5BC7,PI040298AD5I211154,2018-08-28 21:40:01,-1.0,0.1,6.48,20.45
Flower power 5BC7,PI040298AD5I211154,2018-08-28 21:55:01,-1.0,0.1,6.6,20.3
Flower power 5BC7,PI040298AD5I211154,2018-08-28 22:10:01,-1.0,0.1,6.6,20.11
Flower power 5BC7,PI040298AD5I211154,2018-08-28 22:25:01,-1.0,0.1,6.72,20.11
Flower power 5BC7,PI040298AD5I211154,2018-08-28 22:40:01,-1.0,0.1,6.48,20.26
Flower power 5BC7,PI040298AD5I211154,2018-08-28 22:55:01,-1.0,0.1,6.72,20.35
Flower power 5BC7,PI040298AD5I211154,2018-08-28 23:10:01,-1.0,0.1,6.72,20.3
Flower power 5BC7,PI040298AD5I211154,2018-08-28 23:25:01,-1.0,0.1,6.48,20.26
Flower power 5BC7,PI040298AD5I211154,2018-08-28 23:40:01,-1.0,0.1,6.6,20.21
Flower power 5BC7,PI040298AD5I211154,2018-08-28 23:55:01,-1.0,0.1,6.48,20.21
Flower power 5BC7,PI040298AD5I211154,2018-08-29 00:10:01,-1.0,0.1,6.36,20.06
Flower power 5BC7,PI040298AD5I211154,2018-08-29 00:25:01,-1.0,0.1,6.48,19.82
Flower power 5BC7,PI040298AD5I211154,2018-08-29 00:40:01,-1.0,0.1,6.48,19.87
Flower power 5BC7,PI040298AD5I211154,2018-08-29 00:55:01,-1.0,0.1,6.48,19.72
Flower power 5BC7,PI040298AD5I211154,2018-08-29 01:10:01,-1.0,0.1,6.6,19.57
Flower power 5BC7,PI040298AD5I211154,2018-08-29 01:25:01,-1.0,0.1,6.6,19.53
Flower power 5BC7,PI040298AD5I211154,2018-08-29 01:40:01,-1.0,0.1,6.48,19.53
Flower power 5BC7,PI040298AD5I211154,2018-08-29 01:55:01,-1.0,0.1,6.72,19.67
Flower power 5BC7,PI040298AD5I211154,2018-08-29 02:10:01,-1.0,0.1,6.72,19.43
Flower power 5BC7,PI040298AD5I211154,2018-08-29 02:25:01,-1.0,0.1,6.36,19.43
Flower power 5BC7,PI040298AD5I211154,2018-08-29 02:40:01,-1.0,0.1,6.6,19.23
Flower power 5BC7,PI040298AD5I211154,2018-08-29 02:55:01,-1.0,0.1,6.72,18.83
Flower power 5BC7,PI040298AD5I211154,2018-08-29 03:10:01,-1.0,0.1,6.36,18.08
Flower power 5BC7,PI040298AD5I211154,2018-08-29 03:25:01,-1.0,0.1,6.36,17.83
Flower power 5BC7,PI040298AD5I211154,2018-08-29 03:40:01,-1.0,0.1,6.6,17.58
Flower power 5BC7,PI040298AD5I211154,2018-08-29 03:55:01,-1.0,0.1,6.36,16.71
Flower power 5BC7,PI040298AD5I211154,2018-08-29 04:10:01,-1.0,0.1,6.6,16.19
Flower power 5BC7,PI040298AD5I211154,2018-08-29 04:25:01,-1.0,0.1,6.48,16.03
Flower power 5BC7,PI040298AD5I211154,2018-08-29 04:40:01,-1.0,0.1,6.6,17.07
Flower power 5BC7,PI040298AD5I211154,2018-08-29 04:55:01,-1.0,0.1,6.48,17.12
Flower power 5BC7,PI040298AD5I211154,2018-08-29 05:10:01,-1.0,0.1,6.72,16.91
Flower power 5BC7,PI040298AD5I211154,2018-08-29 05:25:01,-1.0,0.1,6.36,16.45
Flower power 5BC7,PI040298AD5I211154,2018-08-29 05:40:01,-1.0,0.1,6.48,16.03
Flower power 5BC7,PI040298AD5I211154,2018-08-29 05:55:01,-1.0,0.1,6.48,16.03
Flower power 5BC7,PI040298AD5I211154,2018-08-29 06:10:01,-1.0,0.56,6.6,15.82
Flower power 5BC7,PI040298AD5I211154,2018-08-29 06:25:01,-1.0,1.62,6.72,16.29
Flower power 5BC7,PI040298AD5I211154,2018-08-29 06:40:01,-1.0,3.06,6.72,18.13
Flower power 5BC7,PI040298AD5I211154,2018-08-29 06:55:01,-1.0,5.13,6.72,20.16
Flower power 5BC7,PI040298AD5I211154,2018-08-29 07:10:01,-1.0,7.2,6.48,22.96
Flower power 5BC7,PI040298AD5I211154,2018-08-29 07:25:01,-1.0,21.61,6.48,24.7
Flower power 5BC7,PI040298AD5I211154,2018-08-29 07:40:01,-1.0,21.31,6.72,29.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 07:55:01,-1.0,32.99,6.6,33.16
Flower power 5BC7,PI040298AD5I211154,2018-08-29 08:10:01,-1.0,44.09,6.72,36.46
Flower power 5BC7,PI040298AD5I211154,2018-08-29 08:25:01,-1.0,53.49,6.48,40.53
Flower power 5BC7,PI040298AD5I211154,2018-08-29 08:40:01,-1.0,39.62,6.36,44.32
Flower power 5BC7,PI040298AD5I211154,2018-08-29 08:55:01,-1.0,42.88,6.48,46.97
Flower power 5BC7,PI040298AD5I211154,2018-08-29 09:10:01,-1.0,64.66,6.36,51.26
Flower power 5BC7,PI040298AD5I211154,2018-08-29 09:25:01,-1.0,70.32,6.6,51.56
Flower power 5BC7,PI040298AD5I211154,2018-08-29 09:40:01,-1.0,76.51,6.48,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 09:55:01,-1.0,76.51,6.36,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 10:10:01,-1.0,71.21,6.48,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 10:25:01,-1.0,62.84,6.13,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 10:40:01,-1.0,73.53,6.36,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 10:55:01,-1.0,78.09,6.48,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 11:10:01,-1.0,72.58,6.48,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 11:25:01,-1.0,89.1,6.36,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 11:40:01,-1.0,101.74,6.25,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 11:55:01,-1.0,94.23,6.25,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 12:10:01,-1.0,112.67,6.13,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 12:25:01,-1.0,114.9,6.13,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 12:40:01,-1.0,120.89,6.48,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 12:55:01,-1.0,119.64,6.13,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 13:10:01,-1.0,120.89,6.48,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 13:25:01,-1.0,127.5,6.13,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 13:40:01,-1.0,120.89,6.25,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 13:55:01,-1.0,112.67,6.48,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 14:10:01,-1.0,120.89,6.48,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 14:25:01,-1.0,116.05,6.48,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 14:40:01,-1.0,109.47,6.25,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 14:55:01,-1.0,108.44,6.25,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 15:10:01,-1.0,101.74,6.36,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 15:25:01,-1.0,83.24,6.36,55.0
Flower power 5BC7,PI040298AD5I211154,2018-08-29 15:40:01,-1.0,60.47,6.6,54.46
Flower power 5BC7,PI040298AD5I211154,2018-08-29 15:55:01,-1.0,40.05,6.25,51.75
Flower power 5BC7,PI040298AD5I211154,2018-08-29 16:10:01,-1.0,31.54,6.48,48.43
Flower power 5BC7,PI040298AD5I211154,2018-08-29 16:25:01,-1.0,21.44,6.72,43.96
Flower power 5BC7,PI040298AD5I211154,2018-08-29 16:40:01,-1.0,38.09,6.72,38.32
Flower power 5BC7,PI040298AD5I211154,2018-08-29 16:55:01,-1.0,17.07,6.36,35.72
Flower power 5BC7,PI040298AD5I211154,2018-08-29 17:10:01,-1.0,12.95,6.6,32.4
Flower power 5BC7,PI040298AD5I211154,2018-08-29 17:25:01,-1.0,9.37,6.6,30.5
Flower power 5BC7,PI040298AD5I211154,2018-08-29 17:40:01,-1.0,9.51,6.6,29.13
Flower power 5BC7,PI040298AD5I211154,2018-08-29 17:55:01,-1.0,6.57,6.6,27.84
Flower power 5BC7,PI040298AD5I211154,2018-08-29 18:10:01,-1.0,4.71,6.48,26.37
Flower power 5BC7,PI040298AD5I211154,2018-08-29 18:25:01,-1.0,3.29,6.36,25.16
Flower power 5BC7,PI040298AD5I211154,2018-08-29 18:40:01,-1.0,1.98,6.6,24.06
Flower power 5BC7,PI040298AD5I211154,2018-08-29 18:55:01,-1.0,0.96,6.6,23.24
