NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5C9B,PI040298AD5I214023,2018-08-25 17:16:08,-1.0,44.68,5.42,39.27
Flower power 5C9B,PI040298AD5I214023,2018-08-25 17:31:08,-1.0,18.62,5.42,35.4
Flower power 5C9B,PI040298AD5I214023,2018-08-25 17:46:08,-1.0,11.8,5.54,30.45
Flower power 5C9B,PI040298AD5I214023,2018-08-25 18:01:08,-1.0,10.1,5.79,29.3
Flower power 5C9B,PI040298AD5I214023,2018-08-25 18:16:08,-1.0,8.23,5.67,28.29
Flower power 5C9B,PI040298AD5I214023,2018-08-25 18:31:08,-1.0,6.16,5.42,27.09
Flower power 5C9B,PI040298AD5I214023,2018-08-25 18:46:08,-1.0,3.81,6.04,25.92
Flower power 5C9B,PI040298AD5I214023,2018-08-25 19:01:08,-1.0,1.61,6.04,25.11
Flower power 5C9B,PI040298AD5I214023,2018-08-25 19:16:08,-1.0,0.33,5.91,24.29
Flower power 5C9B,PI040298AD5I214023,2018-08-25 19:31:08,-1.0,0.1,6.04,23.74
Flower power 5C9B,PI040298AD5I214023,2018-08-25 19:46:08,-1.0,0.1,5.67,23.47
Flower power 5C9B,PI040298AD5I214023,2018-08-25 20:01:08,-1.0,0.1,5.67,23.24
Flower power 5C9B,PI040298AD5I214023,2018-08-25 20:16:08,-1.0,0.1,5.67,22.72
Flower power 5C9B,PI040298AD5I214023,2018-08-25 20:31:08,-1.0,0.1,5.91,22.54
Flower power 5C9B,PI040298AD5I214023,2018-08-25 20:46:08,-1.0,0.1,5.91,22.82
Flower power 5C9B,PI040298AD5I214023,2018-08-25 21:01:08,-1.0,0.1,6.04,21.6
Flower power 5C9B,PI040298AD5I214023,2018-08-25 21:16:08,-1.0,0.1,6.16,21.79
Flower power 5C9B,PI040298AD5I214023,2018-08-25 21:31:08,-1.0,0.1,5.79,21.45
Flower power 5C9B,PI040298AD5I214023,2018-08-25 21:46:08,-1.0,0.1,5.91,21.03
Flower power 5C9B,PI040298AD5I214023,2018-08-25 22:01:08,-1.0,0.1,5.79,21.55
Flower power 5C9B,PI040298AD5I214023,2018-08-25 22:16:08,-1.0,0.1,5.67,21.22
Flower power 5C9B,PI040298AD5I214023,2018-08-25 22:31:08,-1.0,0.1,6.04,20.88
Flower power 5C9B,PI040298AD5I214023,2018-08-25 22:46:08,-1.0,0.1,5.79,21.03
Flower power 5C9B,PI040298AD5I214023,2018-08-25 23:01:08,-1.0,0.1,6.16,20.98
Flower power 5C9B,PI040298AD5I214023,2018-08-25 23:16:08,-1.0,0.1,5.91,20.16
Flower power 5C9B,PI040298AD5I214023,2018-08-25 23:31:08,-1.0,0.1,6.04,19.96
Flower power 5C9B,PI040298AD5I214023,2018-08-25 23:46:08,-1.0,0.1,5.91,19.82
Flower power 5C9B,PI040298AD5I214023,2018-08-26 00:01:08,-1.0,0.1,5.67,19.72
Flower power 5C9B,PI040298AD5I214023,2018-08-26 00:16:08,-1.0,0.1,5.91,19.57
Flower power 5C9B,PI040298AD5I214023,2018-08-26 00:31:08,-1.0,0.1,6.16,19.48
Flower power 5C9B,PI040298AD5I214023,2018-08-26 00:46:08,-1.0,0.1,5.79,18.88
Flower power 5C9B,PI040298AD5I214023,2018-08-26 01:01:08,-1.0,0.1,5.79,18.49
Flower power 5C9B,PI040298AD5I214023,2018-08-26 01:16:08,-1.0,0.1,5.91,18.34
Flower power 5C9B,PI040298AD5I214023,2018-08-26 01:31:08,-1.0,0.1,5.79,18.03
Flower power 5C9B,PI040298AD5I214023,2018-08-26 01:46:08,-1.0,0.1,5.67,15.61
Flower power 5C9B,PI040298AD5I214023,2018-08-26 02:01:08,-1.0,0.1,6.04,16.5
Flower power 5C9B,PI040298AD5I214023,2018-08-26 02:16:08,-1.0,0.1,5.79,17.02
Flower power 5C9B,PI040298AD5I214023,2018-08-26 02:31:08,-1.0,0.1,6.04,18.13
Flower power 5C9B,PI040298AD5I214023,2018-08-26 02:46:08,-1.0,0.1,5.79,18.13
Flower power 5C9B,PI040298AD5I214023,2018-08-26 03:01:08,-1.0,0.1,5.79,17.73
Flower power 5C9B,PI040298AD5I214023,2018-08-26 03:16:08,-1.0,0.1,6.04,17.73
Flower power 5C9B,PI040298AD5I214023,2018-08-26 03:31:08,-1.0,0.1,5.91,17.38
Flower power 5C9B,PI040298AD5I214023,2018-08-26 03:46:08,-1.0,0.1,5.79,16.81
Flower power 5C9B,PI040298AD5I214023,2018-08-26 04:01:08,-1.0,0.1,6.16,17.12
Flower power 5C9B,PI040298AD5I214023,2018-08-26 04:16:08,-1.0,0.1,6.16,17.12
Flower power 5C9B,PI040298AD5I214023,2018-08-26 04:31:08,-1.0,0.1,6.04,16.76
Flower power 5C9B,PI040298AD5I214023,2018-08-26 04:46:08,-1.0,0.1,6.04,15.4
Flower power 5C9B,PI040298AD5I214023,2018-08-26 05:01:08,-1.0,0.1,6.04,15.19
Flower power 5C9B,PI040298AD5I214023,2018-08-26 05:16:08,-1.0,0.1,5.79,15.19
Flower power 5C9B,PI040298AD5I214023,2018-08-26 05:31:08,-1.0,0.1,6.28,15.93
Flower power 5C9B,PI040298AD5I214023,2018-08-26 05:46:08,-1.0,0.1,5.91,16.34
Flower power 5C9B,PI040298AD5I214023,2018-08-26 06:01:08,-1.0,0.82,6.04,16.91
Flower power 5C9B,PI040298AD5I214023,2018-08-26 06:16:08,-1.0,3.17,5.54,18.59
Flower power 5C9B,PI040298AD5I214023,2018-08-26 06:31:08,-1.0,10.01,5.54,22.16
Flower power 5C9B,PI040298AD5I214023,2018-08-26 06:46:08,-1.0,18.56,5.54,25.07
Flower power 5C9B,PI040298AD5I214023,2018-08-26 07:01:08,-1.0,30.35,6.28,27.76
Flower power 5C9B,PI040298AD5I214023,2018-08-26 07:16:08,-1.0,39.92,6.04,29.53
Flower power 5C9B,PI040298AD5I214023,2018-08-26 07:31:08,-1.0,49.31,6.16,31.38
Flower power 5C9B,PI040298AD5I214023,2018-08-26 07:46:08,-1.0,58.77,6.04,34.45
Flower power 5C9B,PI040298AD5I214023,2018-08-26 08:01:08,-1.0,68.13,5.67,36.23
Flower power 5C9B,PI040298AD5I214023,2018-08-26 08:16:08,-1.0,77.55,6.04,37.15
Flower power 5C9B,PI040298AD5I214023,2018-08-26 08:31:08,-1.0,84.52,5.67,38.37
Flower power 5C9B,PI040298AD5I214023,2018-08-26 08:46:08,-1.0,93.58,5.91,39.27
Flower power 5C9B,PI040298AD5I214023,2018-08-26 09:01:08,-1.0,103.79,6.16,41.51
Flower power 5C9B,PI040298AD5I214023,2018-08-26 09:16:08,-1.0,114.11,5.67,43.54
Flower power 5C9B,PI040298AD5I214023,2018-08-26 09:31:08,-1.0,123.91,6.04,44.9
Flower power 5C9B,PI040298AD5I214023,2018-08-26 09:46:08,-1.0,135.49,5.91,46.2
Flower power 5C9B,PI040298AD5I214023,2018-08-26 10:01:08,-1.0,142.11,6.16,47.69
Flower power 5C9B,PI040298AD5I214023,2018-08-26 10:16:08,-1.0,149.39,5.79,49.3
Flower power 5C9B,PI040298AD5I214023,2018-08-26 10:31:08,-1.0,155.33,5.67,51.38
Flower power 5C9B,PI040298AD5I214023,2018-08-26 10:46:08,-1.0,159.56,6.16,51.81
Flower power 5C9B,PI040298AD5I214023,2018-08-26 11:01:08,-1.0,166.34,6.04,51.99
Flower power 5C9B,PI040298AD5I214023,2018-08-26 11:16:08,-1.0,168.72,6.28,54.07
Flower power 5C9B,PI040298AD5I214023,2018-08-26 11:31:08,-1.0,171.18,5.91,54.72
Flower power 5C9B,PI040298AD5I214023,2018-08-26 11:46:08,-1.0,173.7,6.28,55.0
Flower power 5C9B,PI040298AD5I214023,2018-08-26 12:01:08,-1.0,176.3,6.04,55.0
Flower power 5C9B,PI040298AD5I214023,2018-08-26 12:16:08,-1.0,176.3,6.04,55.0
Flower power 5C9B,PI040298AD5I214023,2018-08-26 12:31:08,-1.0,176.3,6.04,55.0
Flower power 5C9B,PI040298AD5I214023,2018-08-26 12:46:08,-1.0,173.7,6.28,55.0
Flower power 5C9B,PI040298AD5I214023,2018-08-26 13:01:08,-1.0,171.18,6.28,54.52
Flower power 5C9B,PI040298AD5I214023,2018-08-26 13:16:08,-1.0,168.72,6.28,55.0
Flower power 5C9B,PI040298AD5I214023,2018-08-26 13:31:08,-1.0,166.34,6.16,54.52
Flower power 5C9B,PI040298AD5I214023,2018-08-26 13:46:08,-1.0,161.76,6.28,51.99
Flower power 5C9B,PI040298AD5I214023,2018-08-26 14:01:08,-1.0,157.42,5.91,49.41
Flower power 5C9B,PI040298AD5I214023,2018-08-26 14:16:08,-1.0,151.32,5.79,49.24
Flower power 5C9B,PI040298AD5I214023,2018-08-26 14:31:08,-1.0,133.93,5.91,48.89
Flower power 5C9B,PI040298AD5I214023,2018-08-26 14:46:08,-1.0,135.49,6.04,51.56
Flower power 5C9B,PI040298AD5I214023,2018-08-26 15:01:08,-1.0,132.41,6.41,51.75
Flower power 5C9B,PI040298AD5I214023,2018-08-26 15:16:08,-1.0,123.91,6.41,50.41
Flower power 5C9B,PI040298AD5I214023,2018-08-26 15:31:08,-1.0,114.11,6.16,48.66
Flower power 5C9B,PI040298AD5I214023,2018-08-26 15:46:08,-1.0,104.74,6.16,48.6
Flower power 5C9B,PI040298AD5I214023,2018-08-26 16:01:08,-1.0,95.94,6.16,47.47
Flower power 5C9B,PI040298AD5I214023,2018-08-26 16:16:08,-1.0,86.45,5.91,45.65
Flower power 5C9B,PI040298AD5I214023,2018-08-26 16:31:08,-1.0,78.09,6.04,44.74
Flower power 5C9B,PI040298AD5I214023,2018-08-26 16:46:08,-1.0,69.83,6.41,42.42
Flower power 5C9B,PI040298AD5I214023,2018-08-26 17:01:08,-1.0,63.12,6.28,41.61
Flower power 5C9B,PI040298AD5I214023,2018-08-26 17:16:08,-1.0,54.7,6.28,39.75
Flower power 5C9B,PI040298AD5I214023,2018-08-26 17:31:08,-1.0,21.78,6.04,34.95
Flower power 5C9B,PI040298AD5I214023,2018-08-26 17:46:08,-1.0,9.54,6.28,28.24
Flower power 5C9B,PI040298AD5I214023,2018-08-26 18:01:08,-1.0,8.34,6.41,27.22
Flower power 5C9B,PI040298AD5I214023,2018-08-26 18:16:08,-1.0,7.07,6.28,26.33
