NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5F9D,PI040298AD5I212108,2018-08-25 10:31:46,-1.0,45.7,11.29,40.67
Flower power 5F9D,PI040298AD5I212108,2018-08-25 10:46:48,-1.0,100.33,11.55,44.9
Flower power 5F9D,PI040298AD5I212108,2018-08-25 11:01:48,-1.0,61.63,11.42,45.33
Flower power 5F9D,PI040298AD5I212108,2018-08-25 11:16:48,-1.0,146.93,11.94,52.61
Flower power 5F9D,PI040298AD5I212108,2018-08-25 11:31:48,-1.0,132.23,11.94,55.0
Flower power 5F9D,PI040298AD5I212108,2018-08-25 11:46:48,-1.0,151.73,11.81,55.0
Flower power 5F9D,PI040298AD5I212108,2018-08-25 12:01:48,-1.0,152.98,12.2,52.99
Flower power 5F9D,PI040298AD5I212108,2018-08-25 12:16:48,-1.0,75.19,12.33,51.2
Flower power 5F9D,PI040298AD5I212108,2018-08-25 12:31:48,-1.0,99.78,12.46,45.38
Flower power 5F9D,PI040298AD5I212108,2018-08-25 12:46:48,-1.0,26.48,12.33,38.65
Flower power 5F9D,PI040298AD5I212108,2018-08-25 13:01:48,-1.0,27.98,12.46,38.51
Flower power 5F9D,PI040298AD5I212108,2018-08-25 13:16:48,-1.0,78.49,12.59,39.85
Flower power 5F9D,PI040298AD5I212108,2018-08-25 13:31:48,-1.0,23.38,12.59,37.01
Flower power 5F9D,PI040298AD5I212108,2018-08-25 13:46:48,-1.0,21.54,12.46,36.55
Flower power 5F9D,PI040298AD5I212108,2018-08-25 14:01:48,-1.0,49.75,12.33,37.61
Flower power 5F9D,PI040298AD5I212108,2018-08-25 14:16:48,-1.0,26.48,12.72,37.57
Flower power 5F9D,PI040298AD5I212108,2018-08-25 14:31:48,-1.0,41.04,12.97,43.44
Flower power 5F9D,PI040298AD5I212108,2018-08-25 14:46:48,-1.0,55.95,12.59,42.36
Flower power 5F9D,PI040298AD5I212108,2018-08-25 15:01:48,-1.0,31.35,13.1,39.17
Flower power 5F9D,PI040298AD5I212108,2018-08-25 15:16:48,-1.0,45.82,13.1,39.89
