NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 61FC,PI040298AD5I213129,2018-08-25 17:45:35,-1.0,20.41,5.71,30.01
Flower power 61FC,PI040298AD5I213129,2018-08-25 18:00:35,-1.0,16.1,5.83,28.86
Flower power 61FC,PI040298AD5I213129,2018-08-25 18:15:35,-1.0,15.68,5.83,28.2
Flower power 61FC,PI040298AD5I213129,2018-08-25 18:30:35,-1.0,8.65,5.83,26.91
Flower power 61FC,PI040298AD5I213129,2018-08-25 18:45:35,-1.0,4.35,5.83,25.07
Flower power 61FC,PI040298AD5I213129,2018-08-25 19:00:35,-1.0,1.87,6.2,24.11
Flower power 61FC,PI040298AD5I213129,2018-08-25 19:15:35,-1.0,0.42,5.83,23.24
Flower power 61FC,PI040298AD5I213129,2018-08-25 19:30:35,-1.0,0.1,5.95,22.77
Flower power 61FC,PI040298AD5I213129,2018-08-25 19:45:35,-1.0,0.1,6.33,22.58
Flower power 61FC,PI040298AD5I213129,2018-08-25 20:00:35,-1.0,0.1,6.08,22.54
Flower power 61FC,PI040298AD5I213129,2018-08-25 20:15:35,-1.0,0.1,6.2,22.16
Flower power 61FC,PI040298AD5I213129,2018-08-25 20:30:35,-1.0,0.1,6.33,22.44
Flower power 61FC,PI040298AD5I213129,2018-08-25 20:45:35,-1.0,0.1,6.33,22.16
Flower power 61FC,PI040298AD5I213129,2018-08-25 21:00:35,-1.0,0.1,6.08,21.97
Flower power 61FC,PI040298AD5I213129,2018-08-25 21:15:35,-1.0,0.1,6.2,21.74
Flower power 61FC,PI040298AD5I213129,2018-08-25 21:30:35,-1.0,0.1,6.33,21.69
Flower power 61FC,PI040298AD5I213129,2018-08-25 21:45:35,-1.0,0.1,6.2,21.36
Flower power 61FC,PI040298AD5I213129,2018-08-25 22:00:35,-1.0,0.1,6.7,21.41
Flower power 61FC,PI040298AD5I213129,2018-08-25 22:15:35,-1.0,0.1,6.33,21.03
Flower power 61FC,PI040298AD5I213129,2018-08-25 22:30:35,-1.0,0.1,6.2,20.83
Flower power 61FC,PI040298AD5I213129,2018-08-25 22:45:35,-1.0,0.1,6.45,20.93
Flower power 61FC,PI040298AD5I213129,2018-08-25 23:00:35,-1.0,0.1,6.58,20.88
Flower power 61FC,PI040298AD5I213129,2018-08-25 23:15:35,-1.0,0.1,6.45,20.45
Flower power 61FC,PI040298AD5I213129,2018-08-25 23:30:35,-1.0,0.1,6.33,20.21
Flower power 61FC,PI040298AD5I213129,2018-08-25 23:45:35,-1.0,0.1,6.45,20.11
Flower power 61FC,PI040298AD5I213129,2018-08-26 00:00:35,-1.0,0.1,6.58,19.53
Flower power 61FC,PI040298AD5I213129,2018-08-26 00:15:35,-1.0,0.1,6.7,19.38
Flower power 61FC,PI040298AD5I213129,2018-08-26 00:30:35,-1.0,0.1,6.45,19.03
Flower power 61FC,PI040298AD5I213129,2018-08-26 00:45:35,-1.0,0.1,6.08,18.88
Flower power 61FC,PI040298AD5I213129,2018-08-26 01:00:35,-1.0,0.1,6.33,18.69
Flower power 61FC,PI040298AD5I213129,2018-08-26 01:15:35,-1.0,0.1,6.7,18.78
Flower power 61FC,PI040298AD5I213129,2018-08-26 01:30:35,-1.0,0.1,6.2,18.44
Flower power 61FC,PI040298AD5I213129,2018-08-26 01:45:35,-1.0,0.1,6.2,18.19
Flower power 61FC,PI040298AD5I213129,2018-08-26 02:00:35,-1.0,0.1,6.45,17.98
Flower power 61FC,PI040298AD5I213129,2018-08-26 02:15:35,-1.0,0.1,6.45,17.88
Flower power 61FC,PI040298AD5I213129,2018-08-26 02:30:35,-1.0,0.1,6.33,18.08
Flower power 61FC,PI040298AD5I213129,2018-08-26 02:45:35,-1.0,0.1,6.2,17.98
Flower power 61FC,PI040298AD5I213129,2018-08-26 03:00:35,-1.0,0.1,6.08,17.38
Flower power 61FC,PI040298AD5I213129,2018-08-26 03:15:35,-1.0,0.1,6.58,17.17
Flower power 61FC,PI040298AD5I213129,2018-08-26 03:30:35,-1.0,0.1,6.7,17.07
Flower power 61FC,PI040298AD5I213129,2018-08-26 03:45:35,-1.0,0.1,6.7,17.12
Flower power 61FC,PI040298AD5I213129,2018-08-26 04:00:35,-1.0,0.1,6.58,17.32
Flower power 61FC,PI040298AD5I213129,2018-08-26 04:15:35,-1.0,0.1,6.45,16.97
Flower power 61FC,PI040298AD5I213129,2018-08-26 04:30:35,-1.0,0.1,6.2,16.97
Flower power 61FC,PI040298AD5I213129,2018-08-26 04:45:35,-1.0,0.1,6.58,16.19
Flower power 61FC,PI040298AD5I213129,2018-08-26 05:00:35,-1.0,0.1,6.58,15.13
Flower power 61FC,PI040298AD5I213129,2018-08-26 05:15:35,-1.0,0.1,6.58,16.34
Flower power 61FC,PI040298AD5I213129,2018-08-26 05:30:35,-1.0,0.1,6.45,16.91
Flower power 61FC,PI040298AD5I213129,2018-08-26 05:45:35,-1.0,0.1,6.58,16.71
Flower power 61FC,PI040298AD5I213129,2018-08-26 06:00:35,-1.0,0.61,6.2,16.81
Flower power 61FC,PI040298AD5I213129,2018-08-26 06:15:35,-1.0,2.21,6.33,17.22
Flower power 61FC,PI040298AD5I213129,2018-08-26 06:30:35,-1.0,6.82,6.45,18.39
Flower power 61FC,PI040298AD5I213129,2018-08-26 06:45:27,-1.0,13.95,6.33,23.37
Flower power 61FC,PI040298AD5I213129,2018-08-26 07:00:27,-1.0,11.01,6.45,23.6
Flower power 61FC,PI040298AD5I213129,2018-08-26 07:15:27,-1.0,13.2,6.33,22.12
Flower power 61FC,PI040298AD5I213129,2018-08-26 07:30:27,-1.0,27.63,6.83,24.34
Flower power 61FC,PI040298AD5I213129,2018-08-26 07:45:27,-1.0,48.83,6.83,31.73
Flower power 61FC,PI040298AD5I213129,2018-08-26 08:00:27,-1.0,60.84,6.58,37.47
Flower power 61FC,PI040298AD5I213129,2018-08-26 08:15:27,-1.0,71.06,6.58,38.89
Flower power 61FC,PI040298AD5I213129,2018-08-26 08:30:27,-1.0,79.18,6.2,39.6
Flower power 61FC,PI040298AD5I213129,2018-08-26 08:45:27,-1.0,85.23,6.33,40.53
Flower power 61FC,PI040298AD5I213129,2018-08-26 09:00:27,-1.0,91.5,6.45,45.49
Flower power 61FC,PI040298AD5I213129,2018-08-26 09:15:27,-1.0,97.88,6.58,46.85
