NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 641D,PI040298AD5I213854,2018-08-21 17:54:16,-1.0,33.38,3.61,37.75
Flower power 641D,PI040298AD5I213854,2018-08-21 18:09:16,-1.0,24.27,3.84,35.77
Flower power 641D,PI040298AD5I213854,2018-08-21 18:24:16,-1.0,17.13,3.95,34.5
Flower power 641D,PI040298AD5I213854,2018-08-21 18:39:16,-1.0,8.07,3.84,31.03
Flower power 641D,PI040298AD5I213854,2018-08-21 18:54:16,-1.0,4.52,4.07,28.77
Flower power 641D,PI040298AD5I213854,2018-08-21 19:09:16,-1.0,1.7,3.84,27.31
Flower power 641D,PI040298AD5I213854,2018-08-21 19:24:16,-1.0,0.32,3.84,25.97
Flower power 641D,PI040298AD5I213854,2018-08-21 19:39:16,-1.0,0.1,4.18,25.34
Flower power 641D,PI040298AD5I213854,2018-08-21 19:54:16,-1.0,0.1,4.07,24.84
Flower power 641D,PI040298AD5I213854,2018-08-21 20:09:16,-1.0,0.1,3.95,24.48
Flower power 641D,PI040298AD5I213854,2018-08-21 20:24:16,-1.0,0.1,4.41,23.93
Flower power 641D,PI040298AD5I213854,2018-08-21 20:39:16,-1.0,0.1,4.41,23.37
Flower power 641D,PI040298AD5I213854,2018-08-21 20:54:16,-1.0,0.1,4.53,22.91
Flower power 641D,PI040298AD5I213854,2018-08-21 21:09:16,-1.0,0.1,4.18,22.96
Flower power 641D,PI040298AD5I213854,2018-08-21 21:24:16,-1.0,0.1,4.41,23.19
Flower power 641D,PI040298AD5I213854,2018-08-21 21:39:16,-1.0,0.1,4.53,23.05
Flower power 641D,PI040298AD5I213854,2018-08-21 21:54:16,-1.0,0.1,4.53,23.33
Flower power 641D,PI040298AD5I213854,2018-08-21 22:09:16,-1.0,0.1,4.53,23.14
Flower power 641D,PI040298AD5I213854,2018-08-21 22:24:16,-1.0,0.1,4.76,22.91
Flower power 641D,PI040298AD5I213854,2018-08-21 22:39:16,-1.0,0.1,4.76,23.14
Flower power 641D,PI040298AD5I213854,2018-08-21 22:54:16,-1.0,0.1,4.65,22.4
Flower power 641D,PI040298AD5I213854,2018-08-21 23:09:16,-1.0,0.1,4.65,22.02
