NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 65BE,PI040298AD5I206183,2018-08-25 18:02:24,-1.0,19.2,10.01,35.22
Flower power 65BE,PI040298AD5I206183,2018-08-25 18:17:24,-1.0,14.92,9.75,32.49
Flower power 65BE,PI040298AD5I206183,2018-08-25 18:32:24,-1.0,8.6,9.88,30.19
Flower power 65BE,PI040298AD5I206183,2018-08-25 18:47:24,-1.0,3.48,10.14,27.04
Flower power 65BE,PI040298AD5I206183,2018-08-25 19:02:24,-1.0,1.4,9.88,25.65
Flower power 65BE,PI040298AD5I206183,2018-08-25 19:17:24,-1.0,0.28,10.14,24.7
Flower power 65BE,PI040298AD5I206183,2018-08-25 19:32:24,-1.0,0.1,10.01,24.25
Flower power 65BE,PI040298AD5I206183,2018-08-25 19:47:24,-1.0,0.1,9.88,24.06
Flower power 65BE,PI040298AD5I206183,2018-08-25 20:02:24,-1.0,0.1,10.14,23.83
Flower power 65BE,PI040298AD5I206183,2018-08-25 20:17:24,-1.0,0.1,9.88,23.65
Flower power 65BE,PI040298AD5I206183,2018-08-25 20:32:24,-1.0,0.1,9.88,23.83
Flower power 65BE,PI040298AD5I206183,2018-08-25 20:47:24,-1.0,0.1,10.14,23.42
Flower power 65BE,PI040298AD5I206183,2018-08-25 21:02:24,-1.0,0.1,9.75,23.1
Flower power 65BE,PI040298AD5I206183,2018-08-25 21:17:24,-1.0,0.1,10.01,22.86
Flower power 65BE,PI040298AD5I206183,2018-08-25 21:32:24,-1.0,0.1,9.88,22.82
Flower power 65BE,PI040298AD5I206183,2018-08-25 21:47:24,-1.0,0.1,9.75,22.4
Flower power 65BE,PI040298AD5I206183,2018-08-25 22:02:24,-1.0,0.1,9.88,22.77
Flower power 65BE,PI040298AD5I206183,2018-08-25 22:17:24,-1.0,0.1,9.75,22.4
Flower power 65BE,PI040298AD5I206183,2018-08-25 22:32:24,-1.0,0.1,9.75,22.3
Flower power 65BE,PI040298AD5I206183,2018-08-25 22:47:24,-1.0,0.1,10.14,22.3
Flower power 65BE,PI040298AD5I206183,2018-08-25 23:02:24,-1.0,0.1,10.01,22.16
Flower power 65BE,PI040298AD5I206183,2018-08-25 23:17:24,-1.0,0.1,10.01,21.64
Flower power 65BE,PI040298AD5I206183,2018-08-25 23:32:24,-1.0,0.1,10.01,21.5
Flower power 65BE,PI040298AD5I206183,2018-08-25 23:47:24,-1.0,0.1,10.01,21.22
Flower power 65BE,PI040298AD5I206183,2018-08-26 00:02:24,-1.0,0.1,10.01,20.88
Flower power 65BE,PI040298AD5I206183,2018-08-26 00:17:24,-1.0,0.1,10.01,20.45
Flower power 65BE,PI040298AD5I206183,2018-08-26 00:32:24,-1.0,0.1,10.01,20.11
Flower power 65BE,PI040298AD5I206183,2018-08-26 00:47:24,-1.0,0.1,10.14,20.55
Flower power 65BE,PI040298AD5I206183,2018-08-26 01:02:24,-1.0,0.1,9.75,20.3
Flower power 65BE,PI040298AD5I206183,2018-08-26 01:17:24,-1.0,0.1,10.01,20.16
Flower power 65BE,PI040298AD5I206183,2018-08-26 01:32:24,-1.0,0.1,10.01,19.87
Flower power 65BE,PI040298AD5I206183,2018-08-26 01:47:24,-1.0,0.1,10.14,18.49
Flower power 65BE,PI040298AD5I206183,2018-08-26 02:02:24,-1.0,0.1,10.01,19.43
Flower power 65BE,PI040298AD5I206183,2018-08-26 02:17:24,-1.0,0.1,9.75,18.88
Flower power 65BE,PI040298AD5I206183,2018-08-26 02:32:24,-1.0,0.1,10.01,19.23
Flower power 65BE,PI040298AD5I206183,2018-08-26 02:47:24,-1.0,0.1,10.14,19.08
Flower power 65BE,PI040298AD5I206183,2018-08-26 03:02:24,-1.0,0.1,9.88,18.74
Flower power 65BE,PI040298AD5I206183,2018-08-26 03:17:24,-1.0,0.1,9.75,18.59
Flower power 65BE,PI040298AD5I206183,2018-08-26 03:32:24,-1.0,0.1,10.01,18.59
Flower power 65BE,PI040298AD5I206183,2018-08-26 03:47:24,-1.0,0.1,10.14,18.64
