NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 66C4,PI040298AD5I205667,2018-08-26 10:54:52,-1.0,113.22,7.89,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 11:09:52,-1.0,117.14,8.02,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 11:24:52,-1.0,119.91,8.14,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 11:39:52,-1.0,124.3,8.27,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 11:54:52,-1.0,127.4,7.89,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 12:09:52,-1.0,129.01,8.39,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 12:24:52,-1.0,132.35,8.14,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 12:39:52,-1.0,134.08,8.14,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 12:54:52,-1.0,134.08,8.64,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 13:09:52,-1.0,134.08,8.64,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 13:24:52,-1.0,134.08,8.64,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 13:39:52,-1.0,132.35,8.77,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 13:54:52,-1.0,130.66,8.64,55.0
Flower power 66C4,PI040298AD5I205667,2018-08-26 14:09:52,-1.0,125.83,8.77,52.49
Flower power 66C4,PI040298AD5I205667,2018-08-26 14:24:52,-1.0,122.8,8.52,51.75
Flower power 66C4,PI040298AD5I205667,2018-08-26 14:39:52,-1.0,118.51,8.64,52.18
Flower power 66C4,PI040298AD5I205667,2018-08-26 14:54:52,-1.0,111.97,8.77,50.47
Flower power 66C4,PI040298AD5I205667,2018-08-26 15:09:52,-1.0,103.92,8.9,52.24
Flower power 66C4,PI040298AD5I205667,2018-08-26 15:24:52,-1.0,54.28,8.9,46.03
Flower power 66C4,PI040298AD5I205667,2018-08-26 15:39:52,-1.0,31.65,8.64,37.38
Flower power 66C4,PI040298AD5I205667,2018-08-26 15:54:52,-1.0,10.59,9.02,34.05
Flower power 66C4,PI040298AD5I205667,2018-08-26 16:09:52,-1.0,18.18,8.52,33.78
Flower power 66C4,PI040298AD5I205667,2018-08-26 16:24:52,-1.0,11.45,8.52,32.76
Flower power 66C4,PI040298AD5I205667,2018-08-26 16:39:52,-1.0,8.69,8.77,30.98
Flower power 66C4,PI040298AD5I205667,2018-08-26 16:54:52,-1.0,12.55,8.9,31.56
Flower power 66C4,PI040298AD5I205667,2018-08-26 17:09:52,-1.0,7.62,8.52,29.66
