NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 676F,PI040298AD5I207989,2018-08-21 17:31:14,-1.0,17.04,6.24,31.87
Flower power 676F,PI040298AD5I207989,2018-08-21 17:46:14,-1.0,8.59,6.49,30.67
Flower power 676F,PI040298AD5I207989,2018-08-21 18:01:14,-1.0,7.17,6.11,29.35
Flower power 676F,PI040298AD5I207989,2018-08-21 18:16:14,-1.0,6.08,6.37,28.86
Flower power 676F,PI040298AD5I207989,2018-08-21 18:31:14,-1.0,4.67,6.24,28.24
Flower power 676F,PI040298AD5I207989,2018-08-21 18:46:14,-1.0,3.1,6.75,27.36
Flower power 676F,PI040298AD5I207989,2018-08-21 19:01:14,-1.0,1.55,6.49,26.42
Flower power 676F,PI040298AD5I207989,2018-08-21 19:16:14,-1.0,0.47,6.75,24.06
Flower power 676F,PI040298AD5I207989,2018-08-21 19:31:14,-1.0,0.1,6.88,23.83
Flower power 676F,PI040298AD5I207989,2018-08-21 19:46:14,-1.0,0.1,6.88,23.37
Flower power 676F,PI040298AD5I207989,2018-08-21 20:01:14,-1.0,0.1,6.37,23.19
Flower power 676F,PI040298AD5I207989,2018-08-21 20:16:14,-1.0,0.1,6.62,22.16
Flower power 676F,PI040298AD5I207989,2018-08-21 20:31:14,-1.0,0.1,6.24,22.12
Flower power 676F,PI040298AD5I207989,2018-08-21 20:46:14,-1.0,0.1,6.75,21.79
Flower power 676F,PI040298AD5I207989,2018-08-21 21:01:14,-1.0,0.1,6.75,21.41
Flower power 676F,PI040298AD5I207989,2018-08-21 21:16:14,-1.0,0.1,6.37,21.12
Flower power 676F,PI040298AD5I207989,2018-08-21 21:31:14,-1.0,0.1,6.88,22.12
Flower power 676F,PI040298AD5I207989,2018-08-21 21:46:14,-1.0,0.1,6.37,22.3
Flower power 676F,PI040298AD5I207989,2018-08-21 22:01:14,-1.0,0.1,6.62,22.16
Flower power 676F,PI040298AD5I207989,2018-08-21 22:16:14,-1.0,0.1,6.75,22.02
Flower power 676F,PI040298AD5I207989,2018-08-21 22:31:14,-1.0,0.1,6.49,22.07
Flower power 676F,PI040298AD5I207989,2018-08-21 22:46:14,-1.0,0.1,6.75,22.02
Flower power 676F,PI040298AD5I207989,2018-08-21 23:01:14,-1.0,0.1,6.49,21.74
Flower power 676F,PI040298AD5I207989,2018-08-21 23:16:14,-1.0,0.1,6.49,21.26
Flower power 676F,PI040298AD5I207989,2018-08-21 23:31:14,-1.0,0.1,6.75,20.11
Flower power 676F,PI040298AD5I207989,2018-08-21 23:46:14,-1.0,0.1,7.0,19.72
Flower power 676F,PI040298AD5I207989,2018-08-22 00:01:14,-1.0,0.1,6.62,18.74
Flower power 676F,PI040298AD5I207989,2018-08-22 00:16:14,-1.0,0.1,6.88,18.83
Flower power 676F,PI040298AD5I207989,2018-08-22 00:31:14,-1.0,0.1,6.75,18.98
Flower power 676F,PI040298AD5I207989,2018-08-22 00:46:14,-1.0,0.1,6.49,18.69
Flower power 676F,PI040298AD5I207989,2018-08-22 01:01:14,-1.0,0.1,6.75,17.83
Flower power 676F,PI040298AD5I207989,2018-08-22 01:16:14,-1.0,0.1,6.88,17.48
Flower power 676F,PI040298AD5I207989,2018-08-22 01:31:14,-1.0,0.1,6.75,17.27
Flower power 676F,PI040298AD5I207989,2018-08-22 01:46:14,-1.0,0.1,6.37,16.76
Flower power 676F,PI040298AD5I207989,2018-08-22 02:01:14,-1.0,0.1,7.0,16.66
Flower power 676F,PI040298AD5I207989,2018-08-22 02:16:14,-1.0,0.1,7.0,16.55
Flower power 676F,PI040298AD5I207989,2018-08-22 02:31:14,-1.0,0.1,7.0,16.24
Flower power 676F,PI040298AD5I207989,2018-08-22 02:46:14,-1.0,0.1,6.49,16.03
Flower power 676F,PI040298AD5I207989,2018-08-22 03:01:14,-1.0,0.1,6.49,16.03
Flower power 676F,PI040298AD5I207989,2018-08-22 03:16:14,-1.0,0.1,6.88,15.72
Flower power 676F,PI040298AD5I207989,2018-08-22 03:31:14,-1.0,0.1,6.75,15.82
Flower power 676F,PI040298AD5I207989,2018-08-22 03:46:14,-1.0,0.1,6.88,15.56
Flower power 676F,PI040298AD5I207989,2018-08-22 04:01:14,-1.0,0.1,7.0,15.4
Flower power 676F,PI040298AD5I207989,2018-08-22 04:16:14,-1.0,0.1,6.62,15.08
Flower power 676F,PI040298AD5I207989,2018-08-22 04:31:14,-1.0,0.1,6.75,15.19
Flower power 676F,PI040298AD5I207989,2018-08-22 04:46:14,-1.0,0.1,6.75,15.13
Flower power 676F,PI040298AD5I207989,2018-08-22 05:01:14,-1.0,0.1,7.0,15.19
Flower power 676F,PI040298AD5I207989,2018-08-22 05:16:14,-1.0,0.1,6.75,15.13
Flower power 676F,PI040298AD5I207989,2018-08-22 05:31:14,-1.0,0.1,7.0,15.13
Flower power 676F,PI040298AD5I207989,2018-08-22 05:46:14,-1.0,0.1,6.88,15.03
Flower power 676F,PI040298AD5I207989,2018-08-22 06:01:14,-1.0,0.62,7.26,15.35
Flower power 676F,PI040298AD5I207989,2018-08-22 06:16:14,-1.0,1.91,7.0,16.24
Flower power 676F,PI040298AD5I207989,2018-08-22 06:31:14,-1.0,3.86,6.75,17.43
Flower power 676F,PI040298AD5I207989,2018-08-22 06:46:14,-1.0,5.91,6.62,18.88
Flower power 676F,PI040298AD5I207989,2018-08-22 07:01:14,-1.0,8.1,7.0,20.83
Flower power 676F,PI040298AD5I207989,2018-08-22 07:16:14,-1.0,11.58,6.88,22.77
Flower power 676F,PI040298AD5I207989,2018-08-22 07:31:14,-1.0,12.94,7.26,24.75
Flower power 676F,PI040298AD5I207989,2018-08-22 07:46:14,-1.0,20.41,6.62,27.13
Flower power 676F,PI040298AD5I207989,2018-08-22 08:01:14,-1.0,31.82,7.0,29.66
Flower power 676F,PI040298AD5I207989,2018-08-22 08:16:14,-1.0,49.09,6.75,33.6
Flower power 676F,PI040298AD5I207989,2018-08-22 08:31:14,-1.0,60.74,6.75,37.71
Flower power 676F,PI040298AD5I207989,2018-08-22 08:46:14,-1.0,70.38,6.75,40.53
Flower power 676F,PI040298AD5I207989,2018-08-22 09:01:14,-1.0,76.71,7.13,43.7
Flower power 676F,PI040298AD5I207989,2018-08-22 09:16:14,-1.0,85.78,6.88,47.24
Flower power 676F,PI040298AD5I207989,2018-08-22 09:31:14,-1.0,94.3,6.75,50.24
Flower power 676F,PI040298AD5I207989,2018-08-22 09:46:14,-1.0,101.32,7.26,52.3
Flower power 676F,PI040298AD5I207989,2018-08-22 10:01:14,-1.0,108.19,6.88,54.59
Flower power 676F,PI040298AD5I207989,2018-08-22 10:16:14,-1.0,111.98,6.62,54.92
Flower power 676F,PI040298AD5I207989,2018-08-22 10:31:14,-1.0,116.03,7.26,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 10:46:14,-1.0,117.45,6.75,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 11:01:14,-1.0,120.38,7.0,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 11:16:14,-1.0,123.46,7.13,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 11:31:14,-1.0,126.7,7.0,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 11:46:14,-1.0,128.38,7.0,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 12:01:14,-1.0,126.7,6.62,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 12:16:14,-1.0,126.7,6.75,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 12:31:14,-1.0,126.7,6.62,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 12:46:14,-1.0,97.19,6.88,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 13:01:14,-1.0,125.06,6.88,54.72
Flower power 676F,PI040298AD5I207989,2018-08-22 13:16:14,-1.0,123.46,7.26,55.0
Flower power 676F,PI040298AD5I207989,2018-08-22 13:31:14,-1.0,120.38,7.0,53.75
Flower power 676F,PI040298AD5I207989,2018-08-22 13:46:14,-1.0,117.45,7.26,54.39
Flower power 676F,PI040298AD5I207989,2018-08-22 14:01:14,-1.0,113.3,7.0,51.87
Flower power 676F,PI040298AD5I207989,2018-08-22 14:16:14,-1.0,108.19,7.13,53.18
Flower power 676F,PI040298AD5I207989,2018-08-22 14:31:14,-1.0,103.52,6.88,52.55
Flower power 676F,PI040298AD5I207989,2018-08-22 14:46:14,-1.0,97.19,6.88,52.24
Flower power 676F,PI040298AD5I207989,2018-08-22 15:01:14,-1.0,89.84,7.13,49.94
Flower power 676F,PI040298AD5I207989,2018-08-22 15:16:14,-1.0,82.77,7.13,49.18
Flower power 676F,PI040298AD5I207989,2018-08-22 15:31:14,-1.0,73.7,7.26,47.3
Flower power 676F,PI040298AD5I207989,2018-08-22 15:46:14,-1.0,60.74,7.13,46.09
Flower power 676F,PI040298AD5I207989,2018-08-22 16:01:14,-1.0,44.33,7.13,43.59
Flower power 676F,PI040298AD5I207989,2018-08-22 16:16:14,-1.0,37.08,7.26,43.23
Flower power 676F,PI040298AD5I207989,2018-08-22 16:31:14,-1.0,30.1,7.26,43.08
Flower power 676F,PI040298AD5I207989,2018-08-22 16:46:14,-1.0,18.86,6.88,40.72
Flower power 676F,PI040298AD5I207989,2018-08-22 17:01:14,-1.0,17.7,7.13,35.0
Flower power 676F,PI040298AD5I207989,2018-08-22 17:16:14,-1.0,12.16,7.26,32.8
Flower power 676F,PI040298AD5I207989,2018-08-22 17:31:14,-1.0,13.94,6.88,33.2
Flower power 676F,PI040298AD5I207989,2018-08-22 17:46:14,-1.0,9.64,7.13,31.29
Flower power 676F,PI040298AD5I207989,2018-08-22 18:01:14,-1.0,7.0,7.0,29.39
Flower power 676F,PI040298AD5I207989,2018-08-22 18:16:14,-1.0,5.63,6.88,27.98
Flower power 676F,PI040298AD5I207989,2018-08-22 18:31:14,-1.0,4.58,7.13,27.0
Flower power 676F,PI040298AD5I207989,2018-08-22 18:46:14,-1.0,2.99,7.13,26.19
Flower power 676F,PI040298AD5I207989,2018-08-22 19:01:14,-1.0,1.49,6.75,24.93
Flower power 676F,PI040298AD5I207989,2018-08-22 19:16:14,-1.0,0.41,7.39,24.43
Flower power 676F,PI040298AD5I207989,2018-08-22 19:31:14,-1.0,0.1,6.62,23.79
Flower power 676F,PI040298AD5I207989,2018-08-22 19:46:14,-1.0,0.1,7.0,22.96
Flower power 676F,PI040298AD5I207989,2018-08-22 20:01:14,-1.0,0.1,7.13,22.58
Flower power 676F,PI040298AD5I207989,2018-08-22 20:16:14,-1.0,0.1,6.75,22.3
Flower power 676F,PI040298AD5I207989,2018-08-22 20:31:14,-1.0,0.1,7.26,21.88
Flower power 676F,PI040298AD5I207989,2018-08-22 20:46:14,-1.0,0.1,6.88,20.64
Flower power 676F,PI040298AD5I207989,2018-08-22 21:01:14,-1.0,0.1,7.0,21.07
Flower power 676F,PI040298AD5I207989,2018-08-22 21:16:14,-1.0,0.1,6.88,21.6
Flower power 676F,PI040298AD5I207989,2018-08-22 21:31:14,-1.0,0.1,7.13,21.55
Flower power 676F,PI040298AD5I207989,2018-08-22 21:46:14,-1.0,0.1,6.75,20.16
Flower power 676F,PI040298AD5I207989,2018-08-22 22:01:14,-1.0,0.1,7.13,18.49
Flower power 676F,PI040298AD5I207989,2018-08-22 22:16:14,-1.0,0.1,6.75,17.88
Flower power 676F,PI040298AD5I207989,2018-08-22 22:31:14,-1.0,0.1,6.88,17.78
Flower power 676F,PI040298AD5I207989,2018-08-22 22:46:14,-1.0,0.1,7.26,17.73
Flower power 676F,PI040298AD5I207989,2018-08-22 23:01:14,-1.0,0.1,6.62,17.53
Flower power 676F,PI040298AD5I207989,2018-08-22 23:16:14,-1.0,0.1,7.0,17.68
Flower power 676F,PI040298AD5I207989,2018-08-22 23:31:14,-1.0,0.1,6.62,17.58
Flower power 676F,PI040298AD5I207989,2018-08-22 23:46:14,-1.0,0.1,6.88,18.59
Flower power 676F,PI040298AD5I207989,2018-08-23 00:01:14,-1.0,0.1,7.26,18.83
