NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 6B0C,PI040298AD5I208065,2018-08-17 12:40:47,-1.0,121.63,13.35,48.72
Flower power 6B0C,PI040298AD5I208065,2018-08-17 12:55:47,-1.0,121.63,13.1,48.37
Flower power 6B0C,PI040298AD5I208065,2018-08-17 13:10:47,-1.0,121.63,13.22,47.97
Flower power 6B0C,PI040298AD5I208065,2018-08-17 13:25:47,-1.0,121.63,13.22,43.9
Flower power 6B0C,PI040298AD5I208065,2018-08-17 13:40:47,-1.0,35.37,13.1,36.23
Flower power 6B0C,PI040298AD5I208065,2018-08-17 13:55:47,-1.0,28.44,13.48,33.96
Flower power 6B0C,PI040298AD5I208065,2018-08-17 14:10:47,-1.0,33.24,12.97,34.95
Flower power 6B0C,PI040298AD5I208065,2018-08-17 14:25:47,-1.0,106.94,13.35,42.72
Flower power 6B0C,PI040298AD5I208065,2018-08-17 14:40:47,-1.0,15.67,12.84,35.09
Flower power 6B0C,PI040298AD5I208065,2018-08-17 14:55:47,-1.0,32.69,12.84,35.63
Flower power 6B0C,PI040298AD5I208065,2018-08-17 15:10:47,-1.0,42.61,13.48,40.14
Flower power 6B0C,PI040298AD5I208065,2018-08-17 15:25:47,-1.0,97.1,13.1,44.27
Flower power 6B0C,PI040298AD5I208065,2018-08-17 15:40:47,-1.0,70.75,13.48,41.81
Flower power 6B0C,PI040298AD5I208065,2018-08-17 15:55:47,-1.0,41.04,13.22,36.55
Flower power 6B0C,PI040298AD5I208065,2018-08-17 16:10:47,-1.0,78.22,13.35,38.55
Flower power 6B0C,PI040298AD5I208065,2018-08-17 16:25:47,-1.0,70.75,13.22,38.04
Flower power 6B0C,PI040298AD5I208065,2018-08-17 16:40:47,-1.0,71.73,12.84,39.17
Flower power 6B0C,PI040298AD5I208065,2018-08-17 16:55:47,-1.0,17.36,13.1,32.89
Flower power 6B0C,PI040298AD5I208065,2018-08-17 17:10:47,-1.0,19.17,13.1,32.27
Flower power 6B0C,PI040298AD5I208065,2018-08-17 17:25:47,-1.0,12.52,13.1,29.97
Flower power 6B0C,PI040298AD5I208065,2018-08-17 17:40:47,-1.0,11.35,13.1,28.11
Flower power 6B0C,PI040298AD5I208065,2018-08-17 17:55:47,-1.0,11.0,12.97,28.42
Flower power 6B0C,PI040298AD5I208065,2018-08-17 18:10:47,-1.0,10.36,13.1,28.15
Flower power 6B0C,PI040298AD5I208065,2018-08-17 18:25:47,-1.0,9.89,13.1,28.07
Flower power 6B0C,PI040298AD5I208065,2018-08-17 18:40:47,-1.0,7.17,13.22,27.27
Flower power 6B0C,PI040298AD5I208065,2018-08-17 18:55:47,-1.0,3.74,12.84,26.01
Flower power 6B0C,PI040298AD5I208065,2018-08-17 19:10:47,-1.0,1.54,13.1,25.02
Flower power 6B0C,PI040298AD5I208065,2018-08-17 19:25:47,-1.0,0.34,12.84,24.29
Flower power 6B0C,PI040298AD5I208065,2018-08-17 19:40:47,-1.0,0.1,13.1,23.7
Flower power 6B0C,PI040298AD5I208065,2018-08-17 19:55:47,-1.0,0.1,13.1,23.1
Flower power 6B0C,PI040298AD5I208065,2018-08-17 20:10:47,-1.0,0.1,12.84,22.68
Flower power 6B0C,PI040298AD5I208065,2018-08-17 20:25:47,-1.0,0.1,13.22,22.3
Flower power 6B0C,PI040298AD5I208065,2018-08-17 20:40:47,-1.0,0.1,13.1,22.3
Flower power 6B0C,PI040298AD5I208065,2018-08-17 20:55:47,-1.0,0.1,12.59,22.12
Flower power 6B0C,PI040298AD5I208065,2018-08-17 21:10:47,-1.0,0.1,12.59,22.07
Flower power 6B0C,PI040298AD5I208065,2018-08-17 21:25:47,-1.0,0.1,12.97,21.88
Flower power 6B0C,PI040298AD5I208065,2018-08-17 21:40:47,-1.0,0.1,13.1,21.64
Flower power 6B0C,PI040298AD5I208065,2018-08-17 21:55:47,-1.0,0.1,12.59,21.5
Flower power 6B0C,PI040298AD5I208065,2018-08-17 22:10:47,-1.0,0.1,12.84,21.31
Flower power 6B0C,PI040298AD5I208065,2018-08-17 22:25:47,-1.0,0.1,12.46,21.26
Flower power 6B0C,PI040298AD5I208065,2018-08-17 22:40:47,-1.0,0.1,12.46,21.17
Flower power 6B0C,PI040298AD5I208065,2018-08-17 22:55:47,-1.0,0.1,12.72,20.98
Flower power 6B0C,PI040298AD5I208065,2018-08-17 23:10:47,-1.0,0.1,13.1,20.83
Flower power 6B0C,PI040298AD5I208065,2018-08-17 23:25:47,-1.0,0.1,12.97,20.59
Flower power 6B0C,PI040298AD5I208065,2018-08-17 23:40:47,-1.0,0.1,12.59,20.3
Flower power 6B0C,PI040298AD5I208065,2018-08-17 23:55:47,-1.0,0.1,12.72,20.4
Flower power 6B0C,PI040298AD5I208065,2018-08-18 00:10:47,-1.0,0.1,12.97,20.3
Flower power 6B0C,PI040298AD5I208065,2018-08-18 00:25:47,-1.0,0.1,12.72,20.21
