NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 91AA,PI040298AD5I213076,2018-08-17 12:41:17,-1.0,139.54,13.34,44.96
Flower power 91AA,PI040298AD5I213076,2018-08-17 12:56:17,-1.0,137.85,13.74,45.44
Flower power 91AA,PI040298AD5I213076,2018-08-17 13:11:17,-1.0,134.61,13.74,44.74
Flower power 91AA,PI040298AD5I213076,2018-08-17 13:26:17,-1.0,133.04,13.47,44.53
Flower power 91AA,PI040298AD5I213076,2018-08-17 13:41:17,-1.0,130.01,13.87,44.37
Flower power 91AA,PI040298AD5I213076,2018-08-17 13:56:17,-1.0,127.11,14.0,46.41
Flower power 91AA,PI040298AD5I213076,2018-08-17 14:11:17,-1.0,122.98,13.74,46.97
Flower power 91AA,PI040298AD5I213076,2018-08-17 14:26:17,-1.0,113.16,13.74,47.08
Flower power 91AA,PI040298AD5I213076,2018-08-17 14:41:17,-1.0,115.47,13.87,46.97
Flower power 91AA,PI040298AD5I213076,2018-08-17 14:56:17,-1.0,109.86,13.87,46.09
Flower power 91AA,PI040298AD5I213076,2018-08-17 15:11:17,-1.0,104.76,14.0,44.69
Flower power 91AA,PI040298AD5I213076,2018-08-17 15:26:17,-1.0,100.09,14.13,43.28
Flower power 91AA,PI040298AD5I213076,2018-08-17 15:41:17,-1.0,94.21,13.87,42.97
Flower power 91AA,PI040298AD5I213076,2018-08-17 15:56:17,-1.0,90.4,14.0,41.71
Flower power 91AA,PI040298AD5I213076,2018-08-17 16:11:17,-1.0,82.37,14.13,41.61
Flower power 91AA,PI040298AD5I213076,2018-08-17 16:26:17,-1.0,76.14,14.13,39.6
Flower power 91AA,PI040298AD5I213076,2018-08-17 16:41:17,-1.0,69.87,13.6,39.56
Flower power 91AA,PI040298AD5I213076,2018-08-17 16:56:17,-1.0,61.28,13.6,38.27
Flower power 91AA,PI040298AD5I213076,2018-08-17 17:11:17,-1.0,51.17,14.0,37.52
Flower power 91AA,PI040298AD5I213076,2018-08-17 17:26:17,-1.0,15.61,13.87,30.59
Flower power 91AA,PI040298AD5I213076,2018-08-17 17:41:17,-1.0,17.5,14.13,28.95
Flower power 91AA,PI040298AD5I213076,2018-08-17 17:56:17,-1.0,35.53,13.6,34.1
Flower power 91AA,PI040298AD5I213076,2018-08-17 18:11:17,-1.0,28.19,14.0,32.58
Flower power 91AA,PI040298AD5I213076,2018-08-17 18:26:17,-1.0,21.25,14.0,31.56
Flower power 91AA,PI040298AD5I213076,2018-08-17 18:41:17,-1.0,10.5,13.74,28.64
Flower power 91AA,PI040298AD5I213076,2018-08-17 18:56:17,-1.0,4.5,13.74,25.7
Flower power 91AA,PI040298AD5I213076,2018-08-17 19:11:17,-1.0,1.75,13.47,24.52
Flower power 91AA,PI040298AD5I213076,2018-08-17 19:26:17,-1.0,0.38,13.47,23.79
Flower power 91AA,PI040298AD5I213076,2018-08-17 19:41:17,-1.0,0.1,13.47,23.24
Flower power 91AA,PI040298AD5I213076,2018-08-17 19:56:17,-1.0,0.1,13.21,22.63
Flower power 91AA,PI040298AD5I213076,2018-08-17 20:11:17,-1.0,0.1,13.34,22.16
