NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 9592,PI040298AD5I211397,2018-08-17 12:36:26,-1.0,8.79,13.71,32.58
Flower power 9592,PI040298AD5I211397,2018-08-17 12:51:26,-1.0,11.56,13.58,33.29
Flower power 9592,PI040298AD5I211397,2018-08-17 13:06:26,-1.0,32.58,13.45,35.18
Flower power 9592,PI040298AD5I211397,2018-08-17 13:21:26,-1.0,9.43,13.97,33.16
Flower power 9592,PI040298AD5I211397,2018-08-17 13:36:26,-1.0,9.78,13.84,32.76
Flower power 9592,PI040298AD5I211397,2018-08-17 13:51:26,-1.0,9.91,13.97,33.2
Flower power 9592,PI040298AD5I211397,2018-08-17 14:06:26,-1.0,9.96,13.84,33.6
Flower power 9592,PI040298AD5I211397,2018-08-17 14:21:26,-1.0,11.02,13.97,35.77
Flower power 9592,PI040298AD5I211397,2018-08-17 14:36:26,-1.0,10.55,13.58,36.36
Flower power 9592,PI040298AD5I211397,2018-08-17 14:51:26,-1.0,20.83,13.58,41.07
Flower power 9592,PI040298AD5I211397,2018-08-17 15:06:26,-1.0,54.87,13.45,42.01
Flower power 9592,PI040298AD5I211397,2018-08-17 15:21:26,-1.0,43.35,13.97,44.43
Flower power 9592,PI040298AD5I211397,2018-08-17 15:36:26,-1.0,80.04,13.97,46.63
Flower power 9592,PI040298AD5I211397,2018-08-17 15:51:26,-1.0,53.43,13.84,42.57
Flower power 9592,PI040298AD5I211397,2018-08-17 16:06:26,-1.0,14.86,13.71,37.8
Flower power 9592,PI040298AD5I211397,2018-08-17 16:21:26,-1.0,17.23,14.22,34.91
Flower power 9592,PI040298AD5I211397,2018-08-17 16:36:26,-1.0,18.54,13.84,34.1
Flower power 9592,PI040298AD5I211397,2018-08-17 16:51:26,-1.0,12.48,13.97,33.51
Flower power 9592,PI040298AD5I211397,2018-08-17 17:06:26,-1.0,39.12,13.97,34.77
Flower power 9592,PI040298AD5I211397,2018-08-17 17:21:26,-1.0,9.47,13.97,31.2
Flower power 9592,PI040298AD5I211397,2018-08-17 17:36:26,-1.0,7.32,13.71,28.73
Flower power 9592,PI040298AD5I211397,2018-08-17 17:51:26,-1.0,7.65,13.58,28.15
Flower power 9592,PI040298AD5I211397,2018-08-17 18:06:26,-1.0,9.36,13.84,28.82
Flower power 9592,PI040298AD5I211397,2018-08-17 18:21:26,-1.0,6.29,13.97,27.8
Flower power 9592,PI040298AD5I211397,2018-08-17 18:36:26,-1.0,4.82,13.71,27.18
Flower power 9592,PI040298AD5I211397,2018-08-17 18:51:26,-1.0,2.89,13.84,26.24
Flower power 9592,PI040298AD5I211397,2018-08-17 19:06:26,-1.0,1.27,13.58,25.34
Flower power 9592,PI040298AD5I211397,2018-08-17 19:21:26,-1.0,0.35,13.45,24.66
Flower power 9592,PI040298AD5I211397,2018-08-17 19:36:26,-1.0,0.1,13.45,24.2
Flower power 9592,PI040298AD5I211397,2018-08-17 19:51:26,-1.0,0.1,13.84,23.6
Flower power 9592,PI040298AD5I211397,2018-08-17 20:06:26,-1.0,0.1,13.84,23.05
Flower power 9592,PI040298AD5I211397,2018-08-17 20:21:26,-1.0,0.1,13.84,22.77
Flower power 9592,PI040298AD5I211397,2018-08-17 20:36:26,-1.0,0.1,13.84,22.44
Flower power 9592,PI040298AD5I211397,2018-08-17 20:51:26,-1.0,0.1,13.58,22.49
Flower power 9592,PI040298AD5I211397,2018-08-17 21:06:26,-1.0,0.1,13.97,22.77
Flower power 9592,PI040298AD5I211397,2018-08-17 21:21:26,-1.0,0.1,13.58,22.77
Flower power 9592,PI040298AD5I211397,2018-08-17 21:36:26,-1.0,0.1,13.58,22.68
Flower power 9592,PI040298AD5I211397,2018-08-17 21:51:26,-1.0,0.1,13.71,22.54
Flower power 9592,PI040298AD5I211397,2018-08-17 22:06:26,-1.0,0.1,13.45,22.54
Flower power 9592,PI040298AD5I211397,2018-08-17 22:21:26,-1.0,0.1,13.84,22.35
Flower power 9592,PI040298AD5I211397,2018-08-17 22:36:26,-1.0,0.1,13.58,21.97
Flower power 9592,PI040298AD5I211397,2018-08-17 22:51:26,-1.0,0.1,13.71,22.02
Flower power 9592,PI040298AD5I211397,2018-08-17 23:06:26,-1.0,0.1,13.84,21.97
Flower power 9592,PI040298AD5I211397,2018-08-17 23:21:26,-1.0,0.1,13.33,21.83
Flower power 9592,PI040298AD5I211397,2018-08-17 23:36:26,-1.0,0.1,13.45,21.45
Flower power 9592,PI040298AD5I211397,2018-08-17 23:51:26,-1.0,0.1,13.71,21.6
Flower power 9592,PI040298AD5I211397,2018-08-18 00:06:26,-1.0,0.1,13.71,21.64
Flower power 9592,PI040298AD5I211397,2018-08-18 00:21:26,-1.0,0.1,13.71,21.88
Flower power 9592,PI040298AD5I211397,2018-08-18 00:36:26,-1.0,0.1,13.84,21.45
Flower power 9592,PI040298AD5I211397,2018-08-18 00:51:26,-1.0,0.1,13.33,20.98
Flower power 9592,PI040298AD5I211397,2018-08-18 01:06:26,-1.0,0.1,13.97,20.88
Flower power 9592,PI040298AD5I211397,2018-08-18 01:21:26,-1.0,0.1,13.71,21.12
Flower power 9592,PI040298AD5I211397,2018-08-18 01:36:26,-1.0,0.1,13.45,21.26
Flower power 9592,PI040298AD5I211397,2018-08-18 01:51:26,-1.0,0.1,13.33,20.98
Flower power 9592,PI040298AD5I211397,2018-08-18 02:06:26,-1.0,0.1,13.71,21.26
Flower power 9592,PI040298AD5I211397,2018-08-18 02:21:26,-1.0,0.1,13.71,21.03
Flower power 9592,PI040298AD5I211397,2018-08-18 02:36:26,-1.0,0.1,13.71,20.4
Flower power 9592,PI040298AD5I211397,2018-08-18 02:51:26,-1.0,0.1,13.33,20.4
Flower power 9592,PI040298AD5I211397,2018-08-18 03:06:26,-1.0,0.1,13.45,20.83
Flower power 9592,PI040298AD5I211397,2018-08-18 03:21:26,-1.0,0.1,13.45,20.83
Flower power 9592,PI040298AD5I211397,2018-08-18 03:36:26,-1.0,0.1,13.71,20.11
Flower power 9592,PI040298AD5I211397,2018-08-18 03:51:26,-1.0,0.1,13.84,20.21
Flower power 9592,PI040298AD5I211397,2018-08-18 04:06:26,-1.0,0.1,13.58,19.72
Flower power 9592,PI040298AD5I211397,2018-08-18 04:21:26,-1.0,0.1,13.58,20.5
Flower power 9592,PI040298AD5I211397,2018-08-18 04:36:26,-1.0,0.1,13.58,20.3
Flower power 9592,PI040298AD5I211397,2018-08-18 04:51:26,-1.0,0.1,13.33,19.33
Flower power 9592,PI040298AD5I211397,2018-08-18 05:06:26,-1.0,0.1,13.33,19.87
Flower power 9592,PI040298AD5I211397,2018-08-18 05:21:26,-1.0,0.1,13.58,20.26
Flower power 9592,PI040298AD5I211397,2018-08-18 05:36:26,-1.0,0.1,13.58,19.62
Flower power 9592,PI040298AD5I211397,2018-08-18 05:51:26,-1.0,0.19,13.84,19.62
Flower power 9592,PI040298AD5I211397,2018-08-18 06:06:26,-1.0,0.83,13.45,19.53
Flower power 9592,PI040298AD5I211397,2018-08-18 06:21:26,-1.0,1.9,13.2,20.26
Flower power 9592,PI040298AD5I211397,2018-08-18 06:36:26,-1.0,2.98,13.71,21.6
Flower power 9592,PI040298AD5I211397,2018-08-18 06:51:26,-1.0,4.05,13.45,22.72
Flower power 9592,PI040298AD5I211397,2018-08-18 07:06:26,-1.0,9.44,13.45,23.88
Flower power 9592,PI040298AD5I211397,2018-08-18 07:21:26,-1.0,14.0,13.58,26.33
Flower power 9592,PI040298AD5I211397,2018-08-18 07:36:26,-1.0,10.98,13.71,30.63
Flower power 9592,PI040298AD5I211397,2018-08-18 07:51:26,-1.0,27.56,13.33,33.02
Flower power 9592,PI040298AD5I211397,2018-08-18 08:06:26,-1.0,18.08,13.84,30.76
Flower power 9592,PI040298AD5I211397,2018-08-18 08:21:26,-1.0,20.05,13.33,34.19
Flower power 9592,PI040298AD5I211397,2018-08-18 08:36:26,-1.0,20.52,13.45,35.18
Flower power 9592,PI040298AD5I211397,2018-08-18 08:51:26,-1.0,27.49,13.33,34.86
Flower power 9592,PI040298AD5I211397,2018-08-18 09:06:26,-1.0,13.4,13.45,34.91
Flower power 9592,PI040298AD5I211397,2018-08-18 09:21:26,-1.0,8.93,13.58,34.01
Flower power 9592,PI040298AD5I211397,2018-08-18 09:36:26,-1.0,16.84,13.71,35.31
Flower power 9592,PI040298AD5I211397,2018-08-18 09:51:26,-1.0,8.69,13.71,34.41
Flower power 9592,PI040298AD5I211397,2018-08-18 10:06:26,-1.0,33.46,13.33,34.91
Flower power 9592,PI040298AD5I211397,2018-08-18 10:21:26,-1.0,16.18,13.97,34.95
Flower power 9592,PI040298AD5I211397,2018-08-18 10:36:26,-1.0,8.77,13.58,33.96
