NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 983A,PI040298AD5I209329,2018-08-17 12:38:21,-1.0,131.36,10.33,52.05
Flower power 983A,PI040298AD5I209329,2018-08-17 12:53:21,-1.0,133.04,10.59,53.49
Flower power 983A,PI040298AD5I209329,2018-08-17 13:08:21,-1.0,133.04,10.59,52.18
Flower power 983A,PI040298AD5I209329,2018-08-17 13:23:21,-1.0,133.04,10.97,52.93
Flower power 983A,PI040298AD5I209329,2018-08-17 13:38:21,-1.0,133.04,10.59,53.05
Flower power 983A,PI040298AD5I209329,2018-08-17 13:53:21,-1.0,123.55,10.46,54.78
Flower power 983A,PI040298AD5I209329,2018-08-17 14:08:21,-1.0,129.72,10.46,55.0
Flower power 983A,PI040298AD5I209329,2018-08-17 14:23:21,-1.0,129.72,10.85,55.0
Flower power 983A,PI040298AD5I209329,2018-08-17 14:38:21,-1.0,126.56,10.85,55.0
Flower power 983A,PI040298AD5I209329,2018-08-17 14:53:21,-1.0,123.55,10.85,54.39
Flower power 983A,PI040298AD5I209329,2018-08-17 15:08:21,-1.0,117.92,10.85,51.75
Flower power 983A,PI040298AD5I209329,2018-08-17 15:23:21,-1.0,110.35,10.46,51.99
Flower power 983A,PI040298AD5I209329,2018-08-17 15:38:21,-1.0,103.68,10.97,50.53
Flower power 983A,PI040298AD5I209329,2018-08-17 15:53:21,-1.0,97.74,11.1,48.49
Flower power 983A,PI040298AD5I209329,2018-08-17 16:08:21,-1.0,49.21,10.59,45.49
Flower power 983A,PI040298AD5I209329,2018-08-17 16:23:21,-1.0,84.03,10.85,43.59
Flower power 983A,PI040298AD5I209329,2018-08-17 16:38:21,-1.0,75.84,10.85,42.01
Flower power 983A,PI040298AD5I209329,2018-08-17 16:53:21,-1.0,74.16,10.85,40.48
Flower power 983A,PI040298AD5I209329,2018-08-17 17:08:21,-1.0,59.94,10.59,39.94
Flower power 983A,PI040298AD5I209329,2018-08-17 17:23:21,-1.0,15.14,10.33,33.2
Flower power 983A,PI040298AD5I209329,2018-08-17 17:38:21,-1.0,14.43,10.72,30.45
Flower power 983A,PI040298AD5I209329,2018-08-17 17:53:21,-1.0,35.17,10.46,35.54
Flower power 983A,PI040298AD5I209329,2018-08-17 18:08:21,-1.0,31.18,10.72,34.32
Flower power 983A,PI040298AD5I209329,2018-08-17 18:23:21,-1.0,21.89,10.46,33.16
Flower power 983A,PI040298AD5I209329,2018-08-17 18:38:21,-1.0,13.35,10.72,31.25
Flower power 983A,PI040298AD5I209329,2018-08-17 18:53:21,-1.0,4.91,10.2,27.84
