NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 9FAC,PI040298AD5G204883,2018-08-26 10:52:27,-1.0,112.99,10.18,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 11:07:27,-1.0,118.44,10.31,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 11:22:27,-1.0,122.88,10.56,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 11:37:27,-1.0,127.65,10.18,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 11:52:27,-1.0,129.32,10.43,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 12:07:27,-1.0,132.8,10.81,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 12:22:27,-1.0,132.8,10.56,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 12:37:27,-1.0,131.04,10.56,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 12:52:27,-1.0,76.43,11.07,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 13:07:27,-1.0,117.03,10.94,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 13:22:27,-1.0,118.44,10.94,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 13:37:27,-1.0,122.88,11.07,55.0
Flower power 9FAC,PI040298AD5G204883,2018-08-26 13:52:27,-1.0,117.03,11.07,53.81
Flower power 9FAC,PI040298AD5G204883,2018-08-26 14:07:27,-1.0,114.3,11.19,50.77
Flower power 9FAC,PI040298AD5G204883,2018-08-26 14:22:27,-1.0,110.44,11.19,50.06
Flower power 9FAC,PI040298AD5G204883,2018-08-26 14:37:27,-1.0,111.7,11.07,50.41
Flower power 9FAC,PI040298AD5G204883,2018-08-26 14:52:27,-1.0,104.53,10.94,48.66
Flower power 9FAC,PI040298AD5G204883,2018-08-26 15:07:27,-1.0,100.23,11.32,48.49
Flower power 9FAC,PI040298AD5G204883,2018-08-26 15:22:27,-1.0,51.49,11.07,46.69
Flower power 9FAC,PI040298AD5G204883,2018-08-26 15:37:27,-1.0,90.0,11.57,44.48
Flower power 9FAC,PI040298AD5G204883,2018-08-26 15:52:27,-1.0,83.03,11.19,44.8
Flower power 9FAC,PI040298AD5G204883,2018-08-26 16:07:27,-1.0,62.0,11.45,42.82
Flower power 9FAC,PI040298AD5G204883,2018-08-26 16:22:27,-1.0,13.21,11.57,35.31
Flower power 9FAC,PI040298AD5G204883,2018-08-26 16:37:27,-1.0,17.57,11.7,33.65
Flower power 9FAC,PI040298AD5G204883,2018-08-26 16:52:27,-1.0,9.94,11.32,31.07
Flower power 9FAC,PI040298AD5G204883,2018-08-26 17:07:27,-1.0,9.12,11.32,30.23
Flower power 9FAC,PI040298AD5G204883,2018-08-26 17:22:27,-1.0,14.49,11.07,30.45
Flower power 9FAC,PI040298AD5G204883,2018-08-26 17:37:27,-1.0,8.83,11.07,29.57
Flower power 9FAC,PI040298AD5G204883,2018-08-26 17:52:27,-1.0,20.64,11.7,29.88
Flower power 9FAC,PI040298AD5G204883,2018-08-26 18:07:27,-1.0,5.86,11.19,27.89
Flower power 9FAC,PI040298AD5G204883,2018-08-26 18:22:27,-1.0,4.52,11.57,26.46
Flower power 9FAC,PI040298AD5G204883,2018-08-26 18:37:27,-1.0,3.25,11.7,25.29
Flower power 9FAC,PI040298AD5G204883,2018-08-26 18:52:27,-1.0,1.88,11.19,24.29
Flower power 9FAC,PI040298AD5G204883,2018-08-26 19:07:27,-1.0,0.64,11.32,22.86
Flower power 9FAC,PI040298AD5G204883,2018-08-26 19:22:27,-1.0,0.1,11.7,21.79
Flower power 9FAC,PI040298AD5G204883,2018-08-26 19:37:27,-1.0,0.1,11.19,21.22
Flower power 9FAC,PI040298AD5G204883,2018-08-26 19:52:27,-1.0,0.1,11.57,20.93
Flower power 9FAC,PI040298AD5G204883,2018-08-26 20:07:27,-1.0,0.1,11.45,20.98
Flower power 9FAC,PI040298AD5G204883,2018-08-26 20:22:27,-1.0,0.1,11.45,20.79
Flower power 9FAC,PI040298AD5G204883,2018-08-26 20:37:27,-1.0,0.1,11.57,20.69
Flower power 9FAC,PI040298AD5G204883,2018-08-26 20:52:27,-1.0,0.1,11.45,20.98
Flower power 9FAC,PI040298AD5G204883,2018-08-26 21:07:27,-1.0,0.1,11.07,20.93
Flower power 9FAC,PI040298AD5G204883,2018-08-26 21:22:27,-1.0,0.1,11.45,21.5
Flower power 9FAC,PI040298AD5G204883,2018-08-26 21:37:27,-1.0,0.1,11.19,21.17
Flower power 9FAC,PI040298AD5G204883,2018-08-26 21:52:27,-1.0,0.1,11.19,20.35
Flower power 9FAC,PI040298AD5G204883,2018-08-26 22:07:27,-1.0,0.1,11.57,19.72
Flower power 9FAC,PI040298AD5G204883,2018-08-26 22:22:27,-1.0,0.1,11.07,19.67
