NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 9FFC,PI040298AD5I211452,2018-08-17 12:38:02,-1.0,125.86,13.92,41.26
Flower power 9FFC,PI040298AD5I211452,2018-08-17 12:53:02,-1.0,99.33,13.92,39.56
Flower power 9FFC,PI040298AD5I211452,2018-08-17 13:08:02,-1.0,85.21,13.66,37.85
Flower power 9FFC,PI040298AD5I211452,2018-08-17 13:23:02,-1.0,71.52,14.29,34.95
Flower power 9FFC,PI040298AD5I211452,2018-08-17 13:38:02,-1.0,15.73,14.17,33.6
Flower power 9FFC,PI040298AD5I211452,2018-08-17 13:53:02,-1.0,59.46,14.29,35.45
Flower power 9FFC,PI040298AD5I211452,2018-08-17 14:08:02,-1.0,117.75,14.17,41.07
Flower power 9FFC,PI040298AD5I211452,2018-08-17 14:23:02,-1.0,114.57,13.92,42.42
Flower power 9FFC,PI040298AD5I211452,2018-08-17 14:38:02,-1.0,107.78,13.79,44.27
Flower power 9FFC,PI040298AD5I211452,2018-08-17 14:53:02,-1.0,99.33,14.29,45.92
Flower power 9FFC,PI040298AD5I211452,2018-08-17 15:08:02,-1.0,92.08,14.17,45.44
Flower power 9FFC,PI040298AD5I211452,2018-08-17 15:23:02,-1.0,83.5,14.17,46.03
Flower power 9FFC,PI040298AD5I211452,2018-08-17 15:38:02,-1.0,71.52,14.17,45.82
Flower power 9FFC,PI040298AD5I211452,2018-08-17 15:53:02,-1.0,72.36,14.29,45.01
Flower power 9FFC,PI040298AD5I211452,2018-08-17 16:08:02,-1.0,43.35,14.04,40.77
Flower power 9FFC,PI040298AD5I211452,2018-08-17 16:23:02,-1.0,14.72,14.04,34.77
Flower power 9FFC,PI040298AD5I211452,2018-08-17 16:38:02,-1.0,14.13,14.29,33.38
Flower power 9FFC,PI040298AD5I211452,2018-08-17 16:53:02,-1.0,14.16,14.04,32.93
Flower power 9FFC,PI040298AD5I211452,2018-08-17 17:08:02,-1.0,14.02,14.17,32.22
Flower power 9FFC,PI040298AD5I211452,2018-08-17 17:23:02,-1.0,10.62,14.42,30.63
Flower power 9FFC,PI040298AD5I211452,2018-08-17 17:38:02,-1.0,9.05,14.04,28.82
Flower power 9FFC,PI040298AD5I211452,2018-08-17 17:53:02,-1.0,9.11,13.79,28.69
Flower power 9FFC,PI040298AD5I211452,2018-08-17 18:08:02,-1.0,8.4,14.29,28.51
Flower power 9FFC,PI040298AD5I211452,2018-08-17 18:23:02,-1.0,8.16,14.17,28.24
Flower power 9FFC,PI040298AD5I211452,2018-08-17 18:38:02,-1.0,6.27,13.92,27.49
Flower power 9FFC,PI040298AD5I211452,2018-08-17 18:53:02,-1.0,3.53,13.79,26.37
Flower power 9FFC,PI040298AD5I211452,2018-08-17 19:08:02,-1.0,1.51,14.04,25.25
Flower power 9FFC,PI040298AD5I211452,2018-08-17 19:23:02,-1.0,0.39,14.04,24.48
Flower power 9FFC,PI040298AD5I211452,2018-08-17 19:38:02,-1.0,0.1,14.29,23.97
Flower power 9FFC,PI040298AD5I211452,2018-08-17 19:53:02,-1.0,0.1,14.04,23.51
