NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power A003,PI040298AD5I211458,2018-08-25 18:36:11,-1.0,4.26,13.44,27.58
Flower power A003,PI040298AD5I211458,2018-08-25 18:51:11,-1.0,2.4,13.44,26.42
Flower power A003,PI040298AD5I211458,2018-08-25 19:06:11,-1.0,0.85,13.56,25.52
Flower power A003,PI040298AD5I211458,2018-08-25 19:21:11,-1.0,0.1,13.69,24.57
Flower power A003,PI040298AD5I211458,2018-08-25 19:36:11,-1.0,0.1,13.44,24.2
Flower power A003,PI040298AD5I211458,2018-08-25 19:51:11,-1.0,0.1,13.82,24.02
Flower power A003,PI040298AD5I211458,2018-08-25 20:06:11,-1.0,0.1,13.44,23.6
Flower power A003,PI040298AD5I211458,2018-08-25 20:21:11,-1.0,0.1,13.56,23.51
Flower power A003,PI040298AD5I211458,2018-08-25 20:36:11,-1.0,0.1,13.82,23.51
Flower power A003,PI040298AD5I211458,2018-08-25 20:51:11,-1.0,0.1,13.44,23.05
Flower power A003,PI040298AD5I211458,2018-08-25 21:06:11,-1.0,0.1,13.82,22.63
Flower power A003,PI040298AD5I211458,2018-08-25 21:21:11,-1.0,0.1,13.56,22.68
Flower power A003,PI040298AD5I211458,2018-08-25 21:36:11,-1.0,0.1,13.69,22.3
Flower power A003,PI040298AD5I211458,2018-08-25 21:51:11,-1.0,0.1,13.82,22.16
Flower power A003,PI040298AD5I211458,2018-08-25 22:06:11,-1.0,0.1,13.56,22.44
Flower power A003,PI040298AD5I211458,2018-08-25 22:21:11,-1.0,0.1,13.94,21.69
Flower power A003,PI040298AD5I211458,2018-08-25 22:36:11,-1.0,0.1,14.07,21.64
Flower power A003,PI040298AD5I211458,2018-08-25 22:51:11,-1.0,0.1,13.94,21.74
Flower power A003,PI040298AD5I211458,2018-08-25 23:06:11,-1.0,0.1,13.82,21.45
Flower power A003,PI040298AD5I211458,2018-08-25 23:21:11,-1.0,0.1,13.94,21.07
Flower power A003,PI040298AD5I211458,2018-08-25 23:36:11,-1.0,0.1,13.94,20.98
Flower power A003,PI040298AD5I211458,2018-08-25 23:51:11,-1.0,0.1,13.82,20.74
Flower power A003,PI040298AD5I211458,2018-08-26 00:06:11,-1.0,0.1,13.69,20.26
Flower power A003,PI040298AD5I211458,2018-08-26 00:21:11,-1.0,0.1,14.07,20.26
Flower power A003,PI040298AD5I211458,2018-08-26 00:36:11,-1.0,0.1,13.56,19.82
Flower power A003,PI040298AD5I211458,2018-08-26 00:51:11,-1.0,0.1,14.07,19.96
Flower power A003,PI040298AD5I211458,2018-08-26 01:06:11,-1.0,0.1,13.69,19.18
Flower power A003,PI040298AD5I211458,2018-08-26 01:21:11,-1.0,0.1,13.56,18.69
Flower power A003,PI040298AD5I211458,2018-08-26 01:36:11,-1.0,0.1,13.82,16.86
Flower power A003,PI040298AD5I211458,2018-08-26 01:51:11,-1.0,0.1,14.07,15.93
Flower power A003,PI040298AD5I211458,2018-08-26 02:06:11,-1.0,0.1,13.94,17.38
Flower power A003,PI040298AD5I211458,2018-08-26 02:21:11,-1.0,0.1,13.82,17.83
Flower power A003,PI040298AD5I211458,2018-08-26 02:36:11,-1.0,0.1,13.82,18.93
Flower power A003,PI040298AD5I211458,2018-08-26 02:51:11,-1.0,0.1,13.82,18.69
Flower power A003,PI040298AD5I211458,2018-08-26 03:06:11,-1.0,0.1,13.82,18.39
Flower power A003,PI040298AD5I211458,2018-08-26 03:21:11,-1.0,0.1,13.56,18.13
Flower power A003,PI040298AD5I211458,2018-08-26 03:36:11,-1.0,0.1,13.69,18.03
Flower power A003,PI040298AD5I211458,2018-08-26 03:51:11,-1.0,0.1,13.82,18.24
Flower power A003,PI040298AD5I211458,2018-08-26 04:06:11,-1.0,0.1,13.56,18.39
Flower power A003,PI040298AD5I211458,2018-08-26 04:21:11,-1.0,0.1,13.69,18.13
Flower power A003,PI040298AD5I211458,2018-08-26 04:36:11,-1.0,0.1,13.56,17.73
Flower power A003,PI040298AD5I211458,2018-08-26 04:51:11,-1.0,0.1,13.31,16.08
Flower power A003,PI040298AD5I211458,2018-08-26 05:06:11,-1.0,0.1,13.82,14.92
Flower power A003,PI040298AD5I211458,2018-08-26 05:21:11,-1.0,0.1,13.69,15.82
Flower power A003,PI040298AD5I211458,2018-08-26 05:36:11,-1.0,0.1,13.56,17.48
Flower power A003,PI040298AD5I211458,2018-08-26 05:51:11,-1.0,0.1,13.69,17.38
Flower power A003,PI040298AD5I211458,2018-08-26 06:06:11,-1.0,0.82,13.44,18.19
Flower power A003,PI040298AD5I211458,2018-08-26 06:21:11,-1.0,2.53,13.56,19.28
Flower power A003,PI040298AD5I211458,2018-08-26 06:36:11,-1.0,6.76,13.56,22.63
Flower power A003,PI040298AD5I211458,2018-08-26 06:51:11,-1.0,7.22,13.94,25.43
Flower power A003,PI040298AD5I211458,2018-08-26 07:06:11,-1.0,13.29,13.69,27.0
Flower power A003,PI040298AD5I211458,2018-08-26 07:21:11,-1.0,31.14,13.44,33.02
Flower power A003,PI040298AD5I211458,2018-08-26 07:36:11,-1.0,35.21,13.44,36.78
Flower power A003,PI040298AD5I211458,2018-08-26 07:51:11,-1.0,38.29,13.94,40.48
Flower power A003,PI040298AD5I211458,2018-08-26 08:06:11,-1.0,51.04,13.44,41.91
Flower power A003,PI040298AD5I211458,2018-08-26 08:21:11,-1.0,38.42,13.82,40.82
Flower power A003,PI040298AD5I211458,2018-08-26 08:36:11,-1.0,62.53,13.82,42.52
Flower power A003,PI040298AD5I211458,2018-08-26 08:51:11,-1.0,69.97,13.44,46.58
Flower power A003,PI040298AD5I211458,2018-08-26 09:06:11,-1.0,73.9,13.82,48.6
Flower power A003,PI040298AD5I211458,2018-08-26 09:21:11,-1.0,63.89,13.82,47.92
Flower power A003,PI040298AD5I211458,2018-08-26 09:36:11,-1.0,49.51,14.07,50.06
Flower power A003,PI040298AD5I211458,2018-08-26 09:51:11,-1.0,73.44,13.94,51.08
