NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power A4F9,PI040298AD5I212913,2018-08-17 11:09:25,-1.0,41.72,9.61,35.36
Flower power A4F9,PI040298AD5I212913,2018-08-17 11:24:25,-1.0,15.75,9.74,33.2
Flower power A4F9,PI040298AD5I212913,2018-08-17 11:39:25,-1.0,16.82,9.99,33.47
Flower power A4F9,PI040298AD5I212913,2018-08-17 11:54:25,-1.0,14.3,10.12,34.14
Flower power A4F9,PI040298AD5I212913,2018-08-17 12:09:25,-1.0,28.71,10.25,35.86
Flower power A4F9,PI040298AD5I212913,2018-08-17 12:24:25,-1.0,79.3,9.99,38.98
Flower power A4F9,PI040298AD5I212913,2018-08-17 12:39:25,-1.0,46.63,9.99,40.04
Flower power A4F9,PI040298AD5I212913,2018-08-17 12:54:25,-1.0,66.82,9.99,42.31
Flower power A4F9,PI040298AD5I212913,2018-08-17 13:09:25,-1.0,82.49,9.86,45.76
Flower power A4F9,PI040298AD5I212913,2018-08-17 13:24:25,-1.0,93.74,9.86,45.76
Flower power A4F9,PI040298AD5I212913,2018-08-17 13:39:25,-1.0,81.83,9.99,47.92
Flower power A4F9,PI040298AD5I212913,2018-08-17 13:54:25,-1.0,89.67,10.12,51.56
Flower power A4F9,PI040298AD5I212913,2018-08-17 14:09:25,-1.0,105.15,10.25,53.05
Flower power A4F9,PI040298AD5I212913,2018-08-17 14:24:25,-1.0,102.05,10.12,53.18
Flower power A4F9,PI040298AD5I212913,2018-08-17 14:39:25,-1.0,84.52,10.25,52.24
Flower power A4F9,PI040298AD5I212913,2018-08-17 14:54:25,-1.0,105.15,10.25,51.26
Flower power A4F9,PI040298AD5I212913,2018-08-17 15:09:25,-1.0,97.27,10.25,50.06
Flower power A4F9,PI040298AD5I212913,2018-08-17 15:24:25,-1.0,92.07,10.25,48.66
Flower power A4F9,PI040298AD5I212913,2018-08-17 15:39:25,-1.0,86.66,10.25,47.3
Flower power A4F9,PI040298AD5I212913,2018-08-17 15:54:25,-1.0,81.83,9.99,46.63
Flower power A4F9,PI040298AD5I212913,2018-08-17 16:09:25,-1.0,75.77,10.37,46.3
Flower power A4F9,PI040298AD5I212913,2018-08-17 16:24:25,-1.0,72.03,10.25,42.92
Flower power A4F9,PI040298AD5I212913,2018-08-17 16:39:25,-1.0,55.43,9.86,38.89
Flower power A4F9,PI040298AD5I212913,2018-08-17 16:54:25,-1.0,25.32,10.25,34.86
Flower power A4F9,PI040298AD5I212913,2018-08-17 17:09:25,-1.0,16.47,10.12,35.68
Flower power A4F9,PI040298AD5I212913,2018-08-17 17:24:25,-1.0,10.32,10.12,30.23
Flower power A4F9,PI040298AD5I212913,2018-08-17 17:39:25,-1.0,9.77,10.12,28.38
Flower power A4F9,PI040298AD5I212913,2018-08-17 17:54:25,-1.0,9.72,9.99,29.97
Flower power A4F9,PI040298AD5I212913,2018-08-17 18:09:25,-1.0,8.93,10.12,30.14
Flower power A4F9,PI040298AD5I212913,2018-08-17 18:24:25,-1.0,8.33,10.25,31.2
Flower power A4F9,PI040298AD5I212913,2018-08-17 18:39:25,-1.0,6.04,9.86,27.76
Flower power A4F9,PI040298AD5I212913,2018-08-17 18:54:25,-1.0,2.94,9.99,25.88
Flower power A4F9,PI040298AD5I212913,2018-08-17 19:09:25,-1.0,1.13,10.37,24.75
Flower power A4F9,PI040298AD5I212913,2018-08-17 19:24:25,-1.0,0.25,9.74,23.97
Flower power A4F9,PI040298AD5I212913,2018-08-17 19:39:25,-1.0,0.1,10.37,23.42
Flower power A4F9,PI040298AD5I212913,2018-08-17 19:54:25,-1.0,0.1,9.86,22.82
Flower power A4F9,PI040298AD5I212913,2018-08-17 20:09:25,-1.0,0.1,10.12,22.4
Flower power A4F9,PI040298AD5I212913,2018-08-17 20:24:25,-1.0,0.1,10.37,22.02
Flower power A4F9,PI040298AD5I212913,2018-08-17 20:39:25,-1.0,0.1,10.37,22.02
Flower power A4F9,PI040298AD5I212913,2018-08-17 20:54:25,-1.0,0.1,9.86,22.07
Flower power A4F9,PI040298AD5I212913,2018-08-17 21:09:25,-1.0,0.1,10.12,22.07
Flower power A4F9,PI040298AD5I212913,2018-08-17 21:24:25,-1.0,0.1,9.86,22.07
Flower power A4F9,PI040298AD5I212913,2018-08-17 21:39:25,-1.0,0.1,9.86,22.02
Flower power A4F9,PI040298AD5I212913,2018-08-17 21:54:25,-1.0,0.1,9.99,21.74
Flower power A4F9,PI040298AD5I212913,2018-08-17 22:09:25,-1.0,0.1,9.86,21.79
Flower power A4F9,PI040298AD5I212913,2018-08-17 22:24:25,-1.0,0.1,10.25,21.6
Flower power A4F9,PI040298AD5I212913,2018-08-17 22:39:25,-1.0,0.1,10.25,21.26
Flower power A4F9,PI040298AD5I212913,2018-08-17 22:54:25,-1.0,0.1,10.12,21.26
Flower power A4F9,PI040298AD5I212913,2018-08-17 23:09:25,-1.0,0.1,9.86,21.22
Flower power A4F9,PI040298AD5I212913,2018-08-17 23:24:25,-1.0,0.1,9.99,20.93
Flower power A4F9,PI040298AD5I212913,2018-08-17 23:39:25,-1.0,0.1,9.99,20.88
Flower power A4F9,PI040298AD5I212913,2018-08-17 23:54:25,-1.0,0.1,9.99,21.12
Flower power A4F9,PI040298AD5I212913,2018-08-18 00:09:25,-1.0,0.1,9.99,20.83
Flower power A4F9,PI040298AD5I212913,2018-08-18 00:24:25,-1.0,0.1,9.74,20.5
Flower power A4F9,PI040298AD5I212913,2018-08-18 00:39:25,-1.0,0.1,9.99,19.96
Flower power A4F9,PI040298AD5I212913,2018-08-18 00:54:25,-1.0,0.1,9.74,19.82
Flower power A4F9,PI040298AD5I212913,2018-08-18 01:09:25,-1.0,0.1,9.74,20.01
Flower power A4F9,PI040298AD5I212913,2018-08-18 01:24:25,-1.0,0.1,9.99,20.3
Flower power A4F9,PI040298AD5I212913,2018-08-18 01:39:25,-1.0,0.1,10.25,20.4
Flower power A4F9,PI040298AD5I212913,2018-08-18 01:54:25,-1.0,0.1,9.74,20.55
Flower power A4F9,PI040298AD5I212913,2018-08-18 02:09:25,-1.0,0.1,9.74,20.64
Flower power A4F9,PI040298AD5I212913,2018-08-18 02:24:25,-1.0,0.1,9.86,20.16
