NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power ACD1,PI040298AD5G200384,2018-08-21 16:20:55,-1.0,73.93,11.69,45.28
Flower power ACD1,PI040298AD5G200384,2018-08-21 16:35:55,-1.0,66.78,11.57,44.74
Flower power ACD1,PI040298AD5G200384,2018-08-21 16:50:55,-1.0,58.0,11.69,43.54
Flower power ACD1,PI040298AD5G200384,2018-08-21 17:05:55,-1.0,51.65,11.44,41.91
Flower power ACD1,PI040298AD5G200384,2018-08-21 17:20:55,-1.0,44.64,11.69,39.94
Flower power ACD1,PI040298AD5G200384,2018-08-21 17:35:55,-1.0,34.13,11.82,38.08
Flower power ACD1,PI040298AD5G200384,2018-08-21 17:50:50,-1.0,25.85,11.95,36.18
Flower power ACD1,PI040298AD5G200384,2018-08-21 18:05:50,-1.0,16.6,11.95,33.92
Flower power ACD1,PI040298AD5G200384,2018-08-21 18:20:50,-1.0,11.72,12.21,32.71
Flower power ACD1,PI040298AD5G200384,2018-08-21 18:35:50,-1.0,6.24,12.21,30.01
Flower power ACD1,PI040298AD5G200384,2018-08-21 18:50:50,-1.0,3.71,11.82,28.38
Flower power ACD1,PI040298AD5G200384,2018-08-21 19:05:50,-1.0,1.59,12.21,27.13
Flower power ACD1,PI040298AD5G200384,2018-08-21 19:20:50,-1.0,0.37,11.82,25.83
Flower power ACD1,PI040298AD5G200384,2018-08-21 19:35:50,-1.0,0.1,11.95,25.07
Flower power ACD1,PI040298AD5G200384,2018-08-21 19:50:50,-1.0,0.1,12.21,24.75
Flower power ACD1,PI040298AD5G200384,2018-08-21 20:05:50,-1.0,0.1,12.08,24.38
Flower power ACD1,PI040298AD5G200384,2018-08-21 20:20:50,-1.0,0.1,11.95,23.83
Flower power ACD1,PI040298AD5G200384,2018-08-21 20:35:50,-1.0,0.1,11.95,23.6
Flower power ACD1,PI040298AD5G200384,2018-08-21 20:50:50,-1.0,0.1,12.33,22.91
Flower power ACD1,PI040298AD5G200384,2018-08-21 21:05:50,-1.0,0.1,11.82,22.86
Flower power ACD1,PI040298AD5G200384,2018-08-21 21:20:50,-1.0,0.1,12.33,23.24
Flower power ACD1,PI040298AD5G200384,2018-08-21 21:35:50,-1.0,0.1,11.95,23.1
Flower power ACD1,PI040298AD5G200384,2018-08-21 21:50:50,-1.0,0.1,12.33,23.24
Flower power ACD1,PI040298AD5G200384,2018-08-21 22:05:50,-1.0,0.1,12.46,23.28
Flower power ACD1,PI040298AD5G200384,2018-08-21 22:20:50,-1.0,0.1,12.21,22.86
Flower power ACD1,PI040298AD5G200384,2018-08-21 22:35:50,-1.0,0.1,12.46,23.1
Flower power ACD1,PI040298AD5G200384,2018-08-21 22:50:50,-1.0,0.1,12.33,22.63
Flower power ACD1,PI040298AD5G200384,2018-08-21 23:05:50,-1.0,0.1,12.21,22.4
Flower power ACD1,PI040298AD5G200384,2018-08-21 23:20:50,-1.0,0.1,12.59,22.26
