NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power C1C8,PI040298AD5I209167,2018-08-25 18:37:09,-1.0,4.18,11.91,27.18
Flower power C1C8,PI040298AD5I209167,2018-08-25 18:52:09,-1.0,2.25,12.04,25.61
Flower power C1C8,PI040298AD5I209167,2018-08-25 19:07:09,-1.0,0.76,12.43,24.75
Flower power C1C8,PI040298AD5I209167,2018-08-25 19:22:09,-1.0,0.1,12.55,23.83
Flower power C1C8,PI040298AD5I209167,2018-08-25 19:37:09,-1.0,0.1,12.55,23.79
Flower power C1C8,PI040298AD5I209167,2018-08-25 19:52:09,-1.0,0.1,12.68,23.88
Flower power C1C8,PI040298AD5I209167,2018-08-25 20:07:09,-1.0,0.1,12.17,23.28
Flower power C1C8,PI040298AD5I209167,2018-08-25 20:22:09,-1.0,0.1,12.43,23.14
Flower power C1C8,PI040298AD5I209167,2018-08-25 20:37:09,-1.0,0.1,12.55,23.14
Flower power C1C8,PI040298AD5I209167,2018-08-25 20:52:09,-1.0,0.1,12.55,22.72
Flower power C1C8,PI040298AD5I209167,2018-08-25 21:07:09,-1.0,0.1,12.43,22.49
Flower power C1C8,PI040298AD5I209167,2018-08-25 21:22:09,-1.0,0.1,12.68,22.58
Flower power C1C8,PI040298AD5I209167,2018-08-25 21:37:09,-1.0,0.1,12.81,22.44
Flower power C1C8,PI040298AD5I209167,2018-08-25 21:52:09,-1.0,0.1,12.55,22.58
Flower power C1C8,PI040298AD5I209167,2018-08-25 22:07:09,-1.0,0.1,12.55,22.44
Flower power C1C8,PI040298AD5I209167,2018-08-25 22:22:09,-1.0,0.1,12.43,21.88
Flower power C1C8,PI040298AD5I209167,2018-08-25 22:37:09,-1.0,0.1,12.68,21.93
Flower power C1C8,PI040298AD5I209167,2018-08-25 22:52:09,-1.0,0.1,12.68,21.97
Flower power C1C8,PI040298AD5I209167,2018-08-25 23:07:09,-1.0,0.1,12.94,21.64
Flower power C1C8,PI040298AD5I209167,2018-08-25 23:22:09,-1.0,0.1,12.81,21.26
Flower power C1C8,PI040298AD5I209167,2018-08-25 23:37:09,-1.0,0.1,12.81,21.17
Flower power C1C8,PI040298AD5I209167,2018-08-25 23:52:09,-1.0,0.1,12.94,20.74
Flower power C1C8,PI040298AD5I209167,2018-08-26 00:07:09,-1.0,0.1,12.43,20.4
Flower power C1C8,PI040298AD5I209167,2018-08-26 00:22:09,-1.0,0.1,12.55,20.11
Flower power C1C8,PI040298AD5I209167,2018-08-26 00:37:09,-1.0,0.1,12.3,19.92
Flower power C1C8,PI040298AD5I209167,2018-08-26 00:52:09,-1.0,0.1,12.94,19.92
Flower power C1C8,PI040298AD5I209167,2018-08-26 01:07:09,-1.0,0.1,12.81,19.28
Flower power C1C8,PI040298AD5I209167,2018-08-26 01:22:09,-1.0,0.1,12.43,18.44
Flower power C1C8,PI040298AD5I209167,2018-08-26 01:37:09,-1.0,0.1,12.94,16.4
Flower power C1C8,PI040298AD5I209167,2018-08-26 01:52:09,-1.0,0.1,12.68,15.56
Flower power C1C8,PI040298AD5I209167,2018-08-26 02:07:09,-1.0,0.1,12.3,17.27
Flower power C1C8,PI040298AD5I209167,2018-08-26 02:22:09,-1.0,0.1,12.68,17.88
Flower power C1C8,PI040298AD5I209167,2018-08-26 02:37:09,-1.0,0.1,12.43,18.74
Flower power C1C8,PI040298AD5I209167,2018-08-26 02:52:09,-1.0,0.1,12.3,18.54
Flower power C1C8,PI040298AD5I209167,2018-08-26 03:07:09,-1.0,0.1,12.68,18.29
Flower power C1C8,PI040298AD5I209167,2018-08-26 03:22:09,-1.0,0.1,12.81,18.24
Flower power C1C8,PI040298AD5I209167,2018-08-26 03:37:09,-1.0,0.1,12.94,17.98
Flower power C1C8,PI040298AD5I209167,2018-08-26 03:52:09,-1.0,0.1,12.55,18.29
Flower power C1C8,PI040298AD5I209167,2018-08-26 04:07:09,-1.0,0.1,12.55,18.29
Flower power C1C8,PI040298AD5I209167,2018-08-26 04:22:09,-1.0,0.1,12.55,17.83
Flower power C1C8,PI040298AD5I209167,2018-08-26 04:37:09,-1.0,0.1,12.55,17.58
Flower power C1C8,PI040298AD5I209167,2018-08-26 04:52:09,-1.0,0.1,12.55,15.93
Flower power C1C8,PI040298AD5I209167,2018-08-26 05:07:09,-1.0,0.1,12.94,14.76
Flower power C1C8,PI040298AD5I209167,2018-08-26 05:22:09,-1.0,0.1,12.43,16.76
Flower power C1C8,PI040298AD5I209167,2018-08-26 05:37:09,-1.0,0.1,12.68,17.43
Flower power C1C8,PI040298AD5I209167,2018-08-26 05:52:09,-1.0,0.15,12.68,17.63
Flower power C1C8,PI040298AD5I209167,2018-08-26 06:07:09,-1.0,0.89,12.81,18.08
Flower power C1C8,PI040298AD5I209167,2018-08-26 06:22:09,-1.0,2.47,12.68,18.59
Flower power C1C8,PI040298AD5I209167,2018-08-26 06:37:09,-1.0,6.07,12.55,21.64
Flower power C1C8,PI040298AD5I209167,2018-08-26 06:52:09,-1.0,9.62,12.81,23.74
Flower power C1C8,PI040298AD5I209167,2018-08-26 07:07:09,-1.0,15.7,12.68,23.47
Flower power C1C8,PI040298AD5I209167,2018-08-26 07:22:09,-1.0,8.65,12.68,23.47
Flower power C1C8,PI040298AD5I209167,2018-08-26 07:37:09,-1.0,30.64,12.68,31.96
Flower power C1C8,PI040298AD5I209167,2018-08-26 07:52:09,-1.0,14.53,12.81,30.14
Flower power C1C8,PI040298AD5I209167,2018-08-26 08:07:09,-1.0,15.58,12.68,32.53
Flower power C1C8,PI040298AD5I209167,2018-08-26 08:22:09,-1.0,37.97,12.43,37.94
Flower power C1C8,PI040298AD5I209167,2018-08-26 08:37:09,-1.0,58.16,12.94,42.47
Flower power C1C8,PI040298AD5I209167,2018-08-26 08:52:09,-1.0,61.26,12.55,46.14
Flower power C1C8,PI040298AD5I209167,2018-08-26 09:07:09,-1.0,72.86,12.81,46.63
Flower power C1C8,PI040298AD5I209167,2018-08-26 09:22:09,-1.0,81.35,12.94,48.43
Flower power C1C8,PI040298AD5I209167,2018-08-26 09:37:09,-1.0,39.46,12.68,46.2
Flower power C1C8,PI040298AD5I209167,2018-08-26 09:52:09,-1.0,90.43,13.07,47.58
Flower power C1C8,PI040298AD5I209167,2018-08-26 10:07:09,-1.0,88.9,12.55,47.8
Flower power C1C8,PI040298AD5I209167,2018-08-26 10:22:09,-1.0,107.87,12.55,51.5
Flower power C1C8,PI040298AD5I209167,2018-08-26 10:37:09,-1.0,88.9,13.2,50.06
Flower power C1C8,PI040298AD5I209167,2018-08-26 10:52:09,-1.0,24.73,12.94,45.82
Flower power C1C8,PI040298AD5I209167,2018-08-26 11:07:09,-1.0,78.91,12.81,42.42
Flower power C1C8,PI040298AD5I209167,2018-08-26 11:22:09,-1.0,26.46,12.94,44.43
Flower power C1C8,PI040298AD5I209167,2018-08-26 11:37:09,-1.0,31.41,13.2,42.42
Flower power C1C8,PI040298AD5I209167,2018-08-26 11:52:09,-1.0,36.32,12.81,38.89
Flower power C1C8,PI040298AD5I209167,2018-08-26 12:07:09,-1.0,35.3,12.81,41.46
Flower power C1C8,PI040298AD5I209167,2018-08-26 12:22:09,-1.0,110.09,12.94,43.96
Flower power C1C8,PI040298AD5I209167,2018-08-26 12:37:09,-1.0,18.59,13.33,42.62
Flower power C1C8,PI040298AD5I209167,2018-08-26 12:52:09,-1.0,53.05,13.2,38.7
Flower power C1C8,PI040298AD5I209167,2018-08-26 13:07:09,-1.0,72.86,13.2,41.81
Flower power C1C8,PI040298AD5I209167,2018-08-26 13:22:09,-1.0,41.23,13.33,41.16
Flower power C1C8,PI040298AD5I209167,2018-08-26 13:37:09,-1.0,108.97,12.81,44.06
Flower power C1C8,PI040298AD5I209167,2018-08-26 13:52:09,-1.0,105.73,13.2,46.25
Flower power C1C8,PI040298AD5I209167,2018-08-26 14:07:09,-1.0,117.33,13.46,49.18
Flower power C1C8,PI040298AD5I209167,2018-08-26 14:22:09,-1.0,86.71,13.33,48.6
Flower power C1C8,PI040298AD5I209167,2018-08-26 14:37:09,-1.0,88.16,13.07,45.6
Flower power C1C8,PI040298AD5I209167,2018-08-26 14:52:09,-1.0,91.21,13.07,49.12
Flower power C1C8,PI040298AD5I209167,2018-08-26 15:07:09,-1.0,101.7,13.46,48.83
Flower power C1C8,PI040298AD5I209167,2018-08-26 15:22:09,-1.0,73.89,13.46,45.65
Flower power C1C8,PI040298AD5I209167,2018-08-26 15:37:09,-1.0,49.7,13.46,43.9
Flower power C1C8,PI040298AD5I209167,2018-08-26 15:52:09,-1.0,40.41,13.46,44.59
Flower power C1C8,PI040298AD5I209167,2018-08-26 16:07:09,-1.0,69.93,13.2,46.14
Flower power C1C8,PI040298AD5I209167,2018-08-26 16:22:09,-1.0,45.29,13.33,45.76
Flower power C1C8,PI040298AD5I209167,2018-08-26 16:37:09,-1.0,63.52,13.46,46.25
Flower power C1C8,PI040298AD5I209167,2018-08-26 16:52:09,-1.0,51.71,13.46,44.06
Flower power C1C8,PI040298AD5I209167,2018-08-26 17:07:09,-1.0,33.08,13.2,42.47
Flower power C1C8,PI040298AD5I209167,2018-08-26 17:22:09,-1.0,38.12,13.59,40.97
Flower power C1C8,PI040298AD5I209167,2018-08-26 17:37:09,-1.0,29.99,13.46,39.03
Flower power C1C8,PI040298AD5I209167,2018-08-26 17:52:09,-1.0,20.69,13.2,34.86
Flower power C1C8,PI040298AD5I209167,2018-08-26 18:07:09,-1.0,12.37,13.46,32.62
Flower power C1C8,PI040298AD5I209167,2018-08-26 18:22:09,-1.0,8.95,13.33,30.41
Flower power C1C8,PI040298AD5I209167,2018-08-26 18:37:09,-1.0,3.71,13.07,26.33
Flower power C1C8,PI040298AD5I209167,2018-08-26 18:52:09,-1.0,2.1,13.46,23.42
Flower power C1C8,PI040298AD5I209167,2018-08-26 19:07:09,-1.0,0.73,13.33,21.88
Flower power C1C8,PI040298AD5I209167,2018-08-26 19:22:09,-1.0,0.1,12.94,20.55
Flower power C1C8,PI040298AD5I209167,2018-08-26 19:37:09,-1.0,0.1,12.94,19.77
Flower power C1C8,PI040298AD5I209167,2018-08-26 19:52:09,-1.0,0.1,12.94,19.48
Flower power C1C8,PI040298AD5I209167,2018-08-26 20:07:09,-1.0,0.1,13.46,19.43
Flower power C1C8,PI040298AD5I209167,2018-08-26 20:22:09,-1.0,0.1,12.94,19.38
Flower power C1C8,PI040298AD5I209167,2018-08-26 20:37:09,-1.0,0.1,12.68,21.17
Flower power C1C8,PI040298AD5I209167,2018-08-26 20:52:09,-1.0,0.1,12.94,19.48
Flower power C1C8,PI040298AD5I209167,2018-08-26 21:07:09,-1.0,0.1,13.2,18.98
Flower power C1C8,PI040298AD5I209167,2018-08-26 21:22:09,-1.0,0.1,12.81,18.64
Flower power C1C8,PI040298AD5I209167,2018-08-26 21:37:09,-1.0,0.1,13.33,19.18
Flower power C1C8,PI040298AD5I209167,2018-08-26 21:52:09,-1.0,0.1,13.07,20.21
Flower power C1C8,PI040298AD5I209167,2018-08-26 22:07:09,-1.0,0.1,13.2,18.29
Flower power C1C8,PI040298AD5I209167,2018-08-26 22:22:09,-1.0,0.1,12.68,17.88
Flower power C1C8,PI040298AD5I209167,2018-08-26 22:37:09,-1.0,0.1,12.94,17.63
Flower power C1C8,PI040298AD5I209167,2018-08-26 22:52:09,-1.0,0.1,13.07,17.27
Flower power C1C8,PI040298AD5I209167,2018-08-26 23:07:09,-1.0,0.1,12.94,16.91
Flower power C1C8,PI040298AD5I209167,2018-08-26 23:22:09,-1.0,0.1,12.94,17.02
Flower power C1C8,PI040298AD5I209167,2018-08-26 23:37:09,-1.0,0.1,13.07,16.97
Flower power C1C8,PI040298AD5I209167,2018-08-26 23:52:09,-1.0,0.1,12.55,17.02
Flower power C1C8,PI040298AD5I209167,2018-08-27 00:07:09,-1.0,0.1,12.81,16.71
Flower power C1C8,PI040298AD5I209167,2018-08-27 00:22:09,-1.0,0.1,12.55,16.6
Flower power C1C8,PI040298AD5I209167,2018-08-27 00:37:09,-1.0,0.1,12.94,16.45
Flower power C1C8,PI040298AD5I209167,2018-08-27 00:52:09,-1.0,0.1,12.94,16.24
Flower power C1C8,PI040298AD5I209167,2018-08-27 01:07:09,-1.0,0.1,12.55,16.24
Flower power C1C8,PI040298AD5I209167,2018-08-27 01:22:09,-1.0,0.1,12.43,16.34
Flower power C1C8,PI040298AD5I209167,2018-08-27 01:37:09,-1.0,0.1,13.2,16.91
Flower power C1C8,PI040298AD5I209167,2018-08-27 01:52:09,-1.0,0.1,12.55,17.88
Flower power C1C8,PI040298AD5I209167,2018-08-27 02:07:09,-1.0,0.1,12.43,18.64
Flower power C1C8,PI040298AD5I209167,2018-08-27 02:22:09,-1.0,0.1,12.43,19.13
Flower power C1C8,PI040298AD5I209167,2018-08-27 02:37:09,-1.0,0.1,12.81,18.98
Flower power C1C8,PI040298AD5I209167,2018-08-27 02:52:09,-1.0,0.1,12.81,18.83
Flower power C1C8,PI040298AD5I209167,2018-08-27 03:07:09,-1.0,0.1,13.07,19.87
Flower power C1C8,PI040298AD5I209167,2018-08-27 03:22:09,-1.0,0.1,12.55,19.77
Flower power C1C8,PI040298AD5I209167,2018-08-27 03:37:09,-1.0,0.1,12.94,19.77
Flower power C1C8,PI040298AD5I209167,2018-08-27 03:52:09,-1.0,0.1,12.94,19.92
Flower power C1C8,PI040298AD5I209167,2018-08-27 04:07:09,-1.0,0.1,12.43,20.21
Flower power C1C8,PI040298AD5I209167,2018-08-27 04:22:09,-1.0,0.1,13.07,19.62
Flower power C1C8,PI040298AD5I209167,2018-08-27 04:37:09,-1.0,0.1,13.07,20.5
Flower power C1C8,PI040298AD5I209167,2018-08-27 04:52:09,-1.0,0.1,12.94,20.01
Flower power C1C8,PI040298AD5I209167,2018-08-27 05:07:09,-1.0,0.1,12.94,19.77
Flower power C1C8,PI040298AD5I209167,2018-08-27 05:22:09,-1.0,0.1,12.55,19.92
Flower power C1C8,PI040298AD5I209167,2018-08-27 05:37:09,-1.0,0.1,13.07,20.59
Flower power C1C8,PI040298AD5I209167,2018-08-27 05:52:09,-1.0,0.1,12.68,19.28
Flower power C1C8,PI040298AD5I209167,2018-08-27 06:07:09,-1.0,0.31,12.94,19.48
Flower power C1C8,PI040298AD5I209167,2018-08-27 06:22:09,-1.0,0.55,12.43,20.26
Flower power C1C8,PI040298AD5I209167,2018-08-27 06:37:09,-1.0,0.87,12.55,20.45
Flower power C1C8,PI040298AD5I209167,2018-08-27 06:52:09,-1.0,0.5,12.68,20.88
Flower power C1C8,PI040298AD5I209167,2018-08-27 07:07:09,-1.0,3.31,12.81,20.93
Flower power C1C8,PI040298AD5I209167,2018-08-27 07:22:09,-1.0,11.34,13.07,23.79
Flower power C1C8,PI040298AD5I209167,2018-08-27 07:37:09,-1.0,7.37,12.81,25.25
Flower power C1C8,PI040298AD5I209167,2018-08-27 07:52:09,-1.0,2.57,12.81,25.83
Flower power C1C8,PI040298AD5I209167,2018-08-27 08:07:09,-1.0,1.55,12.81,23.74
Flower power C1C8,PI040298AD5I209167,2018-08-27 08:22:09,-1.0,14.51,13.07,26.19
Flower power C1C8,PI040298AD5I209167,2018-08-27 08:37:09,-1.0,12.62,12.68,25.92
Flower power C1C8,PI040298AD5I209167,2018-08-27 08:52:09,-1.0,56.25,12.81,37.61
Flower power C1C8,PI040298AD5I209167,2018-08-27 09:07:09,-1.0,20.56,13.07,32.22
Flower power C1C8,PI040298AD5I209167,2018-08-27 09:22:09,-1.0,12.88,12.81,34.91
Flower power C1C8,PI040298AD5I209167,2018-08-27 09:37:09,-1.0,42.8,12.94,43.18
Flower power C1C8,PI040298AD5I209167,2018-08-27 09:52:09,-1.0,81.99,12.94,42.26
Flower power C1C8,PI040298AD5I209167,2018-08-27 10:07:09,-1.0,68.1,12.55,46.52
Flower power C1C8,PI040298AD5I209167,2018-08-27 10:22:09,-1.0,84.62,12.81,49.47
Flower power C1C8,PI040298AD5I209167,2018-08-27 10:37:09,-1.0,69.47,12.68,48.03
Flower power C1C8,PI040298AD5I209167,2018-08-27 10:52:09,-1.0,42.98,13.2,44.16
Flower power C1C8,PI040298AD5I209167,2018-08-27 11:07:09,-1.0,33.75,13.07,42.47
Flower power C1C8,PI040298AD5I209167,2018-08-27 11:22:09,-1.0,38.12,13.2,43.49
Flower power C1C8,PI040298AD5I209167,2018-08-27 11:37:09,-1.0,33.87,13.33,41.41
Flower power C1C8,PI040298AD5I209167,2018-08-27 11:52:09,-1.0,40.09,12.94,39.46
Flower power C1C8,PI040298AD5I209167,2018-08-27 12:07:09,-1.0,78.91,12.94,42.26
Flower power C1C8,PI040298AD5I209167,2018-08-27 12:22:09,-1.0,74.95,13.2,42.52
Flower power C1C8,PI040298AD5I209167,2018-08-27 12:37:09,-1.0,23.21,13.2,41.16
Flower power C1C8,PI040298AD5I209167,2018-08-27 12:52:09,-1.0,85.31,12.81,38.79
Flower power C1C8,PI040298AD5I209167,2018-08-27 13:07:09,-1.0,42.8,13.2,40.97
Flower power C1C8,PI040298AD5I209167,2018-08-27 13:22:09,-1.0,55.05,13.2,40.18
Flower power C1C8,PI040298AD5I209167,2018-08-27 13:37:09,-1.0,107.87,13.07,44.32
Flower power C1C8,PI040298AD5I209167,2018-08-27 13:52:09,-1.0,93.63,13.33,44.01
Flower power C1C8,PI040298AD5I209167,2018-08-27 14:07:09,-1.0,91.21,13.33,47.58
Flower power C1C8,PI040298AD5I209167,2018-08-27 14:22:09,-1.0,84.62,12.94,47.58
Flower power C1C8,PI040298AD5I209167,2018-08-27 14:37:09,-1.0,70.4,13.46,43.54
Flower power C1C8,PI040298AD5I209167,2018-08-27 14:52:09,-1.0,77.74,13.59,46.09
Flower power C1C8,PI040298AD5I209167,2018-08-27 15:07:09,-1.0,74.42,13.33,45.65
Flower power C1C8,PI040298AD5I209167,2018-08-27 15:22:09,-1.0,51.71,12.94,44.37
Flower power C1C8,PI040298AD5I209167,2018-08-27 15:37:09,-1.0,50.44,13.33,44.69
Flower power C1C8,PI040298AD5I209167,2018-08-27 15:52:09,-1.0,57.51,13.46,46.74
Flower power C1C8,PI040298AD5I209167,2018-08-27 16:07:09,-1.0,54.75,13.33,46.03
Flower power C1C8,PI040298AD5I209167,2018-08-27 16:22:09,-1.0,43.17,13.2,45.98
Flower power C1C8,PI040298AD5I209167,2018-08-27 16:37:09,-1.0,56.25,13.2,45.82
Flower power C1C8,PI040298AD5I209167,2018-08-27 16:52:09,-1.0,39.61,13.33,44.22
Flower power C1C8,PI040298AD5I209167,2018-08-27 17:07:09,-1.0,42.62,13.46,42.21
