NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power FEA8,PI040298AD5I212788,2018-08-26 10:05:25,-1.0,114.57,11.67,50.18
Flower power FEA8,PI040298AD5I212788,2018-08-26 10:20:25,-1.0,125.99,11.67,52.3
Flower power FEA8,PI040298AD5I212788,2018-08-26 10:35:25,-1.0,134.92,11.8,53.37
Flower power FEA8,PI040298AD5I212788,2018-08-26 10:50:25,-1.0,141.58,11.67,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 11:05:25,-1.0,147.02,12.2,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 11:20:25,-1.0,148.92,11.93,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 11:35:25,-1.0,152.87,12.33,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 11:50:25,-1.0,154.93,12.46,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 12:05:25,-1.0,157.03,12.33,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 12:20:25,-1.0,159.2,12.59,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 12:35:25,-1.0,159.2,12.85,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 12:50:25,-1.0,161.42,12.46,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 13:05:25,-1.0,161.42,12.59,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 13:20:25,-1.0,159.2,12.59,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 13:35:25,-1.0,157.03,13.11,55.0
Flower power FEA8,PI040298AD5I212788,2018-08-26 13:50:25,-1.0,152.87,12.72,54.26
Flower power FEA8,PI040298AD5I212788,2018-08-26 14:05:25,-1.0,148.92,12.98,51.2
Flower power FEA8,PI040298AD5I212788,2018-08-26 14:20:25,-1.0,136.53,12.98,51.75
Flower power FEA8,PI040298AD5I212788,2018-08-26 14:35:25,-1.0,124.62,13.11,49.82
Flower power FEA8,PI040298AD5I212788,2018-08-26 14:50:25,-1.0,105.98,13.24,48.77
Flower power FEA8,PI040298AD5I212788,2018-08-26 15:05:25,-1.0,120.65,12.85,48.14
Flower power FEA8,PI040298AD5I212788,2018-08-26 15:20:18,-1.0,114.57,13.11,45.49
Flower power FEA8,PI040298AD5I212788,2018-08-26 15:35:18,-1.0,63.93,13.37,43.28
Flower power FEA8,PI040298AD5I212788,2018-08-26 15:50:18,-1.0,75.28,12.85,42.06
Flower power FEA8,PI040298AD5I212788,2018-08-26 16:05:18,-1.0,31.85,13.11,37.38
