NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 06A9,PI040298AD5I212558,2018-08-28 10:32:34,-1.0,136.66,8.82,42.36
Flower power 06A9,PI040298AD5I212558,2018-08-28 10:47:34,-1.0,140.33,9.21,42.36
Flower power 06A9,PI040298AD5I212558,2018-08-28 11:02:34,-1.0,146.21,8.95,44.59
Flower power 06A9,PI040298AD5I212558,2018-08-28 11:17:34,-1.0,150.41,9.46,44.27
Flower power 06A9,PI040298AD5I212558,2018-08-28 11:32:34,-1.0,152.6,9.21,45.12
Flower power 06A9,PI040298AD5I212558,2018-08-28 11:47:34,-1.0,152.6,9.46,45.38
Flower power 06A9,PI040298AD5I212558,2018-08-28 12:02:34,-1.0,154.84,9.46,45.65
Flower power 06A9,PI040298AD5I212558,2018-08-28 12:17:34,-1.0,154.84,9.08,45.49
Flower power 06A9,PI040298AD5I212558,2018-08-28 12:32:34,-1.0,154.84,9.33,45.49
Flower power 06A9,PI040298AD5I212558,2018-08-28 12:47:34,-1.0,152.6,9.21,45.17
Flower power 06A9,PI040298AD5I212558,2018-08-28 13:02:34,-1.0,150.41,9.46,45.55
Flower power 06A9,PI040298AD5I212558,2018-08-28 13:17:34,-1.0,150.41,9.33,45.49
Flower power 06A9,PI040298AD5I212558,2018-08-28 13:32:34,-1.0,148.28,9.59,44.43
Flower power 06A9,PI040298AD5I212558,2018-08-28 13:47:34,-1.0,144.2,9.21,44.59
Flower power 06A9,PI040298AD5I212558,2018-08-28 14:02:34,-1.0,138.47,9.21,44.32
Flower power 06A9,PI040298AD5I212558,2018-08-28 14:17:34,-1.0,133.17,9.21,43.28
Flower power 06A9,PI040298AD5I212558,2018-08-28 14:32:34,-1.0,126.68,9.72,42.42
Flower power 06A9,PI040298AD5I212558,2018-08-28 14:47:34,-1.0,118.03,9.46,41.76
Flower power 06A9,PI040298AD5I212558,2018-08-28 15:02:34,-1.0,105.91,9.33,41.46
Flower power 06A9,PI040298AD5I212558,2018-08-28 15:17:34,-1.0,95.11,9.33,39.6
Flower power 06A9,PI040298AD5I212558,2018-08-28 15:32:34,-1.0,86.26,9.46,39.27
Flower power 06A9,PI040298AD5I212558,2018-08-28 15:47:34,-1.0,78.26,9.46,37.94
Flower power 06A9,PI040298AD5I212558,2018-08-28 16:02:34,-1.0,36.67,9.33,34.01
Flower power 06A9,PI040298AD5I212558,2018-08-28 16:17:34,-1.0,61.48,9.46,31.91
Flower power 06A9,PI040298AD5I212558,2018-08-28 16:32:34,-1.0,13.41,9.46,26.91
Flower power 06A9,PI040298AD5I212558,2018-08-28 16:47:34,-1.0,12.7,9.72,25.88
Flower power 06A9,PI040298AD5I212558,2018-08-28 17:02:34,-1.0,11.63,9.59,25.2
Flower power 06A9,PI040298AD5I212558,2018-08-28 17:17:34,-1.0,10.74,9.08,24.29
Flower power 06A9,PI040298AD5I212558,2018-08-28 17:32:34,-1.0,9.85,9.21,23.6
Flower power 06A9,PI040298AD5I212558,2018-08-28 17:47:34,-1.0,8.76,9.21,22.86
Flower power 06A9,PI040298AD5I212558,2018-08-28 18:02:34,-1.0,7.6,9.08,22.49
Flower power 06A9,PI040298AD5I212558,2018-08-28 18:17:34,-1.0,6.26,9.21,22.12
Flower power 06A9,PI040298AD5I212558,2018-08-28 18:32:34,-1.0,4.6,9.08,21.45
Flower power 06A9,PI040298AD5I212558,2018-08-28 18:47:34,-1.0,2.75,9.21,20.79
Flower power 06A9,PI040298AD5I212558,2018-08-28 19:02:34,-1.0,1.04,9.33,20.16
Flower power 06A9,PI040298AD5I212558,2018-08-28 19:17:34,-1.0,0.15,9.46,19.67
Flower power 06A9,PI040298AD5I212558,2018-08-28 19:32:34,-1.0,0.1,9.21,19.43
Flower power 06A9,PI040298AD5I212558,2018-08-28 19:47:34,-1.0,0.1,8.95,19.38
Flower power 06A9,PI040298AD5I212558,2018-08-28 20:02:34,-1.0,0.1,9.21,19.33
Flower power 06A9,PI040298AD5I212558,2018-08-28 20:17:34,-1.0,0.1,9.46,19.23
Flower power 06A9,PI040298AD5I212558,2018-08-28 20:32:34,-1.0,0.1,8.95,19.23
Flower power 06A9,PI040298AD5I212558,2018-08-28 20:47:34,-1.0,0.1,8.95,19.03
Flower power 06A9,PI040298AD5I212558,2018-08-28 21:02:34,-1.0,0.1,9.33,18.88
Flower power 06A9,PI040298AD5I212558,2018-08-28 21:17:34,-1.0,0.1,8.95,18.88
Flower power 06A9,PI040298AD5I212558,2018-08-28 21:32:34,-1.0,0.1,8.95,19.03
Flower power 06A9,PI040298AD5I212558,2018-08-28 21:47:34,-1.0,0.1,9.08,19.13
Flower power 06A9,PI040298AD5I212558,2018-08-28 22:02:34,-1.0,0.1,8.82,19.08
Flower power 06A9,PI040298AD5I212558,2018-08-28 22:17:34,-1.0,0.1,9.08,18.98
Flower power 06A9,PI040298AD5I212558,2018-08-28 22:32:34,-1.0,0.1,8.69,19.03
Flower power 06A9,PI040298AD5I212558,2018-08-28 22:47:34,-1.0,0.1,9.21,19.13
Flower power 06A9,PI040298AD5I212558,2018-08-28 23:02:34,-1.0,0.1,8.82,19.08
