NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 0F0C,PI040298AD5I213966,2018-08-21 16:26:58,-1.0,74.41,11.39,47.36
Flower power 0F0C,PI040298AD5I213966,2018-08-21 16:41:52,-1.0,69.37,11.39,46.36
Flower power 0F0C,PI040298AD5I213966,2018-08-21 16:56:52,-1.0,19.58,11.91,35.13
Flower power 0F0C,PI040298AD5I213966,2018-08-21 17:11:52,-1.0,19.11,11.78,32.93
Flower power 0F0C,PI040298AD5I213966,2018-08-21 17:26:52,-1.0,16.68,12.04,31.82
Flower power 0F0C,PI040298AD5I213966,2018-08-21 17:41:52,-1.0,14.6,12.17,31.03
Flower power 0F0C,PI040298AD5I213966,2018-08-21 17:56:52,-1.0,12.67,12.17,30.19
Flower power 0F0C,PI040298AD5I213966,2018-08-21 18:11:52,-1.0,11.01,11.78,29.66
Flower power 0F0C,PI040298AD5I213966,2018-08-21 18:26:52,-1.0,8.6,12.17,29.17
Flower power 0F0C,PI040298AD5I213966,2018-08-21 18:41:52,-1.0,5.97,11.78,28.29
Flower power 0F0C,PI040298AD5I213966,2018-08-21 18:56:52,-1.0,3.26,12.04,26.82
Flower power 0F0C,PI040298AD5I213966,2018-08-21 19:11:52,-1.0,1.15,12.04,25.83
Flower power 0F0C,PI040298AD5I213966,2018-08-21 19:26:52,-1.0,0.18,12.17,25.47
Flower power 0F0C,PI040298AD5I213966,2018-08-21 19:41:52,-1.0,0.1,11.65,24.48
Flower power 0F0C,PI040298AD5I213966,2018-08-21 19:56:52,-1.0,0.1,12.17,23.88
Flower power 0F0C,PI040298AD5I213966,2018-08-21 20:11:52,-1.0,0.1,11.52,23.93
Flower power 0F0C,PI040298AD5I213966,2018-08-21 20:26:52,-1.0,0.1,11.65,23.33
Flower power 0F0C,PI040298AD5I213966,2018-08-21 20:41:52,-1.0,0.1,11.91,23.0
Flower power 0F0C,PI040298AD5I213966,2018-08-21 20:56:52,-1.0,0.1,11.91,22.58
Flower power 0F0C,PI040298AD5I213966,2018-08-21 21:11:52,-1.0,0.1,11.91,23.14
Flower power 0F0C,PI040298AD5I213966,2018-08-21 21:26:52,-1.0,0.1,11.91,23.42
Flower power 0F0C,PI040298AD5I213966,2018-08-21 21:41:52,-1.0,0.1,11.65,22.68
Flower power 0F0C,PI040298AD5I213966,2018-08-21 21:56:52,-1.0,0.1,11.91,22.58
Flower power 0F0C,PI040298AD5I213966,2018-08-21 22:11:52,-1.0,0.1,11.39,22.63
Flower power 0F0C,PI040298AD5I213966,2018-08-21 22:26:52,-1.0,0.1,11.39,22.91
Flower power 0F0C,PI040298AD5I213966,2018-08-21 22:41:52,-1.0,0.1,11.78,22.91
Flower power 0F0C,PI040298AD5I213966,2018-08-21 22:56:52,-1.0,0.1,11.91,21.6
Flower power 0F0C,PI040298AD5I213966,2018-08-21 23:11:52,-1.0,0.1,11.39,21.6
Flower power 0F0C,PI040298AD5I213966,2018-08-21 23:26:52,-1.0,0.1,12.17,20.59
Flower power 0F0C,PI040298AD5I213966,2018-08-21 23:41:52,-1.0,0.1,12.17,20.01
Flower power 0F0C,PI040298AD5I213966,2018-08-21 23:56:52,-1.0,0.1,11.65,19.67
Flower power 0F0C,PI040298AD5I213966,2018-08-22 00:11:52,-1.0,0.1,11.78,19.57
Flower power 0F0C,PI040298AD5I213966,2018-08-22 00:26:52,-1.0,0.1,11.53,19.67
Flower power 0F0C,PI040298AD5I213966,2018-08-22 00:41:52,-1.0,0.1,11.78,19.96
Flower power 0F0C,PI040298AD5I213966,2018-08-22 00:56:52,-1.0,0.1,11.66,19.08
Flower power 0F0C,PI040298AD5I213966,2018-08-22 01:11:52,-1.0,0.1,11.91,18.69
Flower power 0F0C,PI040298AD5I213966,2018-08-22 01:26:52,-1.0,0.1,11.92,18.44
Flower power 0F0C,PI040298AD5I213966,2018-08-22 01:41:52,-1.0,0.1,12.05,18.13
Flower power 0F0C,PI040298AD5I213966,2018-08-22 01:56:52,-1.0,0.1,11.92,17.93
Flower power 0F0C,PI040298AD5I213966,2018-08-22 02:11:52,-1.0,0.1,11.79,17.78
Flower power 0F0C,PI040298AD5I213966,2018-08-22 02:26:52,-1.0,0.1,12.18,17.48
Flower power 0F0C,PI040298AD5I213966,2018-08-22 02:41:52,-1.0,0.1,12.05,17.38
Flower power 0F0C,PI040298AD5I213966,2018-08-22 02:56:52,-1.0,0.1,12.05,17.32
Flower power 0F0C,PI040298AD5I213966,2018-08-22 03:11:52,-1.0,0.1,11.92,17.22
Flower power 0F0C,PI040298AD5I213966,2018-08-22 03:26:52,-1.0,0.1,11.79,17.17
Flower power 0F0C,PI040298AD5I213966,2018-08-22 03:41:52,-1.0,0.1,11.79,17.12
Flower power 0F0C,PI040298AD5I213966,2018-08-22 03:56:52,-1.0,0.1,11.92,16.86
Flower power 0F0C,PI040298AD5I213966,2018-08-22 04:11:52,-1.0,0.1,11.92,16.66
Flower power 0F0C,PI040298AD5I213966,2018-08-22 04:26:52,-1.0,0.1,11.66,16.6
Flower power 0F0C,PI040298AD5I213966,2018-08-22 04:41:52,-1.0,0.1,12.18,16.66
Flower power 0F0C,PI040298AD5I213966,2018-08-22 04:56:52,-1.0,0.1,12.05,16.55
Flower power 0F0C,PI040298AD5I213966,2018-08-22 05:11:52,-1.0,0.1,11.79,16.6
Flower power 0F0C,PI040298AD5I213966,2018-08-22 05:26:52,-1.0,0.1,11.54,16.71
Flower power 0F0C,PI040298AD5I213966,2018-08-22 05:41:52,-1.0,0.1,11.93,16.55
Flower power 0F0C,PI040298AD5I213966,2018-08-22 05:56:52,-1.0,0.59,11.93,16.71
Flower power 0F0C,PI040298AD5I213966,2018-08-22 06:11:52,-1.0,2.3,11.93,17.78
Flower power 0F0C,PI040298AD5I213966,2018-08-22 06:26:52,-1.0,5.18,12.06,18.78
Flower power 0F0C,PI040298AD5I213966,2018-08-22 06:41:52,-1.0,10.5,11.93,21.12
Flower power 0F0C,PI040298AD5I213966,2018-08-22 06:56:52,-1.0,18.73,11.8,23.97
Flower power 0F0C,PI040298AD5I213966,2018-08-22 07:11:52,-1.0,24.51,12.06,26.51
Flower power 0F0C,PI040298AD5I213966,2018-08-22 07:26:52,-1.0,33.03,12.06,28.95
Flower power 0F0C,PI040298AD5I213966,2018-08-22 07:41:52,-1.0,37.3,11.8,32.58
Flower power 0F0C,PI040298AD5I213966,2018-08-22 07:56:52,-1.0,48.88,12.05,36.04
Flower power 0F0C,PI040298AD5I213966,2018-08-22 08:11:52,-1.0,57.23,11.79,39.03
Flower power 0F0C,PI040298AD5I213966,2018-08-22 08:26:52,-1.0,65.78,11.92,41.71
Flower power 0F0C,PI040298AD5I213966,2018-08-22 08:41:52,-1.0,74.41,11.79,43.9
Flower power 0F0C,PI040298AD5I213966,2018-08-22 08:56:52,-1.0,79.61,11.79,47.02
Flower power 0F0C,PI040298AD5I213966,2018-08-22 09:11:52,-1.0,85.56,11.53,49.24
Flower power 0F0C,PI040298AD5I213966,2018-08-22 09:26:52,-1.0,91.62,11.78,52.11
Flower power 0F0C,PI040298AD5I213966,2018-08-22 09:41:52,-1.0,98.58,11.52,54.59
Flower power 0F0C,PI040298AD5I213966,2018-08-22 09:56:52,-1.0,107.74,11.65,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 10:11:52,-1.0,116.09,11.65,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 10:26:52,-1.0,122.86,11.39,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 10:41:52,-1.0,127.31,11.52,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 10:56:52,-1.0,133.75,11.78,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 11:11:52,-1.0,139.01,11.39,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 11:26:52,-1.0,142.75,11.39,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 11:41:52,-1.0,144.69,11.52,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 11:56:52,-1.0,148.73,11.65,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 12:11:52,-1.0,150.83,11.52,55.0
Flower power 0F0C,PI040298AD5I213966,2018-08-22 12:26:52,-1.0,153.0,11.52,55.0
