NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 1BF2,PI040298AD5I213880,2018-08-26 16:25:33,-1.0,81.93,2.23,51.62
Flower power 1BF2,PI040298AD5I213880,2018-08-26 16:40:33,-1.0,73.63,2.55,50.77
Flower power 1BF2,PI040298AD5I213880,2018-08-26 16:55:33,-1.0,66.82,2.23,47.97
Flower power 1BF2,PI040298AD5I213880,2018-08-26 17:10:33,-1.0,53.42,2.55,44.11
Flower power 1BF2,PI040298AD5I213880,2018-08-26 17:25:33,-1.0,32.04,2.66,41.31
Flower power 1BF2,PI040298AD5I213880,2018-08-26 17:40:33,-1.0,24.74,2.77,37.29
Flower power 1BF2,PI040298AD5I213880,2018-08-26 17:55:33,-1.0,26.74,2.88,34.95
Flower power 1BF2,PI040298AD5I213880,2018-08-26 18:10:33,-1.0,9.06,2.88,30.36
Flower power 1BF2,PI040298AD5I213880,2018-08-26 18:25:33,-1.0,5.41,2.66,26.46
Flower power 1BF2,PI040298AD5I213880,2018-08-26 18:40:33,-1.0,3.8,2.88,24.57
Flower power 1BF2,PI040298AD5I213880,2018-08-26 18:55:33,-1.0,1.98,2.88,23.14
Flower power 1BF2,PI040298AD5I213880,2018-08-26 19:10:33,-1.0,0.56,2.88,21.5
Flower power 1BF2,PI040298AD5I213880,2018-08-26 19:25:33,-1.0,0.1,2.99,20.21
Flower power 1BF2,PI040298AD5I213880,2018-08-26 19:40:33,-1.0,0.1,2.77,19.53
Flower power 1BF2,PI040298AD5I213880,2018-08-26 19:55:33,-1.0,0.1,2.99,19.03
Flower power 1BF2,PI040298AD5I213880,2018-08-26 20:10:33,-1.0,0.1,3.1,18.64
Flower power 1BF2,PI040298AD5I213880,2018-08-26 20:25:33,-1.0,0.1,3.22,18.54
Flower power 1BF2,PI040298AD5I213880,2018-08-26 20:40:33,-1.0,0.1,3.1,18.83
Flower power 1BF2,PI040298AD5I213880,2018-08-26 20:55:33,-1.0,0.1,3.1,18.74
Flower power 1BF2,PI040298AD5I213880,2018-08-26 21:10:33,-1.0,0.1,3.33,18.49
