NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 1CA2,PI040298AD5G201682,2018-08-21 17:28:05,-1.0,16.39,8.74,35.09
Flower power 1CA2,PI040298AD5G201682,2018-08-21 17:43:05,-1.0,13.71,8.87,32.27
Flower power 1CA2,PI040298AD5G201682,2018-08-21 17:58:05,-1.0,11.72,8.61,30.89
Flower power 1CA2,PI040298AD5G201682,2018-08-21 18:13:05,-1.0,9.98,9.13,30.19
Flower power 1CA2,PI040298AD5G201682,2018-08-21 18:28:05,-1.0,7.81,9.26,29.53
Flower power 1CA2,PI040298AD5G201682,2018-08-21 18:43:05,-1.0,5.33,9.0,28.73
Flower power 1CA2,PI040298AD5G201682,2018-08-21 18:58:05,-1.0,2.81,9.13,27.49
Flower power 1CA2,PI040298AD5G201682,2018-08-21 19:13:05,-1.0,0.95,9.26,26.28
Flower power 1CA2,PI040298AD5G201682,2018-08-21 19:28:05,-1.0,0.13,8.87,25.7
Flower power 1CA2,PI040298AD5G201682,2018-08-21 19:43:05,-1.0,0.1,8.87,24.93
Flower power 1CA2,PI040298AD5G201682,2018-08-21 19:58:05,-1.0,0.1,8.87,24.34
Flower power 1CA2,PI040298AD5G201682,2018-08-21 20:13:05,-1.0,0.1,9.0,24.25
Flower power 1CA2,PI040298AD5G201682,2018-08-21 20:28:05,-1.0,0.1,9.13,23.7
Flower power 1CA2,PI040298AD5G201682,2018-08-21 20:43:05,-1.0,0.1,8.74,23.0
Flower power 1CA2,PI040298AD5G201682,2018-08-21 20:58:05,-1.0,0.1,9.51,22.77
Flower power 1CA2,PI040298AD5G201682,2018-08-21 21:13:05,-1.0,0.1,9.13,23.47
Flower power 1CA2,PI040298AD5G201682,2018-08-21 21:28:05,-1.0,0.1,9.26,23.51
Flower power 1CA2,PI040298AD5G201682,2018-08-21 21:43:05,-1.0,0.1,9.26,22.86
Flower power 1CA2,PI040298AD5G201682,2018-08-21 21:58:05,-1.0,0.1,9.0,22.72
Flower power 1CA2,PI040298AD5G201682,2018-08-21 22:13:05,-1.0,0.1,9.38,23.0
Flower power 1CA2,PI040298AD5G201682,2018-08-21 22:28:05,-1.0,0.1,9.26,23.14
Flower power 1CA2,PI040298AD5G201682,2018-08-21 22:43:05,-1.0,0.1,8.87,23.14
Flower power 1CA2,PI040298AD5G201682,2018-08-21 22:58:05,-1.0,0.1,9.38,22.12
Flower power 1CA2,PI040298AD5G201682,2018-08-21 23:13:05,-1.0,0.1,9.51,22.26
Flower power 1CA2,PI040298AD5G201682,2018-08-21 23:28:05,-1.0,0.1,9.13,21.17
Flower power 1CA2,PI040298AD5G201682,2018-08-21 23:43:05,-1.0,0.1,9.13,20.5
Flower power 1CA2,PI040298AD5G201682,2018-08-21 23:58:05,-1.0,0.1,9.38,20.3
Flower power 1CA2,PI040298AD5G201682,2018-08-22 00:13:05,-1.0,0.1,9.64,20.3
Flower power 1CA2,PI040298AD5G201682,2018-08-22 00:28:05,-1.0,0.1,9.51,20.16
