NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 2EB1,PI040298AD5I211046,2018-08-28 10:24:59,-1.0,135.39,9.49,44.8
Flower power 2EB1,PI040298AD5I211046,2018-08-28 10:39:59,-1.0,138.94,9.36,45.38
Flower power 2EB1,PI040298AD5I211046,2018-08-28 10:54:59,-1.0,144.62,9.36,45.98
Flower power 2EB1,PI040298AD5I211046,2018-08-28 11:09:59,-1.0,148.66,9.23,46.25
Flower power 2EB1,PI040298AD5I211046,2018-08-28 11:24:59,-1.0,152.92,9.62,45.92
Flower power 2EB1,PI040298AD5I211046,2018-08-28 11:39:59,-1.0,155.14,9.49,46.8
Flower power 2EB1,PI040298AD5I211046,2018-08-28 11:54:59,-1.0,159.78,9.49,45.12
Flower power 2EB1,PI040298AD5I211046,2018-08-28 12:09:59,-1.0,59.22,9.23,44.53
Flower power 2EB1,PI040298AD5I211046,2018-08-28 12:24:59,-1.0,162.21,9.75,43.8
Flower power 2EB1,PI040298AD5I211046,2018-08-28 12:39:59,-1.0,152.92,9.23,43.64
Flower power 2EB1,PI040298AD5I211046,2018-08-28 12:54:59,-1.0,103.42,9.49,41.12
Flower power 2EB1,PI040298AD5I211046,2018-08-28 13:09:59,-1.0,142.68,9.36,41.61
Flower power 2EB1,PI040298AD5I211046,2018-08-28 13:24:59,-1.0,133.68,9.36,42.72
Flower power 2EB1,PI040298AD5I211046,2018-08-28 13:39:59,-1.0,152.92,9.49,43.08
Flower power 2EB1,PI040298AD5I211046,2018-08-28 13:54:59,-1.0,150.76,9.49,42.62
Flower power 2EB1,PI040298AD5I211046,2018-08-28 14:09:59,-1.0,150.76,9.36,41.26
Flower power 2EB1,PI040298AD5I211046,2018-08-28 14:24:59,-1.0,92.39,9.75,38.84
Flower power 2EB1,PI040298AD5I211046,2018-08-28 14:39:59,-1.0,71.27,9.75,39.36
Flower power 2EB1,PI040298AD5I211046,2018-08-28 14:54:59,-1.0,86.96,9.62,37.8
Flower power 2EB1,PI040298AD5I211046,2018-08-28 15:09:59,-1.0,87.7,9.62,38.51
Flower power 2EB1,PI040298AD5I211046,2018-08-28 15:24:59,-1.0,112.3,9.49,39.99
Flower power 2EB1,PI040298AD5I211046,2018-08-28 15:39:59,-1.0,72.28,9.36,38.37
Flower power 2EB1,PI040298AD5I211046,2018-08-28 15:54:20,-1.0,72.79,9.36,36.36
Flower power 2EB1,PI040298AD5I211046,2018-08-28 16:09:20,-1.0,14.13,9.23,29.79
Flower power 2EB1,PI040298AD5I211046,2018-08-28 16:24:20,-1.0,15.16,9.1,28.91
Flower power 2EB1,PI040298AD5I211046,2018-08-28 16:39:20,-1.0,12.7,9.49,27.84
Flower power 2EB1,PI040298AD5I211046,2018-08-28 16:54:20,-1.0,10.9,9.49,26.82
Flower power 2EB1,PI040298AD5I211046,2018-08-28 17:09:20,-1.0,9.8,9.1,26.1
Flower power 2EB1,PI040298AD5I211046,2018-08-28 17:24:20,-1.0,8.94,9.23,25.2
Flower power 2EB1,PI040298AD5I211046,2018-08-28 17:39:20,-1.0,8.03,9.36,24.38
Flower power 2EB1,PI040298AD5I211046,2018-08-28 17:54:20,-1.0,7.1,9.62,23.88
Flower power 2EB1,PI040298AD5I211046,2018-08-28 18:09:20,-1.0,6.05,9.49,23.56
Flower power 2EB1,PI040298AD5I211046,2018-08-28 18:24:20,-1.0,4.83,9.1,23.05
Flower power 2EB1,PI040298AD5I211046,2018-08-28 18:39:20,-1.0,3.33,9.23,22.49
Flower power 2EB1,PI040298AD5I211046,2018-08-28 18:54:20,-1.0,1.7,8.97,21.88
Flower power 2EB1,PI040298AD5I211046,2018-08-28 19:09:20,-1.0,0.47,9.1,21.31
Flower power 2EB1,PI040298AD5I211046,2018-08-28 19:24:20,-1.0,0.1,9.36,20.98
Flower power 2EB1,PI040298AD5I211046,2018-08-28 19:39:20,-1.0,0.1,9.49,20.74
Flower power 2EB1,PI040298AD5I211046,2018-08-28 19:54:20,-1.0,0.1,9.23,20.64
Flower power 2EB1,PI040298AD5I211046,2018-08-28 20:09:20,-1.0,0.1,9.23,20.74
Flower power 2EB1,PI040298AD5I211046,2018-08-28 20:24:20,-1.0,0.1,8.97,20.55
Flower power 2EB1,PI040298AD5I211046,2018-08-28 20:39:20,-1.0,0.1,8.97,20.55
