NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 586F,PI040298AD5I212106,2018-08-25 18:58:54,-1.0,0.57,9.7,26.6
Flower power 586F,PI040298AD5I212106,2018-08-25 19:13:54,-1.0,0.15,10.23,25.79
Flower power 586F,PI040298AD5I212106,2018-08-25 19:28:54,-1.0,0.1,9.83,25.25
Flower power 586F,PI040298AD5I212106,2018-08-25 19:43:54,-1.0,0.1,9.7,24.98
Flower power 586F,PI040298AD5I212106,2018-08-25 19:58:54,-1.0,0.1,10.09,24.89
Flower power 586F,PI040298AD5I212106,2018-08-25 20:13:54,-1.0,0.1,10.09,24.52
Flower power 586F,PI040298AD5I212106,2018-08-25 20:28:54,-1.0,0.1,9.96,24.66
Flower power 586F,PI040298AD5I212106,2018-08-25 20:43:54,-1.0,0.1,9.96,24.48
Flower power 586F,PI040298AD5I212106,2018-08-25 20:58:54,-1.0,0.1,10.49,24.29
Flower power 586F,PI040298AD5I212106,2018-08-25 21:13:54,-1.0,0.1,10.23,23.93
Flower power 586F,PI040298AD5I212106,2018-08-25 21:28:54,-1.0,0.1,10.49,23.79
Flower power 586F,PI040298AD5I212106,2018-08-25 21:43:54,-1.0,0.1,10.49,23.74
Flower power 586F,PI040298AD5I212106,2018-08-25 21:58:54,-1.0,0.1,10.23,23.79
Flower power 586F,PI040298AD5I212106,2018-08-25 22:13:54,-1.0,0.1,10.23,23.51
Flower power 586F,PI040298AD5I212106,2018-08-25 22:28:54,-1.0,0.1,10.09,23.24
Flower power 586F,PI040298AD5I212106,2018-08-25 22:43:54,-1.0,0.1,10.49,23.28
Flower power 586F,PI040298AD5I212106,2018-08-25 22:58:54,-1.0,0.1,10.36,23.14
Flower power 586F,PI040298AD5I212106,2018-08-25 23:13:54,-1.0,0.1,10.36,22.82
Flower power 586F,PI040298AD5I212106,2018-08-25 23:28:54,-1.0,0.1,10.49,22.63
Flower power 586F,PI040298AD5I212106,2018-08-25 23:43:54,-1.0,0.1,10.36,22.58
Flower power 586F,PI040298AD5I212106,2018-08-25 23:58:54,-1.0,0.1,10.23,22.02
Flower power 586F,PI040298AD5I212106,2018-08-26 00:13:54,-1.0,0.1,10.36,21.6
Flower power 586F,PI040298AD5I212106,2018-08-26 00:28:54,-1.0,0.1,10.36,21.31
Flower power 586F,PI040298AD5I212106,2018-08-26 00:43:54,-1.0,0.1,10.49,21.26
Flower power 586F,PI040298AD5I212106,2018-08-26 00:58:54,-1.0,0.1,10.09,21.12
Flower power 586F,PI040298AD5I212106,2018-08-26 01:13:54,-1.0,0.1,10.49,20.83
Flower power 586F,PI040298AD5I212106,2018-08-26 01:28:54,-1.0,0.1,10.23,19.62
Flower power 586F,PI040298AD5I212106,2018-08-26 01:43:54,-1.0,0.1,10.36,19.13
Flower power 586F,PI040298AD5I212106,2018-08-26 01:58:54,-1.0,0.1,10.36,18.64
Flower power 586F,PI040298AD5I212106,2018-08-26 02:13:54,-1.0,0.1,10.23,18.59
Flower power 586F,PI040298AD5I212106,2018-08-26 02:28:54,-1.0,0.1,10.36,19.48
Flower power 586F,PI040298AD5I212106,2018-08-26 02:43:54,-1.0,0.1,10.36,19.87
Flower power 586F,PI040298AD5I212106,2018-08-26 02:58:54,-1.0,0.1,10.36,19.72
Flower power 586F,PI040298AD5I212106,2018-08-26 03:13:54,-1.0,0.1,10.49,19.67
Flower power 586F,PI040298AD5I212106,2018-08-26 03:28:54,-1.0,0.1,10.36,19.67
Flower power 586F,PI040298AD5I212106,2018-08-26 03:43:54,-1.0,0.1,10.36,19.43
Flower power 586F,PI040298AD5I212106,2018-08-26 03:58:54,-1.0,0.1,10.36,19.67
Flower power 586F,PI040298AD5I212106,2018-08-26 04:13:54,-1.0,0.1,10.09,19.43
Flower power 586F,PI040298AD5I212106,2018-08-26 04:28:54,-1.0,0.1,10.62,19.33
Flower power 586F,PI040298AD5I212106,2018-08-26 04:43:54,-1.0,0.1,10.49,18.88
Flower power 586F,PI040298AD5I212106,2018-08-26 04:58:54,-1.0,0.1,10.36,17.38
Flower power 586F,PI040298AD5I212106,2018-08-26 05:13:54,-1.0,0.1,9.96,17.43
Flower power 586F,PI040298AD5I212106,2018-08-26 05:28:54,-1.0,0.1,10.49,18.49
Flower power 586F,PI040298AD5I212106,2018-08-26 05:43:54,-1.0,0.1,10.62,18.03
Flower power 586F,PI040298AD5I212106,2018-08-26 05:58:54,-1.0,0.15,9.96,18.69
Flower power 586F,PI040298AD5I212106,2018-08-26 06:13:46,-1.0,0.57,10.36,19.38
Flower power 586F,PI040298AD5I212106,2018-08-26 06:28:46,-1.0,1.2,10.36,19.77
Flower power 586F,PI040298AD5I212106,2018-08-26 06:43:46,-1.0,1.78,10.49,19.67
Flower power 586F,PI040298AD5I212106,2018-08-26 06:58:46,-1.0,2.23,10.49,20.98
Flower power 586F,PI040298AD5I212106,2018-08-26 07:13:46,-1.0,2.59,10.49,21.55
Flower power 586F,PI040298AD5I212106,2018-08-26 07:28:46,-1.0,3.37,10.09,22.4
Flower power 586F,PI040298AD5I212106,2018-08-26 07:43:46,-1.0,3.18,10.49,23.65
Flower power 586F,PI040298AD5I212106,2018-08-26 07:58:46,-1.0,3.26,10.49,25.11
Flower power 586F,PI040298AD5I212106,2018-08-26 08:13:46,-1.0,3.35,10.36,25.56
Flower power 586F,PI040298AD5I212106,2018-08-26 08:28:46,-1.0,3.44,10.09,25.52
Flower power 586F,PI040298AD5I212106,2018-08-26 08:43:46,-1.0,3.47,10.09,25.7
Flower power 586F,PI040298AD5I212106,2018-08-26 08:58:46,-1.0,3.49,10.09,26.82
Flower power 586F,PI040298AD5I212106,2018-08-26 09:13:46,-1.0,3.5,10.49,27.84
Flower power 586F,PI040298AD5I212106,2018-08-26 09:28:46,-1.0,3.49,10.36,28.77
