NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 6C89,PI040298AD5I206195,2018-08-17 11:01:48,-1.0,74.69,11.27,33.87
Flower power 6C89,PI040298AD5I206195,2018-08-17 11:16:48,-1.0,126.02,11.77,46.03
Flower power 6C89,PI040298AD5I206195,2018-08-17 11:31:48,-1.0,127.72,11.52,47.92
Flower power 6C89,PI040298AD5I206195,2018-08-17 11:46:48,-1.0,129.45,11.52,48.83
Flower power 6C89,PI040298AD5I206195,2018-08-17 12:01:48,-1.0,133.07,11.27,48.66
Flower power 6C89,PI040298AD5I206195,2018-08-17 12:16:48,-1.0,136.89,11.52,49.65
Flower power 6C89,PI040298AD5I206195,2018-08-17 12:31:48,-1.0,136.89,11.4,49.3
Flower power 6C89,PI040298AD5I206195,2018-08-17 12:46:48,-1.0,134.95,11.52,48.95
Flower power 6C89,PI040298AD5I206195,2018-08-17 13:01:48,-1.0,133.07,11.4,47.92
Flower power 6C89,PI040298AD5I206195,2018-08-17 13:16:48,-1.0,133.07,11.52,48.03
Flower power 6C89,PI040298AD5I206195,2018-08-17 13:31:48,-1.0,131.24,12.03,48.37
Flower power 6C89,PI040298AD5I206195,2018-08-17 13:46:48,-1.0,129.45,11.77,47.86
Flower power 6C89,PI040298AD5I206195,2018-08-17 14:01:48,-1.0,126.02,11.65,48.26
Flower power 6C89,PI040298AD5I206195,2018-08-17 14:16:48,-1.0,121.2,11.65,46.2
Flower power 6C89,PI040298AD5I206195,2018-08-17 14:31:48,-1.0,116.72,11.9,47.02
Flower power 6C89,PI040298AD5I206195,2018-08-17 14:46:48,-1.0,112.55,11.9,47.02
Flower power 6C89,PI040298AD5I206195,2018-08-17 15:01:48,-1.0,90.78,11.9,45.22
Flower power 6C89,PI040298AD5I206195,2018-08-17 15:16:48,-1.0,94.45,11.77,44.85
Flower power 6C89,PI040298AD5I206195,2018-08-17 15:31:48,-1.0,92.58,11.65,44.43
Flower power 6C89,PI040298AD5I206195,2018-08-17 15:46:48,-1.0,79.86,12.03,43.44
Flower power 6C89,PI040298AD5I206195,2018-08-17 16:01:48,-1.0,75.92,11.65,42.77
Flower power 6C89,PI040298AD5I206195,2018-08-17 16:16:48,-1.0,71.78,11.9,41.31
Flower power 6C89,PI040298AD5I206195,2018-08-17 16:31:48,-1.0,66.58,11.9,40.43
Flower power 6C89,PI040298AD5I206195,2018-08-17 16:46:48,-1.0,64.24,11.9,39.41
Flower power 6C89,PI040298AD5I206195,2018-08-17 17:01:48,-1.0,57.37,11.65,38.89
