NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 6F72,PI040298AD5I209872,2018-08-17 11:04:41,-1.0,115.86,10.5,47.08
Flower power 6F72,PI040298AD5I209872,2018-08-17 11:19:41,-1.0,118.53,10.5,46.85
Flower power 6F72,PI040298AD5I209872,2018-08-17 11:34:41,-1.0,121.33,10.5,46.63
Flower power 6F72,PI040298AD5I209872,2018-08-17 11:49:41,-1.0,122.78,10.76,46.58
Flower power 6F72,PI040298AD5I209872,2018-08-17 12:04:41,-1.0,125.77,10.5,45.76
Flower power 6F72,PI040298AD5I209872,2018-08-17 12:19:41,-1.0,125.77,10.5,45.12
Flower power 6F72,PI040298AD5I209872,2018-08-17 12:34:41,-1.0,128.91,10.76,45.76
Flower power 6F72,PI040298AD5I209872,2018-08-17 12:49:41,-1.0,128.91,10.5,45.12
Flower power 6F72,PI040298AD5I209872,2018-08-17 13:04:41,-1.0,127.32,10.89,45.44
Flower power 6F72,PI040298AD5I209872,2018-08-17 13:19:41,-1.0,125.77,10.76,44.37
Flower power 6F72,PI040298AD5I209872,2018-08-17 13:34:41,-1.0,124.26,10.63,44.96
Flower power 6F72,PI040298AD5I209872,2018-08-17 13:49:41,-1.0,121.33,10.63,46.09
Flower power 6F72,PI040298AD5I209872,2018-08-17 14:04:41,-1.0,117.18,11.02,49.12
Flower power 6F72,PI040298AD5I209872,2018-08-17 14:19:41,-1.0,114.57,10.5,49.59
Flower power 6F72,PI040298AD5I209872,2018-08-17 14:34:41,-1.0,110.85,10.76,48.2
Flower power 6F72,PI040298AD5I209872,2018-08-17 14:49:41,-1.0,105.15,10.89,49.41
Flower power 6F72,PI040298AD5I209872,2018-08-17 15:04:41,-1.0,100.0,10.63,47.02
Flower power 6F72,PI040298AD5I209872,2018-08-17 15:19:41,-1.0,94.42,10.89,46.25
Flower power 6F72,PI040298AD5I209872,2018-08-17 15:34:41,-1.0,88.64,11.02,46.36
Flower power 6F72,PI040298AD5I209872,2018-08-17 15:49:41,-1.0,74.8,10.89,43.9
Flower power 6F72,PI040298AD5I209872,2018-08-17 16:04:41,-1.0,62.19,10.89,42.16
Flower power 6F72,PI040298AD5I209872,2018-08-17 16:19:41,-1.0,74.25,10.76,41.36
Flower power 6F72,PI040298AD5I209872,2018-08-17 16:34:41,-1.0,39.54,10.89,38.08
Flower power 6F72,PI040298AD5I209872,2018-08-17 16:49:41,-1.0,66.79,10.89,39.36
Flower power 6F72,PI040298AD5I209872,2018-08-17 17:04:41,-1.0,59.21,10.89,39.12
Flower power 6F72,PI040298AD5I209872,2018-08-17 17:19:41,-1.0,26.93,10.63,33.87
Flower power 6F72,PI040298AD5I209872,2018-08-17 17:34:41,-1.0,20.15,11.02,29.13
Flower power 6F72,PI040298AD5I209872,2018-08-17 17:49:41,-1.0,38.14,10.76,32.62
Flower power 6F72,PI040298AD5I209872,2018-08-17 18:04:41,-1.0,14.07,11.02,28.91
Flower power 6F72,PI040298AD5I209872,2018-08-17 18:19:41,-1.0,11.57,10.76,28.24
Flower power 6F72,PI040298AD5I209872,2018-08-17 18:34:41,-1.0,9.8,10.5,27.31
Flower power 6F72,PI040298AD5I209872,2018-08-17 18:49:41,-1.0,5.76,10.76,26.01
Flower power 6F72,PI040298AD5I209872,2018-08-17 19:04:41,-1.0,2.6,10.37,24.79
Flower power 6F72,PI040298AD5I209872,2018-08-17 19:19:41,-1.0,0.75,10.25,23.83
Flower power 6F72,PI040298AD5I209872,2018-08-17 19:34:41,-1.0,0.1,10.89,23.24
Flower power 6F72,PI040298AD5I209872,2018-08-17 19:49:41,-1.0,0.1,10.5,22.77
Flower power 6F72,PI040298AD5I209872,2018-08-17 20:04:41,-1.0,0.1,10.89,22.21
Flower power 6F72,PI040298AD5I209872,2018-08-17 20:19:41,-1.0,0.1,10.5,21.88
Flower power 6F72,PI040298AD5I209872,2018-08-17 20:34:41,-1.0,0.1,10.5,21.74
Flower power 6F72,PI040298AD5I209872,2018-08-17 20:49:41,-1.0,0.1,10.12,21.69
Flower power 6F72,PI040298AD5I209872,2018-08-17 21:04:41,-1.0,0.1,10.63,21.88
Flower power 6F72,PI040298AD5I209872,2018-08-17 21:19:41,-1.0,0.1,10.25,21.88
Flower power 6F72,PI040298AD5I209872,2018-08-17 21:34:41,-1.0,0.1,10.76,21.93
Flower power 6F72,PI040298AD5I209872,2018-08-17 21:49:41,-1.0,0.1,10.37,21.6
Flower power 6F72,PI040298AD5I209872,2018-08-17 22:04:41,-1.0,0.1,10.5,21.6
Flower power 6F72,PI040298AD5I209872,2018-08-17 22:19:41,-1.0,0.1,10.37,21.5
Flower power 6F72,PI040298AD5I209872,2018-08-17 22:34:41,-1.0,0.1,10.25,21.22
Flower power 6F72,PI040298AD5I209872,2018-08-17 22:49:41,-1.0,0.1,10.5,20.88
Flower power 6F72,PI040298AD5I209872,2018-08-17 23:04:41,-1.0,0.1,10.5,21.07
Flower power 6F72,PI040298AD5I209872,2018-08-17 23:19:41,-1.0,0.1,10.25,20.59
Flower power 6F72,PI040298AD5I209872,2018-08-17 23:34:41,-1.0,0.1,10.25,20.55
Flower power 6F72,PI040298AD5I209872,2018-08-17 23:49:41,-1.0,0.1,10.5,20.69
Flower power 6F72,PI040298AD5I209872,2018-08-18 00:04:41,-1.0,0.1,10.25,20.69
Flower power 6F72,PI040298AD5I209872,2018-08-18 00:19:41,-1.0,0.1,10.12,20.59
Flower power 6F72,PI040298AD5I209872,2018-08-18 00:34:41,-1.0,0.1,10.25,20.11
Flower power 6F72,PI040298AD5I209872,2018-08-18 00:49:41,-1.0,0.1,10.37,19.72
Flower power 6F72,PI040298AD5I209872,2018-08-18 01:04:41,-1.0,0.1,9.99,19.62
Flower power 6F72,PI040298AD5I209872,2018-08-18 01:19:41,-1.0,0.1,10.5,20.26
Flower power 6F72,PI040298AD5I209872,2018-08-18 01:34:41,-1.0,0.1,10.37,20.11
Flower power 6F72,PI040298AD5I209872,2018-08-18 01:49:41,-1.0,0.1,10.63,20.26
Flower power 6F72,PI040298AD5I209872,2018-08-18 02:04:41,-1.0,0.1,9.99,20.59
Flower power 6F72,PI040298AD5I209872,2018-08-18 02:19:41,-1.0,0.1,10.37,20.55
Flower power 6F72,PI040298AD5I209872,2018-08-18 02:34:41,-1.0,0.1,10.12,19.62
Flower power 6F72,PI040298AD5I209872,2018-08-18 02:49:41,-1.0,0.1,9.99,19.82
Flower power 6F72,PI040298AD5I209872,2018-08-18 03:04:41,-1.0,0.1,10.63,19.96
Flower power 6F72,PI040298AD5I209872,2018-08-18 03:19:41,-1.0,0.1,10.37,20.3
Flower power 6F72,PI040298AD5I209872,2018-08-18 03:34:41,-1.0,0.1,10.37,20.06
Flower power 6F72,PI040298AD5I209872,2018-08-18 03:49:41,-1.0,0.1,10.5,20.3
Flower power 6F72,PI040298AD5I209872,2018-08-18 04:04:41,-1.0,0.1,10.25,19.72
Flower power 6F72,PI040298AD5I209872,2018-08-18 04:19:41,-1.0,0.1,10.12,20.21
Flower power 6F72,PI040298AD5I209872,2018-08-18 04:34:41,-1.0,0.1,10.5,19.38
Flower power 6F72,PI040298AD5I209872,2018-08-18 04:49:41,-1.0,0.1,10.12,18.44
Flower power 6F72,PI040298AD5I209872,2018-08-18 05:04:41,-1.0,0.1,10.63,18.29
Flower power 6F72,PI040298AD5I209872,2018-08-18 05:19:41,-1.0,0.1,10.12,19.18
Flower power 6F72,PI040298AD5I209872,2018-08-18 05:34:41,-1.0,0.1,10.37,18.19
Flower power 6F72,PI040298AD5I209872,2018-08-18 05:49:41,-1.0,0.31,10.12,17.83
Flower power 6F72,PI040298AD5I209872,2018-08-18 06:04:41,-1.0,1.55,10.37,18.13
Flower power 6F72,PI040298AD5I209872,2018-08-18 06:19:41,-1.0,3.69,10.25,19.33
Flower power 6F72,PI040298AD5I209872,2018-08-18 06:34:41,-1.0,6.01,10.63,20.06
Flower power 6F72,PI040298AD5I209872,2018-08-18 06:49:41,-1.0,8.14,10.12,21.5
Flower power 6F72,PI040298AD5I209872,2018-08-18 07:04:41,-1.0,9.89,10.63,22.68
Flower power 6F72,PI040298AD5I209872,2018-08-18 07:19:41,-1.0,11.44,9.99,23.79
Flower power 6F72,PI040298AD5I209872,2018-08-18 07:34:41,-1.0,12.26,10.63,25.43
Flower power 6F72,PI040298AD5I209872,2018-08-18 07:49:41,-1.0,13.21,10.37,26.82
Flower power 6F72,PI040298AD5I209872,2018-08-18 08:04:41,-1.0,13.8,9.99,27.44
Flower power 6F72,PI040298AD5I209872,2018-08-18 08:19:41,-1.0,14.54,10.25,28.38
Flower power 6F72,PI040298AD5I209872,2018-08-18 08:34:41,-1.0,15.35,10.12,29.3
Flower power 6F72,PI040298AD5I209872,2018-08-18 08:49:41,-1.0,16.14,10.5,29.7
Flower power 6F72,PI040298AD5I209872,2018-08-18 09:04:41,-1.0,17.1,10.5,30.67
Flower power 6F72,PI040298AD5I209872,2018-08-18 09:19:41,-1.0,22.38,10.63,31.07
Flower power 6F72,PI040298AD5I209872,2018-08-18 09:34:41,-1.0,54.62,10.37,36.27
Flower power 6F72,PI040298AD5I209872,2018-08-18 09:49:41,-1.0,87.87,10.37,46.2
Flower power 6F72,PI040298AD5I209872,2018-08-18 10:04:41,-1.0,94.42,10.5,48.89
Flower power 6F72,PI040298AD5I209872,2018-08-18 10:19:41,-1.0,100.0,10.63,49.24
Flower power 6F72,PI040298AD5I209872,2018-08-18 10:34:41,-1.0,105.15,10.63,49.94
Flower power 6F72,PI040298AD5I209872,2018-08-18 10:49:41,-1.0,110.85,10.37,49.47
Flower power 6F72,PI040298AD5I209872,2018-08-18 11:04:41,-1.0,115.86,10.5,49.18
Flower power 6F72,PI040298AD5I209872,2018-08-18 11:19:41,-1.0,118.53,10.63,49.76
Flower power 6F72,PI040298AD5I209872,2018-08-18 11:34:41,-1.0,121.33,10.5,50.06
Flower power 6F72,PI040298AD5I209872,2018-08-18 11:49:41,-1.0,122.78,10.89,49.24
Flower power 6F72,PI040298AD5I209872,2018-08-18 12:04:41,-1.0,124.26,10.5,48.89
Flower power 6F72,PI040298AD5I209872,2018-08-18 12:19:41,-1.0,125.77,10.89,50.77
Flower power 6F72,PI040298AD5I209872,2018-08-18 12:34:41,-1.0,127.32,10.5,51.02
Flower power 6F72,PI040298AD5I209872,2018-08-18 12:49:41,-1.0,127.32,10.76,51.02
Flower power 6F72,PI040298AD5I209872,2018-08-18 13:04:41,-1.0,125.77,10.5,50.53
Flower power 6F72,PI040298AD5I209872,2018-08-18 13:19:41,-1.0,124.26,10.5,49.18
Flower power 6F72,PI040298AD5I209872,2018-08-18 13:34:41,-1.0,122.78,10.5,47.13
Flower power 6F72,PI040298AD5I209872,2018-08-18 13:49:41,-1.0,119.92,11.02,46.69
Flower power 6F72,PI040298AD5I209872,2018-08-18 14:04:41,-1.0,117.18,10.63,46.74
Flower power 6F72,PI040298AD5I209872,2018-08-18 14:19:41,-1.0,112.06,11.02,46.8
Flower power 6F72,PI040298AD5I209872,2018-08-18 14:34:41,-1.0,108.5,10.76,47.3
Flower power 6F72,PI040298AD5I209872,2018-08-18 14:49:41,-1.0,104.08,10.89,47.13
Flower power 6F72,PI040298AD5I209872,2018-08-18 15:04:41,-1.0,98.07,10.63,46.74
Flower power 6F72,PI040298AD5I209872,2018-08-18 15:19:41,-1.0,92.7,10.76,47.3
Flower power 6F72,PI040298AD5I209872,2018-08-18 15:34:41,-1.0,86.37,10.89,44.85
Flower power 6F72,PI040298AD5I209872,2018-08-18 15:49:41,-1.0,80.83,10.76,45.17
Flower power 6F72,PI040298AD5I209872,2018-08-18 16:04:41,-1.0,75.94,10.89,44.11
Flower power 6F72,PI040298AD5I209872,2018-08-18 16:19:41,-1.0,71.08,10.89,43.85
Flower power 6F72,PI040298AD5I209872,2018-08-18 16:34:41,-1.0,44.85,10.89,41.81
Flower power 6F72,PI040298AD5I209872,2018-08-18 16:49:41,-1.0,60.67,10.63,41.46
Flower power 6F72,PI040298AD5I209872,2018-08-18 17:04:41,-1.0,45.06,10.89,40.43
Flower power 6F72,PI040298AD5I209872,2018-08-18 17:19:41,-1.0,46.79,11.02,38.93
Flower power 6F72,PI040298AD5I209872,2018-08-18 17:34:41,-1.0,37.25,11.02,38.65
Flower power 6F72,PI040298AD5I209872,2018-08-18 17:49:41,-1.0,32.9,10.63,37.24
Flower power 6F72,PI040298AD5I209872,2018-08-18 18:04:41,-1.0,13.69,10.76,32.67
Flower power 6F72,PI040298AD5I209872,2018-08-18 18:19:41,-1.0,9.83,11.02,31.03
Flower power 6F72,PI040298AD5I209872,2018-08-18 18:34:41,-1.0,8.23,10.76,29.79
Flower power 6F72,PI040298AD5I209872,2018-08-18 18:49:41,-1.0,4.92,10.63,28.42
Flower power 6F72,PI040298AD5I209872,2018-08-18 19:04:41,-1.0,2.45,10.76,27.4
Flower power 6F72,PI040298AD5I209872,2018-08-18 19:19:41,-1.0,0.73,10.63,26.51
Flower power 6F72,PI040298AD5I209872,2018-08-18 19:34:41,-1.0,0.1,10.5,25.88
Flower power 6F72,PI040298AD5I209872,2018-08-18 19:49:41,-1.0,0.1,10.63,25.52
Flower power 6F72,PI040298AD5I209872,2018-08-18 20:04:41,-1.0,0.1,10.25,25.11
Flower power 6F72,PI040298AD5I209872,2018-08-18 20:19:41,-1.0,0.1,10.76,24.89
Flower power 6F72,PI040298AD5I209872,2018-08-18 20:34:41,-1.0,0.1,10.25,24.43
Flower power 6F72,PI040298AD5I209872,2018-08-18 20:49:41,-1.0,0.1,10.37,24.57
Flower power 6F72,PI040298AD5I209872,2018-08-18 21:04:41,-1.0,0.1,10.25,24.52
Flower power 6F72,PI040298AD5I209872,2018-08-18 21:19:41,-1.0,0.1,10.12,24.29
Flower power 6F72,PI040298AD5I209872,2018-08-18 21:34:41,-1.0,0.1,10.25,24.48
Flower power 6F72,PI040298AD5I209872,2018-08-18 21:49:41,-1.0,0.1,10.12,24.38
Flower power 6F72,PI040298AD5I209872,2018-08-18 22:04:41,-1.0,0.1,10.5,24.16
Flower power 6F72,PI040298AD5I209872,2018-08-18 22:19:41,-1.0,0.1,10.76,23.97
Flower power 6F72,PI040298AD5I209872,2018-08-18 22:34:41,-1.0,0.1,10.25,23.93
