NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 8ED3,PI040298AD5I213087,2018-08-17 11:08:22,-1.0,106.12,10.77,46.85
Flower power 8ED3,PI040298AD5I213087,2018-08-17 11:23:22,-1.0,104.15,10.52,46.09
Flower power 8ED3,PI040298AD5I213087,2018-08-17 11:38:22,-1.0,107.13,10.64,46.91
Flower power 8ED3,PI040298AD5I213087,2018-08-17 11:53:22,-1.0,122.27,10.77,48.14
Flower power 8ED3,PI040298AD5I213087,2018-08-17 12:08:22,-1.0,112.5,10.89,47.36
Flower power 8ED3,PI040298AD5I213087,2018-08-17 12:23:22,-1.0,69.91,10.89,48.26
Flower power 8ED3,PI040298AD5I213087,2018-08-17 12:38:22,-1.0,110.29,11.02,47.97
Flower power 8ED3,PI040298AD5I213087,2018-08-17 12:53:22,-1.0,104.15,10.77,49.0
Flower power 8ED3,PI040298AD5I213087,2018-08-17 13:08:22,-1.0,123.6,10.77,50.24
Flower power 8ED3,PI040298AD5I213087,2018-08-17 13:23:22,-1.0,119.67,11.02,50.18
Flower power 8ED3,PI040298AD5I213087,2018-08-17 13:38:22,-1.0,115.98,11.02,49.94
Flower power 8ED3,PI040298AD5I213087,2018-08-17 13:53:22,-1.0,14.55,11.02,40.92
Flower power 8ED3,PI040298AD5I213087,2018-08-17 14:08:22,-1.0,17.92,11.02,34.1
Flower power 8ED3,PI040298AD5I213087,2018-08-17 14:23:22,-1.0,12.62,10.89,32.58
Flower power 8ED3,PI040298AD5I213087,2018-08-17 14:38:22,-1.0,10.61,10.89,31.87
Flower power 8ED3,PI040298AD5I213087,2018-08-17 14:53:22,-1.0,10.16,10.89,32.49
Flower power 8ED3,PI040298AD5I213087,2018-08-17 15:08:22,-1.0,9.6,11.02,32.09
Flower power 8ED3,PI040298AD5I213087,2018-08-17 15:23:22,-1.0,9.88,10.89,31.69
Flower power 8ED3,PI040298AD5I213087,2018-08-17 15:38:22,-1.0,12.95,10.89,32.09
Flower power 8ED3,PI040298AD5I213087,2018-08-17 15:53:22,-1.0,9.22,10.64,31.82
Flower power 8ED3,PI040298AD5I213087,2018-08-17 16:08:22,-1.0,9.77,10.89,31.6
Flower power 8ED3,PI040298AD5I213087,2018-08-17 16:23:22,-1.0,8.25,10.89,30.23
Flower power 8ED3,PI040298AD5I213087,2018-08-17 16:38:22,-1.0,8.44,10.64,29.92
Flower power 8ED3,PI040298AD5I213087,2018-08-17 16:53:22,-1.0,9.42,11.02,29.83
Flower power 8ED3,PI040298AD5I213087,2018-08-17 17:08:22,-1.0,9.21,10.77,29.61
Flower power 8ED3,PI040298AD5I213087,2018-08-17 17:23:22,-1.0,6.64,10.77,28.51
