NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power C488,PI040298AD5I210659,2018-08-17 10:59:48,-1.0,122.17,11.8,40.92
Flower power C488,PI040298AD5I210659,2018-08-17 11:14:48,-1.0,118.08,11.55,41.02
Flower power C488,PI040298AD5I210659,2018-08-17 11:29:48,-1.0,128.06,11.93,42.16
Flower power C488,PI040298AD5I210659,2018-08-17 11:44:48,-1.0,129.63,12.18,43.08
Flower power C488,PI040298AD5I210659,2018-08-17 11:59:48,-1.0,126.54,11.8,42.67
Flower power C488,PI040298AD5I210659,2018-08-17 12:14:48,-1.0,114.25,12.06,43.33
Flower power C488,PI040298AD5I210659,2018-08-17 12:29:48,-1.0,134.54,11.93,44.43
Flower power C488,PI040298AD5I210659,2018-08-17 12:44:48,-1.0,134.54,11.68,46.14
Flower power C488,PI040298AD5I210659,2018-08-17 12:59:48,-1.0,134.54,12.31,45.06
Flower power C488,PI040298AD5I210659,2018-08-17 13:14:48,-1.0,132.86,12.06,46.2
Flower power C488,PI040298AD5I210659,2018-08-17 13:29:48,-1.0,131.22,12.18,46.58
Flower power C488,PI040298AD5I210659,2018-08-17 13:44:48,-1.0,129.63,11.93,48.89
Flower power C488,PI040298AD5I210659,2018-08-17 13:59:48,-1.0,126.54,11.93,50.24
Flower power C488,PI040298AD5I210659,2018-08-17 14:14:48,-1.0,122.17,11.93,52.05
Flower power C488,PI040298AD5I210659,2018-08-17 14:29:48,-1.0,116.77,12.31,51.02
Flower power C488,PI040298AD5I210659,2018-08-17 14:44:48,-1.0,111.83,12.18,52.8
Flower power C488,PI040298AD5I210659,2018-08-17 14:59:48,-1.0,105.12,12.31,53.37
Flower power C488,PI040298AD5I210659,2018-08-17 15:14:48,-1.0,98.23,11.93,51.32
Flower power C488,PI040298AD5I210659,2018-08-17 15:29:48,-1.0,90.56,12.31,50.53
Flower power C488,PI040298AD5I210659,2018-08-17 15:44:48,-1.0,84.66,12.31,48.66
Flower power C488,PI040298AD5I210659,2018-08-17 15:59:48,-1.0,77.67,12.18,47.58
Flower power C488,PI040298AD5I210659,2018-08-17 16:14:48,-1.0,73.78,12.31,45.55
Flower power C488,PI040298AD5I210659,2018-08-17 16:29:48,-1.0,68.84,12.31,44.59
Flower power C488,PI040298AD5I210659,2018-08-17 16:44:48,-1.0,65.33,12.31,43.23
Flower power C488,PI040298AD5I210659,2018-08-17 16:59:48,-1.0,58.91,12.18,41.36
