NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 07AA,PI040298AD5I212829,2018-08-26 09:17:02,-1.0,102.74,12.1,49.18
Flower power 07AA,PI040298AD5I212829,2018-08-26 09:32:02,-1.0,115.99,11.84,50.59
Flower power 07AA,PI040298AD5I212829,2018-08-26 09:47:02,-1.0,128.33,12.23,51.32
Flower power 07AA,PI040298AD5I212829,2018-08-26 10:02:02,-1.0,136.35,12.23,50.95
Flower power 07AA,PI040298AD5I212829,2018-08-26 10:17:02,-1.0,139.84,12.1,51.38
Flower power 07AA,PI040298AD5I212829,2018-08-26 10:32:02,-1.0,149.36,12.23,52.93
Flower power 07AA,PI040298AD5I212829,2018-08-26 10:47:02,-1.0,153.54,12.36,53.75
Flower power 07AA,PI040298AD5I212829,2018-08-26 11:02:02,-1.0,155.71,12.49,53.88
Flower power 07AA,PI040298AD5I212829,2018-08-26 11:17:02,-1.0,133.03,12.88,54.78
Flower power 07AA,PI040298AD5I212829,2018-08-26 11:32:02,-1.0,157.94,12.62,55.0
Flower power 07AA,PI040298AD5I212829,2018-08-26 11:47:02,-1.0,165.03,12.88,54.59
Flower power 07AA,PI040298AD5I212829,2018-08-26 12:02:02,-1.0,167.53,12.88,54.65
Flower power 07AA,PI040298AD5I212829,2018-08-26 12:17:02,-1.0,167.53,13.14,55.0
Flower power 07AA,PI040298AD5I212829,2018-08-26 12:32:02,-1.0,167.53,12.75,54.65
Flower power 07AA,PI040298AD5I212829,2018-08-26 12:47:02,-1.0,165.03,13.01,54.98
Flower power 07AA,PI040298AD5I212829,2018-08-26 13:02:02,-1.0,162.6,12.88,54.92
Flower power 07AA,PI040298AD5I212829,2018-08-26 13:17:02,-1.0,157.94,13.01,53.75
Flower power 07AA,PI040298AD5I212829,2018-08-26 13:32:02,-1.0,151.42,13.4,53.18
Flower power 07AA,PI040298AD5I212829,2018-08-26 13:47:02,-1.0,147.36,13.4,53.69
Flower power 07AA,PI040298AD5I212829,2018-08-26 14:02:02,-1.0,139.84,13.27,50.59
Flower power 07AA,PI040298AD5I212829,2018-08-26 14:17:02,-1.0,134.67,13.14,50.47
Flower power 07AA,PI040298AD5I212829,2018-08-26 14:32:02,-1.0,129.86,13.4,50.12
Flower power 07AA,PI040298AD5I212829,2018-08-26 14:47:02,-1.0,122.54,13.14,49.7
Flower power 07AA,PI040298AD5I212829,2018-08-26 15:02:02,-1.0,114.76,13.4,51.26
Flower power 07AA,PI040298AD5I212829,2018-08-26 15:17:02,-1.0,106.81,13.27,48.72
Flower power 07AA,PI040298AD5I212829,2018-08-26 15:32:02,-1.0,95.42,13.53,47.69
Flower power 07AA,PI040298AD5I212829,2018-08-26 15:47:02,-1.0,84.81,13.27,47.86
Flower power 07AA,PI040298AD5I212829,2018-08-26 16:02:02,-1.0,75.72,13.53,46.74
Flower power 07AA,PI040298AD5I212829,2018-08-26 16:17:02,-1.0,68.35,13.27,44.85
Flower power 07AA,PI040298AD5I212829,2018-08-26 16:32:02,-1.0,63.77,13.27,44.85
Flower power 07AA,PI040298AD5I212829,2018-08-26 16:47:02,-1.0,56.21,13.65,43.23
Flower power 07AA,PI040298AD5I212829,2018-08-26 17:02:02,-1.0,47.88,13.53,41.31
Flower power 07AA,PI040298AD5I212829,2018-08-26 17:17:02,-1.0,9.61,13.65,30.81
Flower power 07AA,PI040298AD5I212829,2018-08-26 17:32:02,-1.0,8.37,13.65,29.26
Flower power 07AA,PI040298AD5I212829,2018-08-26 17:47:02,-1.0,7.51,13.65,28.38
Flower power 07AA,PI040298AD5I212829,2018-08-26 18:02:02,-1.0,6.5,13.4,27.84
Flower power 07AA,PI040298AD5I212829,2018-08-26 18:17:02,-1.0,5.41,13.14,27.09
Flower power 07AA,PI040298AD5I212829,2018-08-26 18:32:02,-1.0,4.14,13.27,26.42
Flower power 07AA,PI040298AD5I212829,2018-08-26 18:47:02,-1.0,2.66,13.14,25.43
Flower power 07AA,PI040298AD5I212829,2018-08-26 19:02:02,-1.0,1.13,13.4,24.7
Flower power 07AA,PI040298AD5I212829,2018-08-26 19:17:02,-1.0,0.19,13.14,23.97
Flower power 07AA,PI040298AD5I212829,2018-08-26 19:32:02,-1.0,0.1,13.53,23.33
Flower power 07AA,PI040298AD5I212829,2018-08-26 19:47:02,-1.0,0.1,13.27,23.0
Flower power 07AA,PI040298AD5I212829,2018-08-26 20:02:02,-1.0,0.1,13.4,23.0
Flower power 07AA,PI040298AD5I212829,2018-08-26 20:17:02,-1.0,0.1,13.53,22.86
Flower power 07AA,PI040298AD5I212829,2018-08-26 20:32:02,-1.0,0.1,13.01,22.96
Flower power 07AA,PI040298AD5I212829,2018-08-26 20:47:02,-1.0,0.1,13.53,22.82
Flower power 07AA,PI040298AD5I212829,2018-08-26 21:02:02,-1.0,0.1,13.14,22.91
Flower power 07AA,PI040298AD5I212829,2018-08-26 21:17:02,-1.0,0.1,13.01,22.82
Flower power 07AA,PI040298AD5I212829,2018-08-26 21:32:02,-1.0,0.1,13.01,23.14
Flower power 07AA,PI040298AD5I212829,2018-08-26 21:47:02,-1.0,0.1,13.14,22.77
Flower power 07AA,PI040298AD5I212829,2018-08-26 22:02:02,-1.0,0.1,12.88,21.88
Flower power 07AA,PI040298AD5I212829,2018-08-26 22:17:02,-1.0,0.1,13.27,21.22
Flower power 07AA,PI040298AD5I212829,2018-08-26 22:32:02,-1.0,0.1,13.27,20.98
Flower power 07AA,PI040298AD5I212829,2018-08-26 22:47:02,-1.0,0.1,13.27,20.93
Flower power 07AA,PI040298AD5I212829,2018-08-26 23:02:02,-1.0,0.1,13.01,20.79
Flower power 07AA,PI040298AD5I212829,2018-08-26 23:17:02,-1.0,0.1,13.01,20.59
Flower power 07AA,PI040298AD5I212829,2018-08-26 23:32:02,-1.0,0.1,13.14,20.35
Flower power 07AA,PI040298AD5I212829,2018-08-26 23:47:02,-1.0,0.1,13.4,20.16
Flower power 07AA,PI040298AD5I212829,2018-08-27 00:02:02,-1.0,0.1,13.01,19.77
Flower power 07AA,PI040298AD5I212829,2018-08-27 00:17:02,-1.0,0.1,13.4,19.43
Flower power 07AA,PI040298AD5I212829,2018-08-27 00:32:02,-1.0,0.1,13.14,19.43
Flower power 07AA,PI040298AD5I212829,2018-08-27 00:47:02,-1.0,0.1,12.88,19.82
Flower power 07AA,PI040298AD5I212829,2018-08-27 01:02:02,-1.0,0.1,13.14,19.72
Flower power 07AA,PI040298AD5I212829,2018-08-27 01:17:02,-1.0,0.1,13.4,19.67
Flower power 07AA,PI040298AD5I212829,2018-08-27 01:32:02,-1.0,0.1,13.01,19.57
Flower power 07AA,PI040298AD5I212829,2018-08-27 01:47:02,-1.0,0.1,12.88,19.87
Flower power 07AA,PI040298AD5I212829,2018-08-27 02:02:02,-1.0,0.1,13.01,20.11
Flower power 07AA,PI040298AD5I212829,2018-08-27 02:17:02,-1.0,0.1,13.14,20.06
Flower power 07AA,PI040298AD5I212829,2018-08-27 02:32:02,-1.0,0.1,13.01,20.4
Flower power 07AA,PI040298AD5I212829,2018-08-27 02:47:02,-1.0,0.1,12.88,20.4
Flower power 07AA,PI040298AD5I212829,2018-08-27 03:02:02,-1.0,0.1,12.88,20.45
Flower power 07AA,PI040298AD5I212829,2018-08-27 03:17:02,-1.0,0.1,13.14,20.3
Flower power 07AA,PI040298AD5I212829,2018-08-27 03:32:02,-1.0,0.1,13.14,20.11
Flower power 07AA,PI040298AD5I212829,2018-08-27 03:47:02,-1.0,0.1,12.62,20.21
Flower power 07AA,PI040298AD5I212829,2018-08-27 04:02:02,-1.0,0.1,13.14,20.26
Flower power 07AA,PI040298AD5I212829,2018-08-27 04:17:02,-1.0,0.1,13.01,20.21
Flower power 07AA,PI040298AD5I212829,2018-08-27 04:32:02,-1.0,0.1,13.01,20.4
Flower power 07AA,PI040298AD5I212829,2018-08-27 04:47:02,-1.0,0.1,12.88,20.4
Flower power 07AA,PI040298AD5I212829,2018-08-27 05:02:02,-1.0,0.1,13.14,20.45
Flower power 07AA,PI040298AD5I212829,2018-08-27 05:17:02,-1.0,0.1,12.88,20.69
Flower power 07AA,PI040298AD5I212829,2018-08-27 05:32:02,-1.0,0.1,13.27,20.98
Flower power 07AA,PI040298AD5I212829,2018-08-27 05:47:02,-1.0,0.1,13.01,20.59
Flower power 07AA,PI040298AD5I212829,2018-08-27 06:02:02,-1.0,0.26,12.88,20.45
Flower power 07AA,PI040298AD5I212829,2018-08-27 06:17:02,-1.0,0.49,13.27,21.17
