NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 0808,PI040298AD5I212562,2018-08-25 18:05:11,-1.0,8.85,8.0,29.75
Flower power 0808,PI040298AD5I212562,2018-08-25 18:20:11,-1.0,9.32,8.12,30.1
Flower power 0808,PI040298AD5I212562,2018-08-25 18:35:11,-1.0,5.24,8.12,27.58
Flower power 0808,PI040298AD5I212562,2018-08-25 18:50:11,-1.0,3.08,8.37,26.42
Flower power 0808,PI040298AD5I212562,2018-08-25 19:05:11,-1.0,1.18,8.12,25.61
Flower power 0808,PI040298AD5I212562,2018-08-25 19:20:11,-1.0,0.2,8.25,24.7
Flower power 0808,PI040298AD5I212562,2018-08-25 19:35:11,-1.0,0.1,8.37,24.43
Flower power 0808,PI040298AD5I212562,2018-08-25 19:50:11,-1.0,0.1,8.37,24.48
Flower power 0808,PI040298AD5I212562,2018-08-25 20:05:11,-1.0,0.1,8.0,24.11
Flower power 0808,PI040298AD5I212562,2018-08-25 20:20:11,-1.0,0.1,8.5,24.06
Flower power 0808,PI040298AD5I212562,2018-08-25 20:35:11,-1.0,0.1,8.5,24.06
Flower power 0808,PI040298AD5I212562,2018-08-25 20:50:11,-1.0,0.1,8.37,23.56
Flower power 0808,PI040298AD5I212562,2018-08-25 21:05:11,-1.0,0.1,8.5,23.6
Flower power 0808,PI040298AD5I212562,2018-08-25 21:20:11,-1.0,0.1,8.5,23.6
Flower power 0808,PI040298AD5I212562,2018-08-25 21:35:11,-1.0,0.1,8.62,23.33
Flower power 0808,PI040298AD5I212562,2018-08-25 21:50:11,-1.0,0.1,8.25,23.19
Flower power 0808,PI040298AD5I212562,2018-08-25 22:05:11,-1.0,0.1,8.5,23.14
Flower power 0808,PI040298AD5I212562,2018-08-25 22:20:11,-1.0,0.1,8.12,22.77
Flower power 0808,PI040298AD5I212562,2018-08-25 22:35:11,-1.0,0.1,8.37,22.77
Flower power 0808,PI040298AD5I212562,2018-08-25 22:50:11,-1.0,0.1,8.12,22.91
Flower power 0808,PI040298AD5I212562,2018-08-25 23:05:11,-1.0,0.1,8.12,22.49
Flower power 0808,PI040298AD5I212562,2018-08-25 23:20:11,-1.0,0.1,8.5,22.12
