NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 1E8C,PI040298AD5I212674,2018-08-21 17:41:59,-1.0,37.33,9.37,38.55
Flower power 1E8C,PI040298AD5I212674,2018-08-21 17:56:59,-1.0,31.25,9.5,35.54
Flower power 1E8C,PI040298AD5I212674,2018-08-21 18:11:59,-1.0,21.5,9.75,33.65
Flower power 1E8C,PI040298AD5I212674,2018-08-21 18:26:59,-1.0,9.74,9.62,30.1
Flower power 1E8C,PI040298AD5I212674,2018-08-21 18:41:59,-1.0,6.63,9.62,28.95
Flower power 1E8C,PI040298AD5I212674,2018-08-21 18:56:59,-1.0,3.54,9.75,27.67
Flower power 1E8C,PI040298AD5I212674,2018-08-21 19:11:59,-1.0,1.2,10.0,25.97
Flower power 1E8C,PI040298AD5I212674,2018-08-21 19:26:59,-1.0,0.18,9.5,24.98
Flower power 1E8C,PI040298AD5I212674,2018-08-21 19:41:59,-1.0,0.1,9.87,24.11
Flower power 1E8C,PI040298AD5I212674,2018-08-21 19:56:59,-1.0,0.1,9.75,24.02
Flower power 1E8C,PI040298AD5I212674,2018-08-21 20:11:59,-1.0,0.1,9.75,23.51
Flower power 1E8C,PI040298AD5I212674,2018-08-21 20:26:59,-1.0,0.1,10.13,23.14
Flower power 1E8C,PI040298AD5I212674,2018-08-21 20:41:59,-1.0,0.1,10.0,22.44
Flower power 1E8C,PI040298AD5I212674,2018-08-21 20:56:59,-1.0,0.1,9.75,22.3
Flower power 1E8C,PI040298AD5I212674,2018-08-21 21:11:59,-1.0,0.1,9.75,22.49
Flower power 1E8C,PI040298AD5I212674,2018-08-21 21:26:59,-1.0,0.1,9.62,22.54
Flower power 1E8C,PI040298AD5I212674,2018-08-21 21:41:59,-1.0,0.1,10.0,22.54
Flower power 1E8C,PI040298AD5I212674,2018-08-21 21:56:59,-1.0,0.1,9.87,22.72
Flower power 1E8C,PI040298AD5I212674,2018-08-21 22:11:59,-1.0,0.1,10.0,22.54
Flower power 1E8C,PI040298AD5I212674,2018-08-21 22:26:59,-1.0,0.1,10.25,22.3
Flower power 1E8C,PI040298AD5I212674,2018-08-21 22:41:59,-1.0,0.1,10.25,22.44
Flower power 1E8C,PI040298AD5I212674,2018-08-21 22:56:59,-1.0,0.1,10.0,21.93
Flower power 1E8C,PI040298AD5I212674,2018-08-21 23:11:59,-1.0,0.1,10.25,21.55
Flower power 1E8C,PI040298AD5I212674,2018-08-21 23:26:59,-1.0,0.1,10.13,21.41
Flower power 1E8C,PI040298AD5I212674,2018-08-21 23:41:59,-1.0,0.1,10.13,21.03
Flower power 1E8C,PI040298AD5I212674,2018-08-21 23:56:59,-1.0,0.1,10.13,20.01
Flower power 1E8C,PI040298AD5I212674,2018-08-22 00:11:59,-1.0,0.1,9.75,20.06
Flower power 1E8C,PI040298AD5I212674,2018-08-22 00:26:59,-1.0,0.1,9.75,21.03
Flower power 1E8C,PI040298AD5I212674,2018-08-22 00:41:59,-1.0,0.1,10.25,20.83
Flower power 1E8C,PI040298AD5I212674,2018-08-22 00:56:59,-1.0,0.1,9.87,20.26
Flower power 1E8C,PI040298AD5I212674,2018-08-22 01:11:59,-1.0,0.1,10.13,18.08
Flower power 1E8C,PI040298AD5I212674,2018-08-22 01:26:59,-1.0,0.1,10.13,17.53
Flower power 1E8C,PI040298AD5I212674,2018-08-22 01:41:59,-1.0,0.1,9.87,17.02
Flower power 1E8C,PI040298AD5I212674,2018-08-22 01:56:59,-1.0,0.1,10.25,16.76
Flower power 1E8C,PI040298AD5I212674,2018-08-22 02:11:59,-1.0,0.1,10.13,16.6
Flower power 1E8C,PI040298AD5I212674,2018-08-22 02:26:59,-1.0,0.1,10.25,16.19
Flower power 1E8C,PI040298AD5I212674,2018-08-22 02:41:59,-1.0,0.1,10.38,16.03
Flower power 1E8C,PI040298AD5I212674,2018-08-22 02:56:59,-1.0,0.1,10.0,16.03
Flower power 1E8C,PI040298AD5I212674,2018-08-22 03:11:59,-1.0,0.1,9.87,15.82
Flower power 1E8C,PI040298AD5I212674,2018-08-22 03:26:59,-1.0,0.1,10.0,15.66
Flower power 1E8C,PI040298AD5I212674,2018-08-22 03:41:59,-1.0,0.1,10.38,15.5
Flower power 1E8C,PI040298AD5I212674,2018-08-22 03:56:59,-1.0,0.1,10.0,15.35
Flower power 1E8C,PI040298AD5I212674,2018-08-22 04:11:59,-1.0,0.1,10.38,15.13
Flower power 1E8C,PI040298AD5I212674,2018-08-22 04:26:59,-1.0,0.1,10.13,15.13
Flower power 1E8C,PI040298AD5I212674,2018-08-22 04:41:59,-1.0,0.1,10.13,15.08
Flower power 1E8C,PI040298AD5I212674,2018-08-22 04:56:59,-1.0,0.1,10.25,15.29
Flower power 1E8C,PI040298AD5I212674,2018-08-22 05:11:59,-1.0,0.1,10.0,15.66
Flower power 1E8C,PI040298AD5I212674,2018-08-22 05:26:59,-1.0,0.1,10.13,15.82
Flower power 1E8C,PI040298AD5I212674,2018-08-22 05:41:59,-1.0,0.1,9.75,15.29
Flower power 1E8C,PI040298AD5I212674,2018-08-22 05:56:59,-1.0,0.58,10.25,15.5
Flower power 1E8C,PI040298AD5I212674,2018-08-22 06:11:59,-1.0,2.26,10.13,16.55
Flower power 1E8C,PI040298AD5I212674,2018-08-22 06:26:59,-1.0,5.15,10.0,18.03
Flower power 1E8C,PI040298AD5I212674,2018-08-22 06:41:59,-1.0,8.09,10.38,19.53
Flower power 1E8C,PI040298AD5I212674,2018-08-22 06:56:59,-1.0,10.97,10.0,21.12
Flower power 1E8C,PI040298AD5I212674,2018-08-22 07:11:59,-1.0,15.1,10.5,25.92
Flower power 1E8C,PI040298AD5I212674,2018-08-22 07:26:59,-1.0,25.95,10.25,29.17
Flower power 1E8C,PI040298AD5I212674,2018-08-22 07:41:59,-1.0,30.88,10.25,32.04
Flower power 1E8C,PI040298AD5I212674,2018-08-22 07:56:59,-1.0,37.46,10.13,34.77
Flower power 1E8C,PI040298AD5I212674,2018-08-22 08:11:59,-1.0,50.89,10.0,38.04
Flower power 1E8C,PI040298AD5I212674,2018-08-22 08:26:59,-1.0,58.43,10.0,40.57
Flower power 1E8C,PI040298AD5I212674,2018-08-22 08:41:59,-1.0,64.4,10.13,42.72
Flower power 1E8C,PI040298AD5I212674,2018-08-22 08:56:59,-1.0,70.29,9.87,44.64
Flower power 1E8C,PI040298AD5I212674,2018-08-22 09:11:59,-1.0,78.43,10.13,46.03
Flower power 1E8C,PI040298AD5I212674,2018-08-22 09:26:59,-1.0,86.52,10.25,48.2
Flower power 1E8C,PI040298AD5I212674,2018-08-22 09:41:59,-1.0,95.57,10.13,49.76
Flower power 1E8C,PI040298AD5I212674,2018-08-22 09:56:59,-1.0,103.66,10.13,50.77
Flower power 1E8C,PI040298AD5I212674,2018-08-22 10:11:59,-1.0,110.94,9.75,51.87
Flower power 1E8C,PI040298AD5I212674,2018-08-22 10:26:59,-1.0,116.77,10.13,52.61
Flower power 1E8C,PI040298AD5I212674,2018-08-22 10:41:59,-1.0,121.89,10.0,53.18
Flower power 1E8C,PI040298AD5I212674,2018-08-22 10:56:59,-1.0,126.02,10.0,53.94
Flower power 1E8C,PI040298AD5I212674,2018-08-22 11:11:59,-1.0,130.43,10.13,54.2
Flower power 1E8C,PI040298AD5I212674,2018-08-22 11:26:59,-1.0,135.15,10.0,54.52
Flower power 1E8C,PI040298AD5I212674,2018-08-22 11:41:59,-1.0,138.48,9.87,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 11:56:59,-1.0,140.21,10.13,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 12:11:59,-1.0,141.98,9.87,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 12:26:59,-1.0,143.8,10.13,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 12:41:59,-1.0,143.8,10.13,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 12:56:59,-1.0,145.66,10.25,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 13:11:59,-1.0,145.66,10.0,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 13:26:59,-1.0,145.66,9.62,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 13:41:59,-1.0,143.8,9.87,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 13:56:59,-1.0,141.98,10.13,55.0
Flower power 1E8C,PI040298AD5I212674,2018-08-22 14:11:59,-1.0,140.21,9.87,55.0
