NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 2F1D,PI040298AD5I213013,2018-08-21 16:08:15,-1.0,84.84,4.24,41.41
Flower power 2F1D,PI040298AD5I213013,2018-08-21 16:23:09,-1.0,78.34,4.01,40.23
Flower power 2F1D,PI040298AD5I213013,2018-08-21 16:38:09,-1.0,73.71,4.48,41.61
Flower power 2F1D,PI040298AD5I213013,2018-08-21 16:53:09,-1.0,64.72,4.12,40.92
Flower power 2F1D,PI040298AD5I213013,2018-08-21 17:08:09,-1.0,58.56,4.12,39.99
Flower power 2F1D,PI040298AD5I213013,2018-08-21 17:23:09,-1.0,50.72,4.48,39.12
Flower power 2F1D,PI040298AD5I213013,2018-08-21 17:38:09,-1.0,41.29,4.72,38.18
Flower power 2F1D,PI040298AD5I213013,2018-08-21 17:53:09,-1.0,32.15,4.48,36.23
Flower power 2F1D,PI040298AD5I213013,2018-08-21 18:08:09,-1.0,24.78,4.24,34.41
Flower power 2F1D,PI040298AD5I213013,2018-08-21 18:23:09,-1.0,17.85,4.36,33.65
Flower power 2F1D,PI040298AD5I213013,2018-08-21 18:38:09,-1.0,7.85,4.01,29.3
Flower power 2F1D,PI040298AD5I213013,2018-08-21 18:53:09,-1.0,4.35,4.36,27.18
Flower power 2F1D,PI040298AD5I213013,2018-08-21 19:08:09,-1.0,1.64,4.72,25.56
Flower power 2F1D,PI040298AD5I213013,2018-08-21 19:23:09,-1.0,0.32,4.12,24.25
Flower power 2F1D,PI040298AD5I213013,2018-08-21 19:38:09,-1.0,0.1,4.48,23.6
Flower power 2F1D,PI040298AD5I213013,2018-08-21 19:53:09,-1.0,0.1,4.6,23.42
Flower power 2F1D,PI040298AD5I213013,2018-08-21 20:08:09,-1.0,0.1,4.48,22.91
Flower power 2F1D,PI040298AD5I213013,2018-08-21 20:23:09,-1.0,0.1,4.72,22.82
Flower power 2F1D,PI040298AD5I213013,2018-08-21 20:38:09,-1.0,0.1,4.36,22.12
Flower power 2F1D,PI040298AD5I213013,2018-08-21 20:53:09,-1.0,0.1,4.72,21.6
Flower power 2F1D,PI040298AD5I213013,2018-08-21 21:08:09,-1.0,0.1,4.24,21.45
Flower power 2F1D,PI040298AD5I213013,2018-08-21 21:23:09,-1.0,0.1,4.6,21.79
Flower power 2F1D,PI040298AD5I213013,2018-08-21 21:38:09,-1.0,0.1,4.48,21.88
Flower power 2F1D,PI040298AD5I213013,2018-08-21 21:53:09,-1.0,0.1,4.36,22.07
Flower power 2F1D,PI040298AD5I213013,2018-08-21 22:08:09,-1.0,0.1,4.48,22.02
Flower power 2F1D,PI040298AD5I213013,2018-08-21 22:23:09,-1.0,0.1,4.72,21.93
Flower power 2F1D,PI040298AD5I213013,2018-08-21 22:38:09,-1.0,0.1,4.36,21.83
Flower power 2F1D,PI040298AD5I213013,2018-08-21 22:53:09,-1.0,0.1,4.48,21.36
Flower power 2F1D,PI040298AD5I213013,2018-08-21 23:08:09,-1.0,0.1,4.12,21.07
Flower power 2F1D,PI040298AD5I213013,2018-08-21 23:23:09,-1.0,0.1,4.36,20.79
Flower power 2F1D,PI040298AD5I213013,2018-08-21 23:38:09,-1.0,0.1,4.24,20.83
Flower power 2F1D,PI040298AD5I213013,2018-08-21 23:53:09,-1.0,0.1,4.72,20.45
Flower power 2F1D,PI040298AD5I213013,2018-08-22 00:08:09,-1.0,0.1,4.48,20.74
Flower power 2F1D,PI040298AD5I213013,2018-08-22 00:23:09,-1.0,0.1,4.72,20.59
Flower power 2F1D,PI040298AD5I213013,2018-08-22 00:38:09,-1.0,0.1,4.12,21.17
Flower power 2F1D,PI040298AD5I213013,2018-08-22 00:53:09,-1.0,0.1,4.6,20.06
Flower power 2F1D,PI040298AD5I213013,2018-08-22 01:08:09,-1.0,0.1,4.24,18.19
Flower power 2F1D,PI040298AD5I213013,2018-08-22 01:23:09,-1.0,0.1,4.6,17.22
Flower power 2F1D,PI040298AD5I213013,2018-08-22 01:38:09,-1.0,0.1,4.72,16.86
Flower power 2F1D,PI040298AD5I213013,2018-08-22 01:53:09,-1.0,0.1,4.72,16.66
