NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 31DD,PI040298AD5I211062,2018-08-21 18:00:33,-1.0,31.68,5.74,36.64
Flower power 31DD,PI040298AD5I211062,2018-08-21 18:15:33,-1.0,20.45,5.87,36.0
Flower power 31DD,PI040298AD5I211062,2018-08-21 18:30:33,-1.0,13.53,5.74,34.32
Flower power 31DD,PI040298AD5I211062,2018-08-21 18:45:33,-1.0,8.1,5.87,31.56
Flower power 31DD,PI040298AD5I211062,2018-08-21 19:00:33,-1.0,3.01,6.12,28.51
Flower power 31DD,PI040298AD5I211062,2018-08-21 19:15:33,-1.0,0.89,5.87,26.95
Flower power 31DD,PI040298AD5I211062,2018-08-21 19:30:33,-1.0,0.1,6.49,26.19
Flower power 31DD,PI040298AD5I211062,2018-08-21 19:45:33,-1.0,0.1,6.12,25.43
Flower power 31DD,PI040298AD5I211062,2018-08-21 20:00:33,-1.0,0.1,6.49,25.25
Flower power 31DD,PI040298AD5I211062,2018-08-21 20:15:33,-1.0,0.1,6.62,24.61
Flower power 31DD,PI040298AD5I211062,2018-08-21 20:30:33,-1.0,0.1,6.49,24.43
Flower power 31DD,PI040298AD5I211062,2018-08-21 20:45:33,-1.0,0.1,6.74,24.02
Flower power 31DD,PI040298AD5I211062,2018-08-21 21:00:33,-1.0,0.1,6.37,23.97
Flower power 31DD,PI040298AD5I211062,2018-08-21 21:15:33,-1.0,0.1,6.62,24.2
Flower power 31DD,PI040298AD5I211062,2018-08-21 21:30:33,-1.0,0.1,6.37,24.02
Flower power 31DD,PI040298AD5I211062,2018-08-21 21:45:33,-1.0,0.1,6.74,23.6
Flower power 31DD,PI040298AD5I211062,2018-08-21 22:00:33,-1.0,0.1,6.74,23.88
Flower power 31DD,PI040298AD5I211062,2018-08-21 22:15:33,-1.0,0.1,6.74,23.74
Flower power 31DD,PI040298AD5I211062,2018-08-21 22:30:33,-1.0,0.1,7.0,23.97
Flower power 31DD,PI040298AD5I211062,2018-08-21 22:45:33,-1.0,0.1,7.0,23.65
Flower power 31DD,PI040298AD5I211062,2018-08-21 23:00:33,-1.0,0.1,6.62,22.86
Flower power 31DD,PI040298AD5I211062,2018-08-21 23:15:33,-1.0,0.1,7.0,22.82
Flower power 31DD,PI040298AD5I211062,2018-08-21 23:30:33,-1.0,0.1,6.62,22.63
Flower power 31DD,PI040298AD5I211062,2018-08-21 23:45:33,-1.0,0.1,6.37,22.12
Flower power 31DD,PI040298AD5I211062,2018-08-22 00:00:33,-1.0,0.1,6.49,21.64
Flower power 31DD,PI040298AD5I211062,2018-08-22 00:15:33,-1.0,0.1,6.74,21.83
Flower power 31DD,PI040298AD5I211062,2018-08-22 00:30:33,-1.0,0.1,6.87,22.54
Flower power 31DD,PI040298AD5I211062,2018-08-22 00:45:33,-1.0,0.1,6.87,21.83
Flower power 31DD,PI040298AD5I211062,2018-08-22 01:00:33,-1.0,0.1,7.12,21.41
Flower power 31DD,PI040298AD5I211062,2018-08-22 01:15:33,-1.0,0.1,7.0,18.93
Flower power 31DD,PI040298AD5I211062,2018-08-22 01:30:33,-1.0,0.1,7.25,18.74
Flower power 31DD,PI040298AD5I211062,2018-08-22 01:45:33,-1.0,0.1,7.0,18.19
Flower power 31DD,PI040298AD5I211062,2018-08-22 02:00:33,-1.0,0.1,7.0,18.29
Flower power 31DD,PI040298AD5I211062,2018-08-22 02:15:33,-1.0,0.1,7.12,18.03
Flower power 31DD,PI040298AD5I211062,2018-08-22 02:30:33,-1.0,0.1,6.74,17.43
Flower power 31DD,PI040298AD5I211062,2018-08-22 02:45:33,-1.0,0.1,7.0,17.48
Flower power 31DD,PI040298AD5I211062,2018-08-22 03:00:33,-1.0,0.1,7.25,17.38
Flower power 31DD,PI040298AD5I211062,2018-08-22 03:15:33,-1.0,0.1,7.25,16.86
Flower power 31DD,PI040298AD5I211062,2018-08-22 03:30:33,-1.0,0.1,6.74,17.02
Flower power 31DD,PI040298AD5I211062,2018-08-22 03:45:33,-1.0,0.1,7.0,16.66
Flower power 31DD,PI040298AD5I211062,2018-08-22 04:00:33,-1.0,0.1,7.25,16.45
Flower power 31DD,PI040298AD5I211062,2018-08-22 04:15:33,-1.0,0.1,7.38,16.29
Flower power 31DD,PI040298AD5I211062,2018-08-22 04:30:33,-1.0,0.1,7.25,16.34
Flower power 31DD,PI040298AD5I211062,2018-08-22 04:45:33,-1.0,0.1,6.74,16.19
Flower power 31DD,PI040298AD5I211062,2018-08-22 05:00:33,-1.0,0.1,7.25,16.71
Flower power 31DD,PI040298AD5I211062,2018-08-22 05:15:33,-1.0,0.1,7.0,17.43
Flower power 31DD,PI040298AD5I211062,2018-08-22 05:30:33,-1.0,0.1,7.25,17.53
Flower power 31DD,PI040298AD5I211062,2018-08-22 05:45:33,-1.0,0.1,6.74,17.43
Flower power 31DD,PI040298AD5I211062,2018-08-22 06:00:33,-1.0,0.83,7.12,17.17
Flower power 31DD,PI040298AD5I211062,2018-08-22 06:15:33,-1.0,2.63,7.12,18.83
Flower power 31DD,PI040298AD5I211062,2018-08-22 06:30:33,-1.0,5.24,7.12,19.53
Flower power 31DD,PI040298AD5I211062,2018-08-22 06:45:33,-1.0,8.02,6.87,20.55
Flower power 31DD,PI040298AD5I211062,2018-08-22 07:00:33,-1.0,10.52,6.87,21.83
