NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 392B,PI040298AD5I213420,2018-08-21 11:25:19,-1.0,150.12,7.19,46.69
Flower power 392B,PI040298AD5I213420,2018-08-21 11:40:19,-1.0,152.11,7.69,47.64
Flower power 392B,PI040298AD5I213420,2018-08-21 11:55:19,-1.0,152.11,7.81,46.25
Flower power 392B,PI040298AD5I213420,2018-08-21 12:10:19,-1.0,148.18,7.56,47.92
Flower power 392B,PI040298AD5I213420,2018-08-21 12:25:19,-1.0,154.15,7.94,48.26
Flower power 392B,PI040298AD5I213420,2018-08-21 12:40:19,-1.0,154.15,7.94,49.59
Flower power 392B,PI040298AD5I213420,2018-08-21 12:55:19,-1.0,154.15,7.94,48.54
Flower power 392B,PI040298AD5I213420,2018-08-21 13:10:19,-1.0,152.11,8.06,50.3
Flower power 392B,PI040298AD5I213420,2018-08-21 13:25:19,-1.0,148.18,7.94,50.71
Flower power 392B,PI040298AD5I213420,2018-08-21 13:40:19,-1.0,146.29,8.06,50.06
Flower power 392B,PI040298AD5I213420,2018-08-21 13:55:19,-1.0,142.64,7.81,51.44
Flower power 392B,PI040298AD5I213420,2018-08-21 14:10:19,-1.0,139.16,8.19,49.7
Flower power 392B,PI040298AD5I213420,2018-08-21 14:25:19,-1.0,132.68,8.31,49.59
Flower power 392B,PI040298AD5I213420,2018-08-21 14:40:19,-1.0,126.77,8.06,49.53
Flower power 392B,PI040298AD5I213420,2018-08-21 14:55:19,-1.0,120.05,8.31,49.41
Flower power 392B,PI040298AD5I213420,2018-08-21 15:10:19,-1.0,114.0,8.44,47.02
Flower power 392B,PI040298AD5I213420,2018-08-21 15:25:19,-1.0,104.48,8.19,44.37
Flower power 392B,PI040298AD5I213420,2018-08-21 15:40:19,-1.0,41.22,8.19,42.92
Flower power 392B,PI040298AD5I213420,2018-08-21 15:55:19,-1.0,23.96,8.31,42.31
Flower power 392B,PI040298AD5I213420,2018-08-21 16:10:19,-1.0,28.97,8.19,41.96
Flower power 392B,PI040298AD5I213420,2018-08-21 16:25:19,-1.0,71.5,8.31,43.08
Flower power 392B,PI040298AD5I213420,2018-08-21 16:40:19,-1.0,65.13,7.94,43.7
Flower power 392B,PI040298AD5I213420,2018-08-21 16:55:19,-1.0,57.25,8.06,42.77
Flower power 392B,PI040298AD5I213420,2018-08-21 17:10:19,-1.0,52.78,7.94,40.57
Flower power 392B,PI040298AD5I213420,2018-08-21 17:25:19,-1.0,16.6,8.57,32.89
Flower power 392B,PI040298AD5I213420,2018-08-21 17:40:19,-1.0,14.33,8.06,30.06
Flower power 392B,PI040298AD5I213420,2018-08-21 17:55:19,-1.0,12.39,8.44,29.22
Flower power 392B,PI040298AD5I213420,2018-08-21 18:10:19,-1.0,10.62,8.31,28.55
Flower power 392B,PI040298AD5I213420,2018-08-21 18:25:19,-1.0,8.51,8.06,28.15
Flower power 392B,PI040298AD5I213420,2018-08-21 18:40:19,-1.0,6.04,8.19,27.62
Flower power 392B,PI040298AD5I213420,2018-08-21 18:55:19,-1.0,3.39,7.94,26.06
Flower power 392B,PI040298AD5I213420,2018-08-21 19:10:19,-1.0,1.28,7.94,25.07
Flower power 392B,PI040298AD5I213420,2018-08-21 19:25:19,-1.0,0.23,8.19,24.61
Flower power 392B,PI040298AD5I213420,2018-08-21 19:40:19,-1.0,0.1,8.19,23.51
Flower power 392B,PI040298AD5I213420,2018-08-21 19:55:19,-1.0,0.1,8.31,22.96
Flower power 392B,PI040298AD5I213420,2018-08-21 20:10:19,-1.0,0.1,8.31,23.24
Flower power 392B,PI040298AD5I213420,2018-08-21 20:25:19,-1.0,0.1,8.06,22.12
Flower power 392B,PI040298AD5I213420,2018-08-21 20:40:19,-1.0,0.1,8.06,22.35
Flower power 392B,PI040298AD5I213420,2018-08-21 20:55:19,-1.0,0.1,8.31,21.97
Flower power 392B,PI040298AD5I213420,2018-08-21 21:10:19,-1.0,0.1,7.69,22.26
Flower power 392B,PI040298AD5I213420,2018-08-21 21:25:19,-1.0,0.1,7.56,22.63
Flower power 392B,PI040298AD5I213420,2018-08-21 21:40:19,-1.0,0.1,7.69,21.69
Flower power 392B,PI040298AD5I213420,2018-08-21 21:55:19,-1.0,0.1,8.06,21.5
Flower power 392B,PI040298AD5I213420,2018-08-21 22:10:19,-1.0,0.1,7.81,21.69
Flower power 392B,PI040298AD5I213420,2018-08-21 22:25:19,-1.0,0.1,8.31,22.16
Flower power 392B,PI040298AD5I213420,2018-08-21 22:40:19,-1.0,0.1,7.81,22.16
Flower power 392B,PI040298AD5I213420,2018-08-21 22:55:19,-1.0,0.1,7.69,20.16
Flower power 392B,PI040298AD5I213420,2018-08-21 23:10:19,-1.0,0.1,7.56,20.5
Flower power 392B,PI040298AD5I213420,2018-08-21 23:25:19,-1.0,0.1,7.94,19.62
Flower power 392B,PI040298AD5I213420,2018-08-21 23:40:19,-1.0,0.1,7.81,19.23
Flower power 392B,PI040298AD5I213420,2018-08-21 23:55:19,-1.0,0.1,7.94,19.18
Flower power 392B,PI040298AD5I213420,2018-08-22 00:10:19,-1.0,0.1,7.81,19.23
Flower power 392B,PI040298AD5I213420,2018-08-22 00:25:19,-1.0,0.1,7.69,19.13
Flower power 392B,PI040298AD5I213420,2018-08-22 00:40:19,-1.0,0.1,7.81,19.62
Flower power 392B,PI040298AD5I213420,2018-08-22 00:55:19,-1.0,0.1,8.19,18.78
Flower power 392B,PI040298AD5I213420,2018-08-22 01:10:19,-1.0,0.1,7.81,18.13
Flower power 392B,PI040298AD5I213420,2018-08-22 01:25:19,-1.0,0.1,8.06,17.83
Flower power 392B,PI040298AD5I213420,2018-08-22 01:40:19,-1.0,0.1,7.44,17.38
Flower power 392B,PI040298AD5I213420,2018-08-22 01:55:19,-1.0,0.1,7.69,17.02
Flower power 392B,PI040298AD5I213420,2018-08-22 02:10:19,-1.0,0.1,7.81,17.38
Flower power 392B,PI040298AD5I213420,2018-08-22 02:25:19,-1.0,0.1,7.81,16.66
Flower power 392B,PI040298AD5I213420,2018-08-22 02:40:19,-1.0,0.1,8.06,16.6
Flower power 392B,PI040298AD5I213420,2018-08-22 02:55:19,-1.0,0.1,7.69,16.6
Flower power 392B,PI040298AD5I213420,2018-08-22 03:10:19,-1.0,0.1,7.94,16.45
Flower power 392B,PI040298AD5I213420,2018-08-22 03:25:19,-1.0,0.1,7.69,16.6
Flower power 392B,PI040298AD5I213420,2018-08-22 03:40:19,-1.0,0.1,7.94,16.03
Flower power 392B,PI040298AD5I213420,2018-08-22 03:55:19,-1.0,0.1,7.94,15.77
Flower power 392B,PI040298AD5I213420,2018-08-22 04:10:19,-1.0,0.1,7.69,15.72
Flower power 392B,PI040298AD5I213420,2018-08-22 04:25:19,-1.0,0.1,7.94,15.72
Flower power 392B,PI040298AD5I213420,2018-08-22 04:40:19,-1.0,0.1,7.94,15.72
Flower power 392B,PI040298AD5I213420,2018-08-22 04:55:19,-1.0,0.1,7.94,15.45
Flower power 392B,PI040298AD5I213420,2018-08-22 05:10:19,-1.0,0.1,7.69,15.66
Flower power 392B,PI040298AD5I213420,2018-08-22 05:25:19,-1.0,0.1,8.06,15.93
Flower power 392B,PI040298AD5I213420,2018-08-22 05:40:19,-1.0,0.1,8.06,15.93
Flower power 392B,PI040298AD5I213420,2018-08-22 05:55:19,-1.0,0.45,8.19,16.24
Flower power 392B,PI040298AD5I213420,2018-08-22 06:10:19,-1.0,1.86,7.94,17.22
Flower power 392B,PI040298AD5I213420,2018-08-22 06:25:19,-1.0,4.3,7.81,17.83
Flower power 392B,PI040298AD5I213420,2018-08-22 06:40:19,-1.0,7.24,7.69,19.72
Flower power 392B,PI040298AD5I213420,2018-08-22 06:55:19,-1.0,11.61,8.19,22.12
Flower power 392B,PI040298AD5I213420,2018-08-22 07:10:19,-1.0,12.92,8.06,24.25
Flower power 392B,PI040298AD5I213420,2018-08-22 07:25:19,-1.0,21.73,7.81,26.78
Flower power 392B,PI040298AD5I213420,2018-08-22 07:40:19,-1.0,29.46,8.06,28.6
Flower power 392B,PI040298AD5I213420,2018-08-22 07:55:19,-1.0,41.7,8.06,31.12
Flower power 392B,PI040298AD5I213420,2018-08-22 08:10:19,-1.0,47.23,8.06,34.14
Flower power 392B,PI040298AD5I213420,2018-08-22 08:25:19,-1.0,30.32,7.81,35.09
Flower power 392B,PI040298AD5I213420,2018-08-22 08:40:19,-1.0,60.44,7.81,35.77
Flower power 392B,PI040298AD5I213420,2018-08-22 08:55:19,-1.0,84.02,8.19,38.41
Flower power 392B,PI040298AD5I213420,2018-08-22 09:10:19,-1.0,76.47,7.69,39.17
Flower power 392B,PI040298AD5I213420,2018-08-22 09:25:19,-1.0,103.51,7.69,41.51
Flower power 392B,PI040298AD5I213420,2018-08-22 09:40:19,-1.0,110.64,8.19,42.77
Flower power 392B,PI040298AD5I213420,2018-08-22 09:55:19,-1.0,112.86,7.94,43.64
Flower power 392B,PI040298AD5I213420,2018-08-22 10:10:19,-1.0,118.79,7.56,43.23
Flower power 392B,PI040298AD5I213420,2018-08-22 10:25:19,-1.0,123.99,7.94,43.7
Flower power 392B,PI040298AD5I213420,2018-08-22 10:40:19,-1.0,118.79,8.06,45.87
Flower power 392B,PI040298AD5I213420,2018-08-22 10:55:19,-1.0,126.77,7.94,46.14
Flower power 392B,PI040298AD5I213420,2018-08-22 11:10:19,-1.0,123.99,8.06,46.14
Flower power 392B,PI040298AD5I213420,2018-08-22 11:25:19,-1.0,144.44,8.19,47.36
Flower power 392B,PI040298AD5I213420,2018-08-22 11:40:19,-1.0,146.29,8.06,48.49
Flower power 392B,PI040298AD5I213420,2018-08-22 11:55:19,-1.0,150.12,8.31,47.97
Flower power 392B,PI040298AD5I213420,2018-08-22 12:10:19,-1.0,148.18,7.81,48.26
Flower power 392B,PI040298AD5I213420,2018-08-22 12:25:19,-1.0,154.15,8.44,48.43
Flower power 392B,PI040298AD5I213420,2018-08-22 12:40:19,-1.0,154.15,7.94,49.3
Flower power 392B,PI040298AD5I213420,2018-08-22 12:55:19,-1.0,150.12,7.94,47.97
Flower power 392B,PI040298AD5I213420,2018-08-22 13:10:19,-1.0,150.12,7.94,49.0
Flower power 392B,PI040298AD5I213420,2018-08-22 13:25:19,-1.0,148.18,8.31,49.18
Flower power 392B,PI040298AD5I213420,2018-08-22 13:40:19,-1.0,144.44,8.44,48.54
Flower power 392B,PI040298AD5I213420,2018-08-22 13:55:19,-1.0,140.88,8.31,48.14
Flower power 392B,PI040298AD5I213420,2018-08-22 14:10:19,-1.0,137.49,8.57,50.18
Flower power 392B,PI040298AD5I213420,2018-08-22 14:25:19,-1.0,131.15,8.44,50.36
Flower power 392B,PI040298AD5I213420,2018-08-22 14:40:19,-1.0,126.77,8.06,50.77
Flower power 392B,PI040298AD5I213420,2018-08-22 14:55:19,-1.0,120.05,8.44,49.53
Flower power 392B,PI040298AD5I213420,2018-08-22 15:10:19,-1.0,112.86,8.31,49.06
Flower power 392B,PI040298AD5I213420,2018-08-22 15:25:19,-1.0,102.57,8.19,45.87
Flower power 392B,PI040298AD5I213420,2018-08-22 15:40:19,-1.0,50.09,8.44,42.57
Flower power 392B,PI040298AD5I213420,2018-08-22 15:55:19,-1.0,25.68,8.57,42.62
Flower power 392B,PI040298AD5I213420,2018-08-22 16:10:19,-1.0,57.25,8.31,41.71
Flower power 392B,PI040298AD5I213420,2018-08-22 16:25:19,-1.0,68.81,8.31,43.18
Flower power 392B,PI040298AD5I213420,2018-08-22 16:40:19,-1.0,53.31,8.19,43.44
Flower power 392B,PI040298AD5I213420,2018-08-22 16:55:19,-1.0,56.65,8.31,44.11
Flower power 392B,PI040298AD5I213420,2018-08-22 17:10:19,-1.0,24.07,8.06,39.36
Flower power 392B,PI040298AD5I213420,2018-08-22 17:25:19,-1.0,17.22,8.44,33.07
Flower power 392B,PI040298AD5I213420,2018-08-22 17:40:19,-1.0,15.62,8.19,30.28
Flower power 392B,PI040298AD5I213420,2018-08-22 17:55:19,-1.0,12.25,8.44,28.95
Flower power 392B,PI040298AD5I213420,2018-08-22 18:10:19,-1.0,9.44,8.44,27.22
Flower power 392B,PI040298AD5I213420,2018-08-22 18:25:19,-1.0,7.88,8.31,26.28
Flower power 392B,PI040298AD5I213420,2018-08-22 18:40:19,-1.0,5.66,8.19,25.65
Flower power 392B,PI040298AD5I213420,2018-08-22 18:55:19,-1.0,3.11,8.31,25.07
Flower power 392B,PI040298AD5I213420,2018-08-22 19:10:19,-1.0,1.09,8.06,23.93
Flower power 392B,PI040298AD5I213420,2018-08-22 19:25:19,-1.0,0.18,8.06,23.24
Flower power 392B,PI040298AD5I213420,2018-08-22 19:40:19,-1.0,0.1,8.19,21.55
Flower power 392B,PI040298AD5I213420,2018-08-22 19:55:19,-1.0,0.1,8.19,21.07
Flower power 392B,PI040298AD5I213420,2018-08-22 20:10:19,-1.0,0.1,7.81,20.83
Flower power 392B,PI040298AD5I213420,2018-08-22 20:25:19,-1.0,0.1,8.06,20.35
Flower power 392B,PI040298AD5I213420,2018-08-22 20:40:19,-1.0,0.1,7.94,20.83
Flower power 392B,PI040298AD5I213420,2018-08-22 20:55:19,-1.0,0.1,7.69,20.55
Flower power 392B,PI040298AD5I213420,2018-08-22 21:10:19,-1.0,0.1,7.94,20.35
Flower power 392B,PI040298AD5I213420,2018-08-22 21:25:19,-1.0,0.1,8.19,19.92
Flower power 392B,PI040298AD5I213420,2018-08-22 21:40:19,-1.0,0.1,8.31,19.03
Flower power 392B,PI040298AD5I213420,2018-08-22 21:55:19,-1.0,0.1,8.06,18.24
Flower power 392B,PI040298AD5I213420,2018-08-22 22:10:19,-1.0,0.1,8.06,18.44
Flower power 392B,PI040298AD5I213420,2018-08-22 22:25:19,-1.0,0.1,7.81,19.82
Flower power 392B,PI040298AD5I213420,2018-08-22 22:40:19,-1.0,0.1,7.81,19.62
Flower power 392B,PI040298AD5I213420,2018-08-22 22:55:19,-1.0,0.1,7.81,20.4
Flower power 392B,PI040298AD5I213420,2018-08-22 23:10:19,-1.0,0.1,8.06,20.55
Flower power 392B,PI040298AD5I213420,2018-08-22 23:25:19,-1.0,0.1,7.94,19.18
Flower power 392B,PI040298AD5I213420,2018-08-22 23:40:19,-1.0,0.1,7.56,19.43
Flower power 392B,PI040298AD5I213420,2018-08-22 23:55:19,-1.0,0.1,7.81,19.28
Flower power 392B,PI040298AD5I213420,2018-08-23 00:10:19,-1.0,0.1,7.69,18.88
Flower power 392B,PI040298AD5I213420,2018-08-23 00:25:19,-1.0,0.1,7.56,19.23
Flower power 392B,PI040298AD5I213420,2018-08-23 00:40:19,-1.0,0.1,8.06,19.13
Flower power 392B,PI040298AD5I213420,2018-08-23 00:55:19,-1.0,0.1,7.81,18.64
Flower power 392B,PI040298AD5I213420,2018-08-23 01:10:19,-1.0,0.1,7.94,18.74
Flower power 392B,PI040298AD5I213420,2018-08-23 01:25:19,-1.0,0.1,8.19,19.23
Flower power 392B,PI040298AD5I213420,2018-08-23 01:40:19,-1.0,0.1,7.94,20.21
Flower power 392B,PI040298AD5I213420,2018-08-23 01:55:19,-1.0,0.1,7.94,20.06
Flower power 392B,PI040298AD5I213420,2018-08-23 02:10:19,-1.0,0.1,7.81,19.43
