NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 40A0,PI040298AD5I212069,2018-08-21 18:06:24,-1.0,25.06,10.98,37.57
Flower power 40A0,PI040298AD5I212069,2018-08-21 18:21:24,-1.0,18.57,10.98,36.69
Flower power 40A0,PI040298AD5I212069,2018-08-21 18:36:24,-1.0,11.47,11.64,34.27
Flower power 40A0,PI040298AD5I212069,2018-08-21 18:51:24,-1.0,4.5,11.5,30.76
Flower power 40A0,PI040298AD5I212069,2018-08-21 19:06:24,-1.0,1.76,11.37,28.46
Flower power 40A0,PI040298AD5I212069,2018-08-21 19:21:24,-1.0,0.4,11.37,27.13
Flower power 40A0,PI040298AD5I212069,2018-08-21 19:36:24,-1.0,0.1,11.37,26.64
Flower power 40A0,PI040298AD5I212069,2018-08-21 19:51:24,-1.0,0.1,11.64,26.19
Flower power 40A0,PI040298AD5I212069,2018-08-21 20:06:24,-1.0,0.1,11.77,25.88
Flower power 40A0,PI040298AD5I212069,2018-08-21 20:21:24,-1.0,0.1,11.37,25.43
Flower power 40A0,PI040298AD5I212069,2018-08-21 20:36:24,-1.0,0.1,11.64,25.34
Flower power 40A0,PI040298AD5I212069,2018-08-21 20:51:24,-1.0,0.1,11.64,24.84
Flower power 40A0,PI040298AD5I212069,2018-08-21 21:06:24,-1.0,0.1,11.64,24.66
Flower power 40A0,PI040298AD5I212069,2018-08-21 21:21:24,-1.0,0.1,11.37,24.93
Flower power 40A0,PI040298AD5I212069,2018-08-21 21:36:24,-1.0,0.1,11.9,24.75
Flower power 40A0,PI040298AD5I212069,2018-08-21 21:51:24,-1.0,0.1,11.5,24.75
Flower power 40A0,PI040298AD5I212069,2018-08-21 22:06:24,-1.0,0.1,11.5,24.66
Flower power 40A0,PI040298AD5I212069,2018-08-21 22:21:24,-1.0,0.1,11.5,24.52
Flower power 40A0,PI040298AD5I212069,2018-08-21 22:36:24,-1.0,0.1,11.5,24.79
Flower power 40A0,PI040298AD5I212069,2018-08-21 22:51:24,-1.0,0.1,11.64,24.02
Flower power 40A0,PI040298AD5I212069,2018-08-21 23:06:24,-1.0,0.1,11.9,23.6
Flower power 40A0,PI040298AD5I212069,2018-08-21 23:21:24,-1.0,0.1,11.37,23.42
Flower power 40A0,PI040298AD5I212069,2018-08-21 23:36:24,-1.0,0.1,11.37,23.42
Flower power 40A0,PI040298AD5I212069,2018-08-21 23:51:24,-1.0,0.1,11.5,23.0
Flower power 40A0,PI040298AD5I212069,2018-08-22 00:06:24,-1.0,0.1,11.64,22.91
Flower power 40A0,PI040298AD5I212069,2018-08-22 00:21:24,-1.0,0.1,11.9,22.91
Flower power 40A0,PI040298AD5I212069,2018-08-22 00:36:24,-1.0,0.1,11.77,23.51
Flower power 40A0,PI040298AD5I212069,2018-08-22 00:51:24,-1.0,0.1,11.77,22.58
Flower power 40A0,PI040298AD5I212069,2018-08-22 01:06:24,-1.0,0.1,11.9,21.26
Flower power 40A0,PI040298AD5I212069,2018-08-22 01:21:24,-1.0,0.1,11.37,20.3
Flower power 40A0,PI040298AD5I212069,2018-08-22 01:36:24,-1.0,0.1,11.5,20.16
Flower power 40A0,PI040298AD5I212069,2018-08-22 01:51:24,-1.0,0.1,11.77,19.87
Flower power 40A0,PI040298AD5I212069,2018-08-22 02:06:24,-1.0,0.1,11.64,19.67
Flower power 40A0,PI040298AD5I212069,2018-08-22 02:21:24,-1.0,0.1,11.9,19.18
Flower power 40A0,PI040298AD5I212069,2018-08-22 02:36:24,-1.0,0.1,11.64,18.93
Flower power 40A0,PI040298AD5I212069,2018-08-22 02:51:24,-1.0,0.1,11.77,18.98
Flower power 40A0,PI040298AD5I212069,2018-08-22 03:06:24,-1.0,0.1,11.9,19.03
Flower power 40A0,PI040298AD5I212069,2018-08-22 03:21:24,-1.0,0.1,11.5,18.64
Flower power 40A0,PI040298AD5I212069,2018-08-22 03:36:24,-1.0,0.1,11.5,18.64
Flower power 40A0,PI040298AD5I212069,2018-08-22 03:51:24,-1.0,0.1,11.5,18.24
Flower power 40A0,PI040298AD5I212069,2018-08-22 04:06:24,-1.0,0.1,11.77,18.03
Flower power 40A0,PI040298AD5I212069,2018-08-22 04:21:24,-1.0,0.1,11.5,17.78
Flower power 40A0,PI040298AD5I212069,2018-08-22 04:36:24,-1.0,0.1,11.77,17.93
Flower power 40A0,PI040298AD5I212069,2018-08-22 04:51:24,-1.0,0.1,11.64,17.68
Flower power 40A0,PI040298AD5I212069,2018-08-22 05:06:24,-1.0,0.1,11.5,18.39
Flower power 40A0,PI040298AD5I212069,2018-08-22 05:21:24,-1.0,0.1,11.5,18.88
Flower power 40A0,PI040298AD5I212069,2018-08-22 05:36:24,-1.0,0.1,11.24,18.83
Flower power 40A0,PI040298AD5I212069,2018-08-22 05:51:24,-1.0,0.22,11.77,18.88
Flower power 40A0,PI040298AD5I212069,2018-08-22 06:06:24,-1.0,1.16,11.64,19.18
Flower power 40A0,PI040298AD5I212069,2018-08-22 06:21:24,-1.0,3.02,11.9,20.26
Flower power 40A0,PI040298AD5I212069,2018-08-22 06:36:24,-1.0,5.25,11.24,21.74
Flower power 40A0,PI040298AD5I212069,2018-08-22 06:51:24,-1.0,10.03,11.64,22.49
Flower power 40A0,PI040298AD5I212069,2018-08-22 07:06:24,-1.0,9.24,11.5,23.0
Flower power 40A0,PI040298AD5I212069,2018-08-22 07:21:24,-1.0,20.38,11.64,24.84
Flower power 40A0,PI040298AD5I212069,2018-08-22 07:36:24,-1.0,11.68,11.9,24.66
Flower power 40A0,PI040298AD5I212069,2018-08-22 07:51:24,-1.0,13.08,11.77,25.29
Flower power 40A0,PI040298AD5I212069,2018-08-22 08:06:24,-1.0,15.38,11.64,26.64
Flower power 40A0,PI040298AD5I212069,2018-08-22 08:21:24,-1.0,16.8,11.64,27.67
Flower power 40A0,PI040298AD5I212069,2018-08-22 08:36:24,-1.0,54.77,11.5,36.92
Flower power 40A0,PI040298AD5I212069,2018-08-22 08:51:24,-1.0,73.08,11.37,38.32
Flower power 40A0,PI040298AD5I212069,2018-08-22 09:06:24,-1.0,85.64,11.5,43.44
Flower power 40A0,PI040298AD5I212069,2018-08-22 09:21:24,-1.0,97.25,11.64,46.2
Flower power 40A0,PI040298AD5I212069,2018-08-22 09:36:24,-1.0,108.74,11.77,46.09
Flower power 40A0,PI040298AD5I212069,2018-08-22 09:51:24,-1.0,117.54,11.64,47.75
Flower power 40A0,PI040298AD5I212069,2018-08-22 10:06:24,-1.0,126.25,11.37,49.59
Flower power 40A0,PI040298AD5I212069,2018-08-22 10:21:24,-1.0,131.1,11.5,50.0
Flower power 40A0,PI040298AD5I212069,2018-08-22 10:36:24,-1.0,138.15,11.77,50.12
Flower power 40A0,PI040298AD5I212069,2018-08-22 10:51:24,-1.0,143.94,11.77,51.38
Flower power 40A0,PI040298AD5I212069,2018-08-22 11:06:24,-1.0,150.22,11.5,51.75
Flower power 40A0,PI040298AD5I212069,2018-08-22 11:21:24,-1.0,154.72,11.77,51.44
Flower power 40A0,PI040298AD5I212069,2018-08-22 11:36:24,-1.0,159.48,11.37,52.18
Flower power 40A0,PI040298AD5I212069,2018-08-22 11:51:24,-1.0,161.97,11.9,51.56
Flower power 40A0,PI040298AD5I212069,2018-08-22 12:06:24,-1.0,164.53,11.77,51.08
Flower power 40A0,PI040298AD5I212069,2018-08-22 12:21:24,-1.0,164.53,12.03,51.32
Flower power 40A0,PI040298AD5I212069,2018-08-22 12:36:24,-1.0,167.18,11.9,51.68
Flower power 40A0,PI040298AD5I212069,2018-08-22 12:51:24,-1.0,164.53,11.64,51.08
Flower power 40A0,PI040298AD5I212069,2018-08-22 13:06:24,-1.0,164.53,11.77,51.38
Flower power 40A0,PI040298AD5I212069,2018-08-22 13:21:24,-1.0,164.53,12.03,51.44
Flower power 40A0,PI040298AD5I212069,2018-08-22 13:36:24,-1.0,161.97,11.64,52.61
Flower power 40A0,PI040298AD5I212069,2018-08-22 13:51:24,-1.0,157.06,12.03,51.99
