NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 41BE,PI040298AD5I211129,2018-08-21 11:30:13,-1.0,150.64,12.39,49.0
Flower power 41BE,PI040298AD5I211129,2018-08-21 11:45:13,-1.0,154.54,12.14,51.2
Flower power 41BE,PI040298AD5I211129,2018-08-21 12:00:13,-1.0,156.56,12.39,50.0
Flower power 41BE,PI040298AD5I211129,2018-08-21 12:15:13,-1.0,156.56,12.78,49.47
Flower power 41BE,PI040298AD5I211129,2018-08-21 12:30:13,-1.0,158.64,12.91,50.59
Flower power 41BE,PI040298AD5I211129,2018-08-21 12:45:13,-1.0,158.64,13.04,49.53
Flower power 41BE,PI040298AD5I211129,2018-08-21 13:00:13,-1.0,158.64,12.78,50.89
Flower power 41BE,PI040298AD5I211129,2018-08-21 13:15:13,-1.0,156.56,13.04,50.71
Flower power 41BE,PI040298AD5I211129,2018-08-21 13:30:13,-1.0,154.54,13.17,50.59
Flower power 41BE,PI040298AD5I211129,2018-08-21 13:45:13,-1.0,150.64,13.3,50.06
Flower power 41BE,PI040298AD5I211129,2018-08-21 14:00:13,-1.0,146.93,12.91,50.95
Flower power 41BE,PI040298AD5I211129,2018-08-21 14:15:13,-1.0,141.68,13.04,51.02
Flower power 41BE,PI040298AD5I211129,2018-08-21 14:30:13,-1.0,133.7,13.3,49.76
Flower power 41BE,PI040298AD5I211129,2018-08-21 14:45:13,-1.0,123.89,13.3,49.06
Flower power 41BE,PI040298AD5I211129,2018-08-21 15:00:13,-1.0,115.39,13.42,48.66
Flower power 41BE,PI040298AD5I211129,2018-08-21 15:15:13,-1.0,107.96,13.3,49.12
Flower power 41BE,PI040298AD5I211129,2018-08-21 15:30:13,-1.0,101.4,13.42,47.02
Flower power 41BE,PI040298AD5I211129,2018-08-21 15:45:13,-1.0,94.79,13.42,46.85
Flower power 41BE,PI040298AD5I211129,2018-08-21 16:00:13,-1.0,92.53,13.55,47.13
Flower power 41BE,PI040298AD5I211129,2018-08-21 16:15:13,-1.0,84.42,13.68,46.58
