NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 4AE2,PI040298AD5I213075,2018-08-21 16:05:47,-1.0,88.28,5.5,43.54
Flower power 4AE2,PI040298AD5I213075,2018-08-21 16:20:42,-1.0,90.97,5.74,44.06
Flower power 4AE2,PI040298AD5I213075,2018-08-21 16:35:42,-1.0,83.91,5.5,42.97
Flower power 4AE2,PI040298AD5I213075,2018-08-21 16:50:42,-1.0,73.94,5.74,42.31
Flower power 4AE2,PI040298AD5I213075,2018-08-21 17:05:42,-1.0,60.88,5.74,40.57
Flower power 4AE2,PI040298AD5I213075,2018-08-21 17:20:42,-1.0,53.82,6.1,39.89
Flower power 4AE2,PI040298AD5I213075,2018-08-21 17:35:42,-1.0,34.9,5.74,38.41
Flower power 4AE2,PI040298AD5I213075,2018-08-21 17:50:42,-1.0,23.2,5.86,37.38
Flower power 4AE2,PI040298AD5I213075,2018-08-21 18:05:42,-1.0,21.32,5.86,35.72
Flower power 4AE2,PI040298AD5I213075,2018-08-21 18:20:42,-1.0,19.88,5.86,34.45
Flower power 4AE2,PI040298AD5I213075,2018-08-21 18:35:42,-1.0,8.51,5.98,31.51
Flower power 4AE2,PI040298AD5I213075,2018-08-21 18:50:42,-1.0,4.26,5.86,28.46
Flower power 4AE2,PI040298AD5I213075,2018-08-21 19:05:42,-1.0,1.72,5.74,27.04
Flower power 4AE2,PI040298AD5I213075,2018-08-21 19:20:42,-1.0,0.39,5.5,25.74
Flower power 4AE2,PI040298AD5I213075,2018-08-21 19:35:42,-1.0,0.1,5.5,25.07
Flower power 4AE2,PI040298AD5I213075,2018-08-21 19:50:42,-1.0,0.1,5.74,24.75
Flower power 4AE2,PI040298AD5I213075,2018-08-21 20:05:42,-1.0,0.1,5.74,24.43
Flower power 4AE2,PI040298AD5I213075,2018-08-21 20:20:42,-1.0,0.1,5.74,23.97
Flower power 4AE2,PI040298AD5I213075,2018-08-21 20:35:42,-1.0,0.1,5.74,23.74
Flower power 4AE2,PI040298AD5I213075,2018-08-21 20:50:42,-1.0,0.1,5.98,23.1
Flower power 4AE2,PI040298AD5I213075,2018-08-21 21:05:42,-1.0,0.1,5.86,23.0
Flower power 4AE2,PI040298AD5I213075,2018-08-21 21:20:42,-1.0,0.1,5.86,23.42
Flower power 4AE2,PI040298AD5I213075,2018-08-21 21:35:42,-1.0,0.1,5.98,23.28
Flower power 4AE2,PI040298AD5I213075,2018-08-21 21:50:42,-1.0,0.1,5.98,23.47
Flower power 4AE2,PI040298AD5I213075,2018-08-21 22:05:42,-1.0,0.1,6.1,23.37
Flower power 4AE2,PI040298AD5I213075,2018-08-21 22:20:42,-1.0,0.1,6.1,23.24
Flower power 4AE2,PI040298AD5I213075,2018-08-21 22:35:42,-1.0,0.1,5.98,23.42
Flower power 4AE2,PI040298AD5I213075,2018-08-21 22:50:42,-1.0,0.1,6.1,22.91
Flower power 4AE2,PI040298AD5I213075,2018-08-21 23:05:42,-1.0,0.1,5.86,22.58
Flower power 4AE2,PI040298AD5I213075,2018-08-21 23:20:42,-1.0,0.1,5.98,22.4
Flower power 4AE2,PI040298AD5I213075,2018-08-21 23:35:42,-1.0,0.1,5.98,22.21
Flower power 4AE2,PI040298AD5I213075,2018-08-21 23:50:42,-1.0,0.1,5.98,21.88
Flower power 4AE2,PI040298AD5I213075,2018-08-22 00:05:42,-1.0,0.1,5.74,21.45
Flower power 4AE2,PI040298AD5I213075,2018-08-22 00:20:42,-1.0,0.1,6.35,21.97
Flower power 4AE2,PI040298AD5I213075,2018-08-22 00:35:42,-1.0,0.1,6.47,22.4
Flower power 4AE2,PI040298AD5I213075,2018-08-22 00:50:42,-1.0,0.1,5.98,21.64
Flower power 4AE2,PI040298AD5I213075,2018-08-22 01:05:42,-1.0,0.1,6.1,20.5
Flower power 4AE2,PI040298AD5I213075,2018-08-22 01:20:42,-1.0,0.1,5.86,19.18
Flower power 4AE2,PI040298AD5I213075,2018-08-22 01:35:42,-1.0,0.1,6.35,18.88
Flower power 4AE2,PI040298AD5I213075,2018-08-22 01:50:42,-1.0,0.1,6.22,18.59
Flower power 4AE2,PI040298AD5I213075,2018-08-22 02:05:42,-1.0,0.1,6.1,18.24
Flower power 4AE2,PI040298AD5I213075,2018-08-22 02:20:42,-1.0,0.1,6.22,17.83
Flower power 4AE2,PI040298AD5I213075,2018-08-22 02:35:42,-1.0,0.1,6.22,17.73
Flower power 4AE2,PI040298AD5I213075,2018-08-22 02:50:42,-1.0,0.1,6.47,17.68
Flower power 4AE2,PI040298AD5I213075,2018-08-22 03:05:42,-1.0,0.1,6.22,17.58
Flower power 4AE2,PI040298AD5I213075,2018-08-22 03:20:42,-1.0,0.1,6.47,17.38
Flower power 4AE2,PI040298AD5I213075,2018-08-22 03:35:42,-1.0,0.1,6.22,17.43
Flower power 4AE2,PI040298AD5I213075,2018-08-22 03:50:42,-1.0,0.1,6.22,17.02
Flower power 4AE2,PI040298AD5I213075,2018-08-22 04:05:42,-1.0,0.1,6.35,16.81
Flower power 4AE2,PI040298AD5I213075,2018-08-22 04:20:42,-1.0,0.1,6.47,16.6
Flower power 4AE2,PI040298AD5I213075,2018-08-22 04:35:42,-1.0,0.1,6.47,16.71
Flower power 4AE2,PI040298AD5I213075,2018-08-22 04:50:42,-1.0,0.1,6.1,16.55
