NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 4EFA,PI040298AD5I212037,2018-08-28 10:10:21,-1.0,17.72,14.02,28.42
Flower power 4EFA,PI040298AD5I212037,2018-08-28 10:25:21,-1.0,18.59,14.02,29.17
Flower power 4EFA,PI040298AD5I212037,2018-08-28 10:40:21,-1.0,19.32,13.78,29.88
Flower power 4EFA,PI040298AD5I212037,2018-08-28 10:55:21,-1.0,99.25,13.9,33.87
Flower power 4EFA,PI040298AD5I212037,2018-08-28 11:10:21,-1.0,149.95,13.9,39.75
Flower power 4EFA,PI040298AD5I212037,2018-08-28 11:25:21,-1.0,137.47,13.9,39.85
Flower power 4EFA,PI040298AD5I212037,2018-08-28 11:40:21,-1.0,131.21,14.15,40.09
Flower power 4EFA,PI040298AD5I212037,2018-08-28 11:55:21,-1.0,158.12,14.4,43.39
Flower power 4EFA,PI040298AD5I212037,2018-08-28 12:10:21,-1.0,158.12,14.15,44.06
Flower power 4EFA,PI040298AD5I212037,2018-08-28 12:25:21,-1.0,158.12,14.15,43.96
Flower power 4EFA,PI040298AD5I212037,2018-08-28 12:40:21,-1.0,158.12,14.02,43.13
Flower power 4EFA,PI040298AD5I212037,2018-08-28 12:55:21,-1.0,158.12,14.02,41.31
Flower power 4EFA,PI040298AD5I212037,2018-08-28 13:10:21,-1.0,158.12,14.4,41.36
Flower power 4EFA,PI040298AD5I212037,2018-08-28 13:25:21,-1.0,156.0,14.27,41.21
Flower power 4EFA,PI040298AD5I212037,2018-08-28 13:40:21,-1.0,153.93,14.52,39.89
Flower power 4EFA,PI040298AD5I212037,2018-08-28 13:55:21,-1.0,149.95,14.4,39.94
Flower power 4EFA,PI040298AD5I212037,2018-08-28 14:10:21,-1.0,134.27,14.65,40.04
Flower power 4EFA,PI040298AD5I212037,2018-08-28 14:25:21,-1.0,139.13,14.4,40.23
Flower power 4EFA,PI040298AD5I212037,2018-08-28 14:40:21,-1.0,134.27,14.27,40.77
Flower power 4EFA,PI040298AD5I212037,2018-08-28 14:55:21,-1.0,128.28,14.4,40.67
Flower power 4EFA,PI040298AD5I212037,2018-08-28 15:10:21,-1.0,121.49,14.27,39.56
Flower power 4EFA,PI040298AD5I212037,2018-08-28 15:25:21,-1.0,115.36,14.65,39.85
Flower power 4EFA,PI040298AD5I212037,2018-08-28 15:40:21,-1.0,108.76,14.4,38.46
Flower power 4EFA,PI040298AD5I212037,2018-08-28 15:55:21,-1.0,100.13,14.89,38.08
Flower power 4EFA,PI040298AD5I212037,2018-08-28 16:10:21,-1.0,89.78,14.4,38.93
Flower power 4EFA,PI040298AD5I212037,2018-08-28 16:25:21,-1.0,81.32,14.65,37.24
Flower power 4EFA,PI040298AD5I212037,2018-08-28 16:40:21,-1.0,72.36,14.27,36.32
Flower power 4EFA,PI040298AD5I212037,2018-08-28 16:55:21,-1.0,64.75,14.4,35.68
Flower power 4EFA,PI040298AD5I212037,2018-08-28 17:10:21,-1.0,59.19,14.77,34.36
