NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 533F,PI040298AD5I213454,2018-08-28 09:52:46,-1.0,111.68,8.44,43.8
Flower power 533F,PI040298AD5I213454,2018-08-28 10:07:46,-1.0,115.99,8.44,45.49
Flower power 533F,PI040298AD5I213454,2018-08-28 10:22:46,-1.0,120.64,8.31,45.82
Flower power 533F,PI040298AD5I213454,2018-08-28 10:37:46,-1.0,125.66,8.44,46.97
Flower power 533F,PI040298AD5I213454,2018-08-28 10:52:46,-1.0,129.71,8.44,48.54
Flower power 533F,PI040298AD5I213454,2018-08-28 11:07:46,-1.0,135.51,8.44,48.37
Flower power 533F,PI040298AD5I213454,2018-08-28 11:22:46,-1.0,138.6,8.31,49.41
Flower power 533F,PI040298AD5I213454,2018-08-28 11:37:46,-1.0,141.83,8.56,49.53
Flower power 533F,PI040298AD5I213454,2018-08-28 11:52:46,-1.0,145.22,8.56,50.06
Flower power 533F,PI040298AD5I213454,2018-08-28 12:07:46,-1.0,146.97,8.82,51.08
Flower power 533F,PI040298AD5I213454,2018-08-28 12:22:46,-1.0,148.76,8.44,51.2
Flower power 533F,PI040298AD5I213454,2018-08-28 12:37:46,-1.0,148.76,8.56,52.3
Flower power 533F,PI040298AD5I213454,2018-08-28 12:52:46,-1.0,148.76,8.95,51.08
Flower power 533F,PI040298AD5I213454,2018-08-28 13:07:46,-1.0,148.76,8.69,51.2
Flower power 533F,PI040298AD5I213454,2018-08-28 13:22:46,-1.0,146.97,8.69,52.18
Flower power 533F,PI040298AD5I213454,2018-08-28 13:37:46,-1.0,146.97,8.82,50.95
Flower power 533F,PI040298AD5I213454,2018-08-28 13:52:46,-1.0,145.22,8.82,50.77
Flower power 533F,PI040298AD5I213454,2018-08-28 14:07:46,-1.0,143.51,8.95,51.32
Flower power 533F,PI040298AD5I213454,2018-08-28 14:22:46,-1.0,140.2,8.95,49.82
Flower power 533F,PI040298AD5I213454,2018-08-28 14:37:46,-1.0,134.01,8.69,48.49
Flower power 533F,PI040298AD5I213454,2018-08-28 14:52:46,-1.0,131.11,8.82,48.49
Flower power 533F,PI040298AD5I213454,2018-08-28 15:07:46,-1.0,97.16,9.07,45.71
Flower power 533F,PI040298AD5I213454,2018-08-28 15:22:46,-1.0,99.59,8.69,45.33
