NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 54AD,PI040298AD5I212982,2018-08-26 09:41:36,-1.0,122.04,9.48,49.3
Flower power 54AD,PI040298AD5I212982,2018-08-26 09:56:36,-1.0,129.74,9.6,51.75
Flower power 54AD,PI040298AD5I212982,2018-08-26 10:11:36,-1.0,135.43,9.6,54.46
Flower power 54AD,PI040298AD5I212982,2018-08-26 10:26:36,-1.0,140.02,9.73,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 10:41:36,-1.0,144.92,10.24,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 10:56:36,-1.0,150.16,10.24,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 11:11:36,-1.0,153.87,10.49,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 11:26:36,-1.0,155.79,10.36,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 11:41:36,-1.0,157.76,10.74,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 11:56:36,-1.0,157.76,10.87,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 12:11:36,-1.0,157.76,10.49,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 12:26:36,-1.0,157.76,10.87,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 12:41:36,-1.0,157.76,10.87,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 12:56:36,-1.0,155.79,11.0,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 13:11:36,-1.0,153.87,11.0,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 13:26:36,-1.0,150.16,11.0,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 13:41:36,-1.0,141.61,11.25,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 13:56:36,-1.0,132.53,11.12,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 14:11:36,-1.0,131.12,11.12,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 14:26:36,-1.0,128.4,11.12,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 14:41:36,-1.0,125.78,10.87,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 14:56:36,-1.0,123.26,10.87,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 15:11:36,-1.0,116.27,11.12,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 15:26:36,-1.0,106.19,11.38,55.0
Flower power 54AD,PI040298AD5I212982,2018-08-26 15:41:36,-1.0,97.68,11.25,52.93
Flower power 54AD,PI040298AD5I212982,2018-08-26 15:56:36,-1.0,75.16,10.87,50.47
Flower power 54AD,PI040298AD5I212982,2018-08-26 16:11:36,-1.0,62.86,10.87,46.97
Flower power 54AD,PI040298AD5I212982,2018-08-26 16:26:36,-1.0,48.58,10.87,48.09
Flower power 54AD,PI040298AD5I212982,2018-08-26 16:41:36,-1.0,46.64,11.12,47.24
Flower power 54AD,PI040298AD5I212982,2018-08-26 16:56:36,-1.0,62.53,11.12,45.38
Flower power 54AD,PI040298AD5I212982,2018-08-26 17:11:36,-1.0,36.96,11.25,40.87
Flower power 54AD,PI040298AD5I212982,2018-08-26 17:26:36,-1.0,9.63,11.12,32.62
Flower power 54AD,PI040298AD5I212982,2018-08-26 17:41:36,-1.0,6.85,11.0,29.17
Flower power 54AD,PI040298AD5I212982,2018-08-26 17:56:36,-1.0,6.01,10.74,28.24
Flower power 54AD,PI040298AD5I212982,2018-08-26 18:11:36,-1.0,4.99,11.0,27.58
