NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 55E3,PI040298AD5I213134,2018-08-25 10:22:52,-1.0,27.52,8.02,42.52
Flower power 55E3,PI040298AD5I213134,2018-08-25 10:37:51,-1.0,33.8,8.02,43.75
Flower power 55E3,PI040298AD5I213134,2018-08-25 10:52:51,-1.0,83.19,8.02,45.87
Flower power 55E3,PI040298AD5I213134,2018-08-25 11:07:51,-1.0,41.01,8.28,45.71
Flower power 55E3,PI040298AD5I213134,2018-08-25 11:22:51,-1.0,22.51,8.15,45.01
Flower power 55E3,PI040298AD5I213134,2018-08-25 11:37:51,-1.0,44.8,8.66,45.28
Flower power 55E3,PI040298AD5I213134,2018-08-25 11:52:51,-1.0,78.32,8.28,48.37
Flower power 55E3,PI040298AD5I213134,2018-08-25 12:07:51,-1.0,39.2,8.28,50.18
Flower power 55E3,PI040298AD5I213134,2018-08-25 12:22:51,-1.0,41.45,8.28,53.3
Flower power 55E3,PI040298AD5I213134,2018-08-25 12:37:51,-1.0,148.81,8.79,55.0
Flower power 55E3,PI040298AD5I213134,2018-08-25 12:52:51,-1.0,102.06,8.53,55.0
Flower power 55E3,PI040298AD5I213134,2018-08-25 13:07:51,-1.0,20.61,8.4,47.24
Flower power 55E3,PI040298AD5I213134,2018-08-25 13:22:51,-1.0,70.09,8.92,45.82
Flower power 55E3,PI040298AD5I213134,2018-08-25 13:37:51,-1.0,23.36,9.05,46.3
Flower power 55E3,PI040298AD5I213134,2018-08-25 13:52:51,-1.0,77.32,8.66,45.55
Flower power 55E3,PI040298AD5I213134,2018-08-25 14:07:51,-1.0,77.32,8.79,49.7
Flower power 55E3,PI040298AD5I213134,2018-08-25 14:22:51,-1.0,52.19,8.66,44.11
Flower power 55E3,PI040298AD5I213134,2018-08-25 14:37:51,-1.0,30.63,8.66,37.85
Flower power 55E3,PI040298AD5I213134,2018-08-25 14:52:51,-1.0,16.2,8.79,35.36
Flower power 55E3,PI040298AD5I213134,2018-08-25 15:07:51,-1.0,16.35,9.18,35.13
Flower power 55E3,PI040298AD5I213134,2018-08-25 15:22:51,-1.0,14.02,8.92,34.59
Flower power 55E3,PI040298AD5I213134,2018-08-25 15:37:51,-1.0,16.2,8.92,33.11
Flower power 55E3,PI040298AD5I213134,2018-08-25 15:52:51,-1.0,11.96,8.79,32.53
Flower power 55E3,PI040298AD5I213134,2018-08-25 16:07:51,-1.0,16.67,9.05,32.36
Flower power 55E3,PI040298AD5I213134,2018-08-25 16:22:51,-1.0,10.88,9.05,31.65
Flower power 55E3,PI040298AD5I213134,2018-08-25 16:37:51,-1.0,10.38,8.92,31.25
Flower power 55E3,PI040298AD5I213134,2018-08-25 16:52:51,-1.0,10.11,8.92,30.76
Flower power 55E3,PI040298AD5I213134,2018-08-25 17:07:51,-1.0,9.02,9.05,30.67
Flower power 55E3,PI040298AD5I213134,2018-08-25 17:22:51,-1.0,8.34,9.18,30.28
Flower power 55E3,PI040298AD5I213134,2018-08-25 17:37:51,-1.0,7.57,8.92,29.88
Flower power 55E3,PI040298AD5I213134,2018-08-25 17:52:51,-1.0,6.64,8.92,29.26
Flower power 55E3,PI040298AD5I213134,2018-08-25 18:07:51,-1.0,5.58,8.92,28.24
Flower power 55E3,PI040298AD5I213134,2018-08-25 18:22:51,-1.0,4.35,9.18,27.18
Flower power 55E3,PI040298AD5I213134,2018-08-25 18:37:51,-1.0,2.99,9.05,25.83
Flower power 55E3,PI040298AD5I213134,2018-08-25 18:52:51,-1.0,1.68,9.18,24.66
Flower power 55E3,PI040298AD5I213134,2018-08-25 19:07:49,-1.0,0.58,8.66,23.83
Flower power 55E3,PI040298AD5I213134,2018-08-25 19:22:49,-1.0,0.1,9.31,23.0
Flower power 55E3,PI040298AD5I213134,2018-08-25 19:37:49,-1.0,0.1,8.66,22.49
Flower power 55E3,PI040298AD5I213134,2018-08-25 19:52:49,-1.0,0.1,9.05,22.58
Flower power 55E3,PI040298AD5I213134,2018-08-25 20:07:49,-1.0,0.1,9.31,22.02
Flower power 55E3,PI040298AD5I213134,2018-08-25 20:22:49,-1.0,0.1,8.92,21.83
Flower power 55E3,PI040298AD5I213134,2018-08-25 20:37:49,-1.0,0.1,9.18,21.97
Flower power 55E3,PI040298AD5I213134,2018-08-25 20:52:49,-1.0,0.1,9.18,21.41
Flower power 55E3,PI040298AD5I213134,2018-08-25 21:07:49,-1.0,0.1,9.18,20.74
Flower power 55E3,PI040298AD5I213134,2018-08-25 21:22:49,-1.0,0.1,9.18,20.3
Flower power 55E3,PI040298AD5I213134,2018-08-25 21:37:49,-1.0,0.1,9.05,20.45
Flower power 55E3,PI040298AD5I213134,2018-08-25 21:52:49,-1.0,0.1,8.92,20.35
Flower power 55E3,PI040298AD5I213134,2018-08-25 22:07:49,-1.0,0.1,9.31,20.26
Flower power 55E3,PI040298AD5I213134,2018-08-25 22:22:49,-1.0,0.1,9.31,19.82
Flower power 55E3,PI040298AD5I213134,2018-08-25 22:37:49,-1.0,0.1,9.44,19.96
Flower power 55E3,PI040298AD5I213134,2018-08-25 22:52:49,-1.0,0.1,9.44,19.77
Flower power 55E3,PI040298AD5I213134,2018-08-25 23:07:49,-1.0,0.1,8.92,19.62
Flower power 55E3,PI040298AD5I213134,2018-08-25 23:22:49,-1.0,0.1,9.31,19.08
Flower power 55E3,PI040298AD5I213134,2018-08-25 23:37:49,-1.0,0.1,9.18,19.03
Flower power 55E3,PI040298AD5I213134,2018-08-25 23:52:49,-1.0,0.1,9.18,18.59
Flower power 55E3,PI040298AD5I213134,2018-08-26 00:07:49,-1.0,0.1,9.44,18.34
Flower power 55E3,PI040298AD5I213134,2018-08-26 00:22:49,-1.0,0.1,9.05,18.29
Flower power 55E3,PI040298AD5I213134,2018-08-26 00:37:49,-1.0,0.1,9.31,17.83
Flower power 55E3,PI040298AD5I213134,2018-08-26 00:52:49,-1.0,0.1,9.44,17.93
Flower power 55E3,PI040298AD5I213134,2018-08-26 01:07:49,-1.0,0.1,9.18,17.88
Flower power 55E3,PI040298AD5I213134,2018-08-26 01:22:49,-1.0,0.1,9.44,17.78
Flower power 55E3,PI040298AD5I213134,2018-08-26 01:37:49,-1.0,0.1,8.92,17.63
Flower power 55E3,PI040298AD5I213134,2018-08-26 01:52:49,-1.0,0.1,8.79,17.48
Flower power 55E3,PI040298AD5I213134,2018-08-26 02:07:49,-1.0,0.1,9.18,17.22
Flower power 55E3,PI040298AD5I213134,2018-08-26 02:22:49,-1.0,0.1,8.79,17.02
Flower power 55E3,PI040298AD5I213134,2018-08-26 02:37:49,-1.0,0.1,9.18,17.02
Flower power 55E3,PI040298AD5I213134,2018-08-26 02:52:49,-1.0,0.1,9.18,16.66
Flower power 55E3,PI040298AD5I213134,2018-08-26 03:07:49,-1.0,0.1,9.44,16.45
Flower power 55E3,PI040298AD5I213134,2018-08-26 03:22:49,-1.0,0.1,9.44,16.45
Flower power 55E3,PI040298AD5I213134,2018-08-26 03:37:49,-1.0,0.1,9.18,16.24
Flower power 55E3,PI040298AD5I213134,2018-08-26 03:52:49,-1.0,0.1,8.92,16.55
Flower power 55E3,PI040298AD5I213134,2018-08-26 04:07:49,-1.0,0.1,9.18,16.4
Flower power 55E3,PI040298AD5I213134,2018-08-26 04:22:49,-1.0,0.1,9.18,16.4
Flower power 55E3,PI040298AD5I213134,2018-08-26 04:37:49,-1.0,0.1,9.18,16.14
Flower power 55E3,PI040298AD5I213134,2018-08-26 04:52:49,-1.0,0.1,9.05,16.08
Flower power 55E3,PI040298AD5I213134,2018-08-26 05:07:49,-1.0,0.1,9.05,15.66
Flower power 55E3,PI040298AD5I213134,2018-08-26 05:22:49,-1.0,0.1,9.18,15.87
Flower power 55E3,PI040298AD5I213134,2018-08-26 05:37:49,-1.0,0.1,8.92,16.19
Flower power 55E3,PI040298AD5I213134,2018-08-26 05:52:49,-1.0,0.14,9.31,16.24
Flower power 55E3,PI040298AD5I213134,2018-08-26 06:07:49,-1.0,0.77,9.31,16.55
Flower power 55E3,PI040298AD5I213134,2018-08-26 06:22:41,-1.0,2.05,9.18,17.32
Flower power 55E3,PI040298AD5I213134,2018-08-26 06:37:41,-1.0,3.56,8.92,18.54
Flower power 55E3,PI040298AD5I213134,2018-08-26 06:52:41,-1.0,5.14,9.44,19.92
