NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 57E5,PI040298AD5I214090,2018-08-21 11:58:43,-1.0,25.58,12.68,38.55
Flower power 57E5,PI040298AD5I214090,2018-08-21 12:13:43,-1.0,122.02,12.68,45.06
Flower power 57E5,PI040298AD5I214090,2018-08-21 12:28:43,-1.0,145.4,12.94,50.18
Flower power 57E5,PI040298AD5I214090,2018-08-21 12:43:43,-1.0,150.79,13.06,51.5
Flower power 57E5,PI040298AD5I214090,2018-08-21 12:58:43,-1.0,152.67,13.19,51.68
Flower power 57E5,PI040298AD5I214090,2018-08-21 13:13:43,-1.0,152.67,12.94,52.93
Flower power 57E5,PI040298AD5I214090,2018-08-21 13:28:43,-1.0,150.79,13.06,53.69
Flower power 57E5,PI040298AD5I214090,2018-08-21 13:43:43,-1.0,148.95,12.94,53.69
Flower power 57E5,PI040298AD5I214090,2018-08-21 13:58:43,-1.0,147.16,13.44,53.81
Flower power 57E5,PI040298AD5I214090,2018-08-21 14:13:43,-1.0,143.69,13.57,53.56
Flower power 57E5,PI040298AD5I214090,2018-08-21 14:28:43,-1.0,140.38,13.06,51.81
Flower power 57E5,PI040298AD5I214090,2018-08-21 14:43:43,-1.0,135.68,13.32,52.93
Flower power 57E5,PI040298AD5I214090,2018-08-21 14:58:43,-1.0,131.28,13.19,54.07
Flower power 57E5,PI040298AD5I214090,2018-08-21 15:13:43,-1.0,124.53,13.44,51.38
Flower power 57E5,PI040298AD5I214090,2018-08-21 15:28:43,-1.0,117.27,13.7,51.02
Flower power 57E5,PI040298AD5I214090,2018-08-21 15:43:43,-1.0,110.79,13.7,51.38
Flower power 57E5,PI040298AD5I214090,2018-08-21 15:58:43,-1.0,103.17,13.44,48.95
Flower power 57E5,PI040298AD5I214090,2018-08-21 16:13:43,-1.0,93.47,13.82,47.86
Flower power 57E5,PI040298AD5I214090,2018-08-21 16:28:43,-1.0,84.18,13.44,47.3
Flower power 57E5,PI040298AD5I214090,2018-08-21 16:43:43,-1.0,76.04,13.44,46.58
Flower power 57E5,PI040298AD5I214090,2018-08-21 16:58:43,-1.0,68.08,13.57,46.36
Flower power 57E5,PI040298AD5I214090,2018-08-21 17:13:43,-1.0,62.26,13.7,46.14
Flower power 57E5,PI040298AD5I214090,2018-08-21 17:28:43,-1.0,52.87,13.82,43.64
Flower power 57E5,PI040298AD5I214090,2018-08-21 17:43:43,-1.0,39.93,13.44,43.08
Flower power 57E5,PI040298AD5I214090,2018-08-21 17:58:43,-1.0,32.08,13.57,41.16
Flower power 57E5,PI040298AD5I214090,2018-08-21 18:13:43,-1.0,24.89,13.82,38.37
Flower power 57E5,PI040298AD5I214090,2018-08-21 18:28:43,-1.0,16.87,13.82,36.5
Flower power 57E5,PI040298AD5I214090,2018-08-21 18:43:43,-1.0,8.96,13.82,33.65
Flower power 57E5,PI040298AD5I214090,2018-08-21 18:58:43,-1.0,3.08,13.7,29.3
Flower power 57E5,PI040298AD5I214090,2018-08-21 19:13:43,-1.0,0.95,13.57,27.76
Flower power 57E5,PI040298AD5I214090,2018-08-21 19:28:43,-1.0,0.13,13.57,26.95
Flower power 57E5,PI040298AD5I214090,2018-08-21 19:43:43,-1.0,0.1,13.44,26.42
Flower power 57E5,PI040298AD5I214090,2018-08-21 19:58:43,-1.0,0.1,13.57,26.15
Flower power 57E5,PI040298AD5I214090,2018-08-21 20:13:43,-1.0,0.1,13.82,25.61
Flower power 57E5,PI040298AD5I214090,2018-08-21 20:28:43,-1.0,0.1,13.57,25.34
Flower power 57E5,PI040298AD5I214090,2018-08-21 20:43:43,-1.0,0.1,13.44,25.11
Flower power 57E5,PI040298AD5I214090,2018-08-21 20:58:43,-1.0,0.1,13.82,25.02
Flower power 57E5,PI040298AD5I214090,2018-08-21 21:13:43,-1.0,0.1,13.7,25.07
Flower power 57E5,PI040298AD5I214090,2018-08-21 21:28:43,-1.0,0.1,13.82,25.02
Flower power 57E5,PI040298AD5I214090,2018-08-21 21:43:43,-1.0,0.1,13.7,24.98
Flower power 57E5,PI040298AD5I214090,2018-08-21 21:58:43,-1.0,0.1,13.57,24.93
Flower power 57E5,PI040298AD5I214090,2018-08-21 22:13:43,-1.0,0.1,13.57,24.98
Flower power 57E5,PI040298AD5I214090,2018-08-21 22:28:43,-1.0,0.1,13.57,25.07
Flower power 57E5,PI040298AD5I214090,2018-08-21 22:43:43,-1.0,0.1,13.44,24.7
Flower power 57E5,PI040298AD5I214090,2018-08-21 22:58:43,-1.0,0.1,13.44,24.06
Flower power 57E5,PI040298AD5I214090,2018-08-21 23:13:43,-1.0,0.1,13.32,24.06
Flower power 57E5,PI040298AD5I214090,2018-08-21 23:28:43,-1.0,0.1,13.57,23.79
Flower power 57E5,PI040298AD5I214090,2018-08-21 23:43:43,-1.0,0.1,13.19,23.65
Flower power 57E5,PI040298AD5I214090,2018-08-21 23:58:43,-1.0,0.1,13.57,23.65
Flower power 57E5,PI040298AD5I214090,2018-08-22 00:13:43,-1.0,0.1,13.44,23.93
Flower power 57E5,PI040298AD5I214090,2018-08-22 00:28:43,-1.0,0.1,13.19,24.11
Flower power 57E5,PI040298AD5I214090,2018-08-22 00:43:43,-1.0,0.1,13.32,23.6
Flower power 57E5,PI040298AD5I214090,2018-08-22 00:58:43,-1.0,0.1,13.57,23.05
Flower power 57E5,PI040298AD5I214090,2018-08-22 01:13:43,-1.0,0.1,13.57,21.26
Flower power 57E5,PI040298AD5I214090,2018-08-22 01:28:43,-1.0,0.1,13.44,20.93
Flower power 57E5,PI040298AD5I214090,2018-08-22 01:43:43,-1.0,0.1,13.44,20.69
Flower power 57E5,PI040298AD5I214090,2018-08-22 01:58:43,-1.0,0.1,13.57,20.5
Flower power 57E5,PI040298AD5I214090,2018-08-22 02:13:43,-1.0,0.1,13.57,20.5
Flower power 57E5,PI040298AD5I214090,2018-08-22 02:28:43,-1.0,0.1,13.44,20.11
Flower power 57E5,PI040298AD5I214090,2018-08-22 02:43:43,-1.0,0.1,13.32,19.92
Flower power 57E5,PI040298AD5I214090,2018-08-22 02:58:43,-1.0,0.1,13.7,19.87
Flower power 57E5,PI040298AD5I214090,2018-08-22 03:13:43,-1.0,0.1,13.44,19.87
