NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 58DD,PI040298AD5I213561,2018-08-25 17:54:43,-1.0,20.92,14.08,31.69
Flower power 58DD,PI040298AD5I213561,2018-08-25 18:09:43,-1.0,12.93,14.08,29.61
Flower power 58DD,PI040298AD5I213561,2018-08-25 18:24:43,-1.0,9.53,13.96,28.07
Flower power 58DD,PI040298AD5I213561,2018-08-25 18:39:43,-1.0,6.37,14.45,27.04
Flower power 58DD,PI040298AD5I213561,2018-08-25 18:54:43,-1.0,3.26,14.21,25.74
Flower power 58DD,PI040298AD5I213561,2018-08-25 19:09:43,-1.0,0.99,14.08,24.93
Flower power 58DD,PI040298AD5I213561,2018-08-25 19:24:43,-1.0,0.1,14.45,24.2
Flower power 58DD,PI040298AD5I213561,2018-08-25 19:39:43,-1.0,0.1,14.45,24.02
Flower power 58DD,PI040298AD5I213561,2018-08-25 19:54:43,-1.0,0.1,14.08,23.88
Flower power 58DD,PI040298AD5I213561,2018-08-25 20:09:43,-1.0,0.1,14.45,23.42
Flower power 58DD,PI040298AD5I213561,2018-08-25 20:24:43,-1.0,0.1,14.45,23.51
Flower power 58DD,PI040298AD5I213561,2018-08-25 20:39:43,-1.0,0.1,14.33,23.19
Flower power 58DD,PI040298AD5I213561,2018-08-25 20:54:43,-1.0,0.1,14.21,23.14
Flower power 58DD,PI040298AD5I213561,2018-08-25 21:09:43,-1.0,0.1,14.45,22.68
Flower power 58DD,PI040298AD5I213561,2018-08-25 21:24:43,-1.0,0.1,14.45,22.54
Flower power 58DD,PI040298AD5I213561,2018-08-25 21:39:43,-1.0,0.1,14.58,22.21
Flower power 58DD,PI040298AD5I213561,2018-08-25 21:54:43,-1.0,0.1,14.21,22.35
Flower power 58DD,PI040298AD5I213561,2018-08-25 22:09:43,-1.0,0.1,14.58,22.35
Flower power 58DD,PI040298AD5I213561,2018-08-25 22:24:43,-1.0,0.1,14.45,21.69
Flower power 58DD,PI040298AD5I213561,2018-08-25 22:39:43,-1.0,0.1,14.58,21.45
Flower power 58DD,PI040298AD5I213561,2018-08-25 22:54:43,-1.0,0.1,14.58,21.79
Flower power 58DD,PI040298AD5I213561,2018-08-25 23:09:43,-1.0,0.1,14.58,21.31
Flower power 58DD,PI040298AD5I213561,2018-08-25 23:24:43,-1.0,0.1,14.33,20.79
Flower power 58DD,PI040298AD5I213561,2018-08-25 23:39:43,-1.0,0.1,14.45,20.5
Flower power 58DD,PI040298AD5I213561,2018-08-25 23:54:43,-1.0,0.1,14.45,20.45
Flower power 58DD,PI040298AD5I213561,2018-08-26 00:09:43,-1.0,0.1,14.45,19.87
Flower power 58DD,PI040298AD5I213561,2018-08-26 00:24:43,-1.0,0.1,14.21,19.77
Flower power 58DD,PI040298AD5I213561,2018-08-26 00:39:43,-1.0,0.1,14.45,19.53
Flower power 58DD,PI040298AD5I213561,2018-08-26 00:54:43,-1.0,0.1,14.45,19.96
Flower power 58DD,PI040298AD5I213561,2018-08-26 01:09:43,-1.0,0.1,14.33,19.96
Flower power 58DD,PI040298AD5I213561,2018-08-26 01:24:43,-1.0,0.1,14.21,19.87
Flower power 58DD,PI040298AD5I213561,2018-08-26 01:39:43,-1.0,0.1,14.21,18.24
Flower power 58DD,PI040298AD5I213561,2018-08-26 01:54:43,-1.0,0.1,14.33,18.93
