NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 59FF,PI040298AD5I209484,2018-08-16 18:32:28,-1.0,4.19,11.1,24.57
Flower power 59FF,PI040298AD5I209484,2018-08-16 18:47:28,-1.0,2.91,11.23,23.93
Flower power 59FF,PI040298AD5I209484,2018-08-16 19:02:28,-1.0,1.6,11.36,23.19
Flower power 59FF,PI040298AD5I209484,2018-08-16 19:17:28,-1.0,0.56,11.23,22.96
Flower power 59FF,PI040298AD5I209484,2018-08-16 19:32:28,-1.0,0.1,11.36,22.3
Flower power 59FF,PI040298AD5I209484,2018-08-16 19:47:28,-1.0,0.1,11.23,21.88
Flower power 59FF,PI040298AD5I209484,2018-08-16 20:02:28,-1.0,0.1,11.1,21.26
Flower power 59FF,PI040298AD5I209484,2018-08-16 20:17:28,-1.0,0.1,11.1,21.07
Flower power 59FF,PI040298AD5I209484,2018-08-16 20:32:28,-1.0,0.1,10.72,20.93
Flower power 59FF,PI040298AD5I209484,2018-08-16 20:47:28,-1.0,0.1,10.97,20.74
Flower power 59FF,PI040298AD5I209484,2018-08-16 21:02:28,-1.0,0.1,10.97,20.5
Flower power 59FF,PI040298AD5I209484,2018-08-16 21:17:28,-1.0,0.1,10.97,20.11
Flower power 59FF,PI040298AD5I209484,2018-08-16 21:32:28,-1.0,0.1,10.59,20.21
Flower power 59FF,PI040298AD5I209484,2018-08-16 21:47:28,-1.0,0.1,11.23,19.96
Flower power 59FF,PI040298AD5I209484,2018-08-16 22:02:28,-1.0,0.1,11.1,19.82
Flower power 59FF,PI040298AD5I209484,2018-08-16 22:17:28,-1.0,0.1,10.59,19.77
Flower power 59FF,PI040298AD5I209484,2018-08-16 22:32:28,-1.0,0.1,11.23,19.72
Flower power 59FF,PI040298AD5I209484,2018-08-16 22:47:28,-1.0,0.1,10.72,19.72
Flower power 59FF,PI040298AD5I209484,2018-08-16 23:02:28,-1.0,0.1,10.72,19.57
Flower power 59FF,PI040298AD5I209484,2018-08-16 23:17:28,-1.0,0.1,10.97,19.23
Flower power 59FF,PI040298AD5I209484,2018-08-16 23:32:28,-1.0,0.1,11.1,19.28
Flower power 59FF,PI040298AD5I209484,2018-08-16 23:47:28,-1.0,0.1,10.97,19.38
Flower power 59FF,PI040298AD5I209484,2018-08-17 00:02:28,-1.0,0.1,10.97,19.28
Flower power 59FF,PI040298AD5I209484,2018-08-17 00:17:28,-1.0,0.1,10.72,17.88
Flower power 59FF,PI040298AD5I209484,2018-08-17 00:32:28,-1.0,0.1,10.59,17.32
Flower power 59FF,PI040298AD5I209484,2018-08-17 00:47:28,-1.0,0.1,10.46,17.22
Flower power 59FF,PI040298AD5I209484,2018-08-17 01:02:28,-1.0,0.1,11.23,18.24
Flower power 59FF,PI040298AD5I209484,2018-08-17 01:17:28,-1.0,0.1,10.97,18.69
Flower power 59FF,PI040298AD5I209484,2018-08-17 01:32:28,-1.0,0.1,10.97,18.49
Flower power 59FF,PI040298AD5I209484,2018-08-17 01:47:28,-1.0,0.1,10.97,18.29
Flower power 59FF,PI040298AD5I209484,2018-08-17 02:02:28,-1.0,0.1,10.46,18.29
Flower power 59FF,PI040298AD5I209484,2018-08-17 02:17:28,-1.0,0.1,11.23,18.13
Flower power 59FF,PI040298AD5I209484,2018-08-17 02:32:28,-1.0,0.1,10.97,17.63
Flower power 59FF,PI040298AD5I209484,2018-08-17 02:47:28,-1.0,0.1,10.85,17.07
Flower power 59FF,PI040298AD5I209484,2018-08-17 03:02:28,-1.0,0.1,10.72,16.19
Flower power 59FF,PI040298AD5I209484,2018-08-17 03:17:28,-1.0,0.1,10.97,16.45
Flower power 59FF,PI040298AD5I209484,2018-08-17 03:32:28,-1.0,0.1,10.72,16.97
Flower power 59FF,PI040298AD5I209484,2018-08-17 03:47:28,-1.0,0.1,10.85,16.55
Flower power 59FF,PI040298AD5I209484,2018-08-17 04:02:28,-1.0,0.1,10.33,15.98
Flower power 59FF,PI040298AD5I209484,2018-08-17 04:17:28,-1.0,0.1,11.1,16.91
Flower power 59FF,PI040298AD5I209484,2018-08-17 04:32:28,-1.0,0.1,10.85,17.43
Flower power 59FF,PI040298AD5I209484,2018-08-17 04:47:28,-1.0,0.1,10.85,17.27
