NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5B8B,PI040298AD5I211603,2018-08-21 11:43:15,-1.0,156.83,8.41,46.63
Flower power 5B8B,PI040298AD5I211603,2018-08-21 11:58:15,-1.0,158.14,8.79,46.91
Flower power 5B8B,PI040298AD5I211603,2018-08-21 12:13:15,-1.0,159.47,9.05,46.2
Flower power 5B8B,PI040298AD5I211603,2018-08-21 12:28:15,-1.0,162.2,9.05,46.91
Flower power 5B8B,PI040298AD5I211603,2018-08-21 12:43:15,-1.0,160.82,9.05,48.14
Flower power 5B8B,PI040298AD5I211603,2018-08-21 12:58:15,-1.0,162.2,9.18,49.41
Flower power 5B8B,PI040298AD5I211603,2018-08-21 13:13:15,-1.0,159.47,9.05,47.97
Flower power 5B8B,PI040298AD5I211603,2018-08-21 13:28:15,-1.0,158.14,8.92,48.32
Flower power 5B8B,PI040298AD5I211603,2018-08-21 13:43:15,-1.0,156.83,9.18,48.2
Flower power 5B8B,PI040298AD5I211603,2018-08-21 13:58:15,-1.0,154.27,8.92,48.2
Flower power 5B8B,PI040298AD5I211603,2018-08-21 14:13:15,-1.0,149.39,9.3,48.09
Flower power 5B8B,PI040298AD5I211603,2018-08-21 14:28:15,-1.0,145.92,9.43,47.52
Flower power 5B8B,PI040298AD5I211603,2018-08-21 14:43:15,-1.0,140.48,9.3,47.47
Flower power 5B8B,PI040298AD5I211603,2018-08-21 14:58:15,-1.0,136.4,9.05,47.8
Flower power 5B8B,PI040298AD5I211603,2018-08-21 15:13:15,-1.0,128.89,9.3,46.25
Flower power 5B8B,PI040298AD5I211603,2018-08-21 15:28:15,-1.0,120.57,9.43,46.36
Flower power 5B8B,PI040298AD5I211603,2018-08-21 15:43:15,-1.0,113.24,9.3,45.12
Flower power 5B8B,PI040298AD5I211603,2018-08-21 15:58:15,-1.0,103.73,9.43,45.01
Flower power 5B8B,PI040298AD5I211603,2018-08-21 16:13:15,-1.0,95.16,9.05,44.74
Flower power 5B8B,PI040298AD5I211603,2018-08-21 16:28:15,-1.0,86.22,9.05,42.62
Flower power 5B8B,PI040298AD5I211603,2018-08-21 16:43:15,-1.0,79.46,9.43,42.92
Flower power 5B8B,PI040298AD5I211603,2018-08-21 16:58:15,-1.0,72.19,9.18,42.26
Flower power 5B8B,PI040298AD5I211603,2018-08-21 17:13:15,-1.0,65.87,9.43,42.52
Flower power 5B8B,PI040298AD5I211603,2018-08-21 17:28:15,-1.0,55.13,9.3,40.82
Flower power 5B8B,PI040298AD5I211603,2018-08-21 17:43:15,-1.0,42.85,9.43,39.89
Flower power 5B8B,PI040298AD5I211603,2018-08-21 17:58:15,-1.0,34.4,9.43,37.33
Flower power 5B8B,PI040298AD5I211603,2018-08-21 18:13:15,-1.0,27.06,9.18,36.41
Flower power 5B8B,PI040298AD5I211603,2018-08-21 18:28:15,-1.0,14.48,9.43,34.05
Flower power 5B8B,PI040298AD5I211603,2018-08-21 18:43:15,-1.0,7.81,8.92,29.35
Flower power 5B8B,PI040298AD5I211603,2018-08-21 18:58:15,-1.0,3.97,9.3,27.89
Flower power 5B8B,PI040298AD5I211603,2018-08-21 19:13:15,-1.0,1.29,8.92,26.46
Flower power 5B8B,PI040298AD5I211603,2018-08-21 19:28:15,-1.0,0.1,9.43,25.7
Flower power 5B8B,PI040298AD5I211603,2018-08-21 19:43:15,-1.0,0.1,9.43,25.02
Flower power 5B8B,PI040298AD5I211603,2018-08-21 19:58:15,-1.0,0.1,8.79,24.79
Flower power 5B8B,PI040298AD5I211603,2018-08-21 20:13:15,-1.0,0.1,9.18,24.25
Flower power 5B8B,PI040298AD5I211603,2018-08-21 20:28:15,-1.0,0.1,9.18,23.93
Flower power 5B8B,PI040298AD5I211603,2018-08-21 20:43:15,-1.0,0.1,9.05,23.74
Flower power 5B8B,PI040298AD5I211603,2018-08-21 20:58:15,-1.0,0.1,9.05,23.47
Flower power 5B8B,PI040298AD5I211603,2018-08-21 21:13:15,-1.0,0.1,9.3,23.56
Flower power 5B8B,PI040298AD5I211603,2018-08-21 21:28:15,-1.0,0.1,8.92,23.56
Flower power 5B8B,PI040298AD5I211603,2018-08-21 21:43:15,-1.0,0.1,9.05,23.51
Flower power 5B8B,PI040298AD5I211603,2018-08-21 21:58:15,-1.0,0.1,8.92,23.37
Flower power 5B8B,PI040298AD5I211603,2018-08-21 22:13:15,-1.0,0.1,8.92,23.42
Flower power 5B8B,PI040298AD5I211603,2018-08-21 22:28:15,-1.0,0.1,9.05,23.65
Flower power 5B8B,PI040298AD5I211603,2018-08-21 22:43:15,-1.0,0.1,9.05,23.19
Flower power 5B8B,PI040298AD5I211603,2018-08-21 22:58:15,-1.0,0.1,9.18,22.63
Flower power 5B8B,PI040298AD5I211603,2018-08-21 23:13:15,-1.0,0.1,9.05,22.49
Flower power 5B8B,PI040298AD5I211603,2018-08-21 23:28:15,-1.0,0.1,9.18,22.49
Flower power 5B8B,PI040298AD5I211603,2018-08-21 23:43:15,-1.0,0.1,9.3,22.26
