NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5D52,PI040298AD5I214027,2018-08-25 18:31:07,-1.0,10.64,9.95,30.32
Flower power 5D52,PI040298AD5I214027,2018-08-25 18:46:07,-1.0,3.83,10.08,27.18
Flower power 5D52,PI040298AD5I214027,2018-08-25 19:01:07,-1.0,1.61,9.83,26.24
Flower power 5D52,PI040298AD5I214027,2018-08-25 19:16:07,-1.0,0.35,10.08,25.29
Flower power 5D52,PI040298AD5I214027,2018-08-25 19:31:07,-1.0,0.1,10.47,24.89
Flower power 5D52,PI040298AD5I214027,2018-08-25 19:46:07,-1.0,0.1,10.08,24.7
Flower power 5D52,PI040298AD5I214027,2018-08-25 20:01:07,-1.0,0.1,10.21,24.66
Flower power 5D52,PI040298AD5I214027,2018-08-25 20:16:07,-1.0,0.1,10.08,24.38
Flower power 5D52,PI040298AD5I214027,2018-08-25 20:31:07,-1.0,0.1,10.21,24.75
Flower power 5D52,PI040298AD5I214027,2018-08-25 20:46:07,-1.0,0.1,10.21,24.34
Flower power 5D52,PI040298AD5I214027,2018-08-25 21:01:07,-1.0,0.1,10.47,24.2
Flower power 5D52,PI040298AD5I214027,2018-08-25 21:16:07,-1.0,0.1,9.95,23.88
Flower power 5D52,PI040298AD5I214027,2018-08-25 21:31:07,-1.0,0.1,10.47,23.93
Flower power 5D52,PI040298AD5I214027,2018-08-25 21:46:07,-1.0,0.1,10.08,23.65
Flower power 5D52,PI040298AD5I214027,2018-08-25 22:01:07,-1.0,0.1,9.95,23.88
Flower power 5D52,PI040298AD5I214027,2018-08-25 22:16:07,-1.0,0.1,10.21,23.37
Flower power 5D52,PI040298AD5I214027,2018-08-25 22:31:07,-1.0,0.1,9.83,23.28
Flower power 5D52,PI040298AD5I214027,2018-08-25 22:46:07,-1.0,0.1,9.7,23.19
Flower power 5D52,PI040298AD5I214027,2018-08-25 23:01:07,-1.0,0.1,10.21,23.14
