NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5F14,PI040298AD5I212921,2018-08-25 10:46:03,-1.0,145.8,14.75,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 11:01:03,-1.0,155.02,15.01,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 11:16:03,-1.0,157.01,14.88,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 11:31:03,-1.0,157.01,15.26,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 11:46:03,-1.0,157.01,15.26,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 12:01:03,-1.0,157.01,15.51,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 12:16:03,-1.0,157.01,15.26,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 12:31:03,-1.0,155.02,15.26,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 12:46:03,-1.0,153.09,15.26,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 13:01:03,-1.0,149.36,15.39,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 13:16:03,-1.0,145.8,15.77,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 13:31:03,-1.0,140.77,15.77,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 13:46:03,-1.0,134.55,15.89,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 14:01:03,-1.0,130.23,15.77,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 14:16:03,-1.0,107.14,15.89,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 14:31:03,-1.0,102.56,15.51,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 14:46:03,-1.0,89.5,15.77,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 15:01:03,-1.0,103.45,15.89,54.2
Flower power 5F14,PI040298AD5I212921,2018-08-25 15:16:03,-1.0,84.41,15.89,52.24
Flower power 5F14,PI040298AD5I212921,2018-08-25 15:31:03,-1.0,86.88,15.77,51.02
Flower power 5F14,PI040298AD5I212921,2018-08-25 15:46:03,-1.0,73.39,15.89,49.3
Flower power 5F14,PI040298AD5I212921,2018-08-25 16:01:03,-1.0,68.67,15.77,48.32
Flower power 5F14,PI040298AD5I212921,2018-08-25 16:16:03,-1.0,47.15,15.64,45.76
Flower power 5F14,PI040298AD5I212921,2018-08-25 16:31:03,-1.0,40.76,16.14,44.43
Flower power 5F14,PI040298AD5I212921,2018-08-25 16:45:59,-1.0,35.97,15.89,40.67
Flower power 5F14,PI040298AD5I212921,2018-08-25 17:00:59,-1.0,28.77,15.64,38.55
Flower power 5F14,PI040298AD5I212921,2018-08-25 17:15:59,-1.0,19.75,15.89,36.0
Flower power 5F14,PI040298AD5I212921,2018-08-25 17:30:59,-1.0,18.77,15.51,33.96
Flower power 5F14,PI040298AD5I212921,2018-08-25 17:45:59,-1.0,11.11,16.02,31.82
Flower power 5F14,PI040298AD5I212921,2018-08-25 18:00:59,-1.0,7.84,15.64,29.7
Flower power 5F14,PI040298AD5I212921,2018-08-25 18:15:59,-1.0,6.37,16.14,28.02
Flower power 5F14,PI040298AD5I212921,2018-08-25 18:30:59,-1.0,4.83,15.64,26.73
Flower power 5F14,PI040298AD5I212921,2018-08-25 18:45:59,-1.0,3.09,16.14,25.61
Flower power 5F14,PI040298AD5I212921,2018-08-25 19:00:59,-1.0,1.39,15.89,24.43
Flower power 5F14,PI040298AD5I212921,2018-08-25 19:15:59,-1.0,0.32,15.77,23.7
Flower power 5F14,PI040298AD5I212921,2018-08-25 19:30:59,-1.0,0.1,16.02,23.1
Flower power 5F14,PI040298AD5I212921,2018-08-25 19:45:59,-1.0,0.1,15.89,22.77
Flower power 5F14,PI040298AD5I212921,2018-08-25 20:00:59,-1.0,0.1,15.89,22.54
Flower power 5F14,PI040298AD5I212921,2018-08-25 20:15:59,-1.0,0.1,15.89,22.3
Flower power 5F14,PI040298AD5I212921,2018-08-25 20:30:59,-1.0,0.1,15.77,22.3
Flower power 5F14,PI040298AD5I212921,2018-08-25 20:45:59,-1.0,0.1,15.77,21.88
Flower power 5F14,PI040298AD5I212921,2018-08-25 21:00:59,-1.0,0.1,16.02,21.6
Flower power 5F14,PI040298AD5I212921,2018-08-25 21:15:59,-1.0,0.1,15.89,21.12
Flower power 5F14,PI040298AD5I212921,2018-08-25 21:30:59,-1.0,0.1,16.27,20.74
Flower power 5F14,PI040298AD5I212921,2018-08-25 21:45:59,-1.0,0.1,16.14,20.3
Flower power 5F14,PI040298AD5I212921,2018-08-25 22:00:59,-1.0,0.1,16.27,21.12
Flower power 5F14,PI040298AD5I212921,2018-08-25 22:15:59,-1.0,0.1,15.64,20.55
Flower power 5F14,PI040298AD5I212921,2018-08-25 22:30:59,-1.0,0.1,15.64,20.06
Flower power 5F14,PI040298AD5I212921,2018-08-25 22:45:59,-1.0,0.1,16.02,20.21
Flower power 5F14,PI040298AD5I212921,2018-08-25 23:00:59,-1.0,0.1,15.64,19.77
Flower power 5F14,PI040298AD5I212921,2018-08-25 23:15:59,-1.0,0.1,16.14,19.53
Flower power 5F14,PI040298AD5I212921,2018-08-25 23:30:59,-1.0,0.1,15.89,18.98
Flower power 5F14,PI040298AD5I212921,2018-08-25 23:45:59,-1.0,0.1,15.77,19.96
Flower power 5F14,PI040298AD5I212921,2018-08-26 00:00:59,-1.0,0.1,16.14,20.3
Flower power 5F14,PI040298AD5I212921,2018-08-26 00:15:59,-1.0,0.1,15.77,20.16
Flower power 5F14,PI040298AD5I212921,2018-08-26 00:30:59,-1.0,0.1,16.27,20.01
Flower power 5F14,PI040298AD5I212921,2018-08-26 00:45:59,-1.0,0.1,15.9,20.16
Flower power 5F14,PI040298AD5I212921,2018-08-26 01:00:59,-1.0,0.1,15.64,19.72
Flower power 5F14,PI040298AD5I212921,2018-08-26 01:15:59,-1.0,0.1,15.77,19.62
Flower power 5F14,PI040298AD5I212921,2018-08-26 01:30:59,-1.0,0.1,16.02,19.43
Flower power 5F14,PI040298AD5I212921,2018-08-26 01:45:59,-1.0,0.1,16.15,18.88
Flower power 5F14,PI040298AD5I212921,2018-08-26 02:00:59,-1.0,0.1,16.02,18.78
Flower power 5F14,PI040298AD5I212921,2018-08-26 02:15:59,-1.0,0.1,15.77,18.69
Flower power 5F14,PI040298AD5I212921,2018-08-26 02:30:59,-1.0,0.1,16.28,19.03
Flower power 5F14,PI040298AD5I212921,2018-08-26 02:45:59,-1.0,0.1,16.28,18.78
Flower power 5F14,PI040298AD5I212921,2018-08-26 03:00:59,-1.0,0.1,15.77,18.49
Flower power 5F14,PI040298AD5I212921,2018-08-26 03:15:59,-1.0,0.1,15.78,18.39
Flower power 5F14,PI040298AD5I212921,2018-08-26 03:30:59,-1.0,0.1,16.16,18.29
Flower power 5F14,PI040298AD5I212921,2018-08-26 03:45:59,-1.0,0.1,16.28,17.48
Flower power 5F14,PI040298AD5I212921,2018-08-26 04:00:59,-1.0,0.1,15.9,17.27
Flower power 5F14,PI040298AD5I212921,2018-08-26 04:15:59,-1.0,0.1,15.9,16.97
Flower power 5F14,PI040298AD5I212921,2018-08-26 04:30:59,-1.0,0.1,16.16,16.81
Flower power 5F14,PI040298AD5I212921,2018-08-26 04:45:59,-1.0,0.1,16.16,15.77
Flower power 5F14,PI040298AD5I212921,2018-08-26 05:00:59,-1.0,0.1,16.29,15.13
Flower power 5F14,PI040298AD5I212921,2018-08-26 05:15:59,-1.0,0.1,15.78,16.03
Flower power 5F14,PI040298AD5I212921,2018-08-26 05:30:59,-1.0,0.1,16.04,16.55
Flower power 5F14,PI040298AD5I212921,2018-08-26 05:45:59,-1.0,0.1,16.29,17.38
Flower power 5F14,PI040298AD5I212921,2018-08-26 06:00:59,-1.0,0.59,16.04,17.83
Flower power 5F14,PI040298AD5I212921,2018-08-26 06:15:59,-1.0,2.0,15.79,18.08
Flower power 5F14,PI040298AD5I212921,2018-08-26 06:30:40,-1.0,4.21,16.17,18.74
Flower power 5F14,PI040298AD5I212921,2018-08-26 06:45:40,-1.0,6.43,16.42,19.92
Flower power 5F14,PI040298AD5I212921,2018-08-26 07:00:40,-1.0,17.84,16.04,24.38
Flower power 5F14,PI040298AD5I212921,2018-08-26 07:15:40,-1.0,28.85,16.04,29.61
Flower power 5F14,PI040298AD5I212921,2018-08-26 07:30:40,-1.0,44.76,16.04,34.1
Flower power 5F14,PI040298AD5I212921,2018-08-26 07:45:40,-1.0,34.97,15.66,38.6
Flower power 5F14,PI040298AD5I212921,2018-08-26 08:00:40,-1.0,58.07,15.79,41.96
Flower power 5F14,PI040298AD5I212921,2018-08-26 08:15:40,-1.0,77.24,16.04,44.16
Flower power 5F14,PI040298AD5I212921,2018-08-26 08:30:40,-1.0,101.69,16.03,45.6
Flower power 5F14,PI040298AD5I212921,2018-08-26 08:45:40,-1.0,115.35,15.9,47.47
Flower power 5F14,PI040298AD5I212921,2018-08-26 09:00:40,-1.0,127.5,15.77,50.18
Flower power 5F14,PI040298AD5I212921,2018-08-26 09:15:40,-1.0,134.55,15.77,52.42
Flower power 5F14,PI040298AD5I212921,2018-08-26 09:30:40,-1.0,142.41,15.89,54.33
Flower power 5F14,PI040298AD5I212921,2018-08-26 09:45:40,-1.0,145.8,15.89,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-26 10:00:40,-1.0,151.2,16.02,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-26 10:15:40,-1.0,157.01,16.02,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-26 10:30:40,-1.0,159.04,15.77,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-26 10:45:40,-1.0,163.26,15.77,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-26 11:00:40,-1.0,165.45,15.89,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-26 11:15:40,-1.0,167.7,16.14,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-26 11:30:40,-1.0,167.7,15.89,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-26 11:45:40,-1.0,167.7,16.02,55.0
Flower power 5F14,PI040298AD5I212921,2018-08-26 12:00:40,-1.0,167.7,16.02,55.0
