NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5FA9,PI040298AD5I212109,2018-08-21 16:23:50,0.0,47.45,17.04,42.47
Flower power 5FA9,PI040298AD5I212109,2018-08-21 16:38:50,0.0,46.43,17.3,43.18
Flower power 5FA9,PI040298AD5I212109,2018-08-21 16:53:50,0.0,35.24,17.42,41.31
Flower power 5FA9,PI040298AD5I212109,2018-08-21 17:08:50,0.0,52.27,17.68,41.46
Flower power 5FA9,PI040298AD5I212109,2018-08-21 17:23:50,0.0,19.15,17.42,37.61
Flower power 5FA9,PI040298AD5I212109,2018-08-21 17:38:50,0.0,14.21,17.68,31.82
Flower power 5FA9,PI040298AD5I212109,2018-08-21 17:53:50,0.0,12.23,17.94,30.63
Flower power 5FA9,PI040298AD5I212109,2018-08-21 18:08:50,0.0,10.46,17.42,29.7
Flower power 5FA9,PI040298AD5I212109,2018-08-21 18:23:50,0.0,8.46,17.68,29.17
Flower power 5FA9,PI040298AD5I212109,2018-08-21 18:38:50,0.0,6.05,17.94,28.24
Flower power 5FA9,PI040298AD5I212109,2018-08-21 18:53:50,0.0,3.54,17.94,27.27
Flower power 5FA9,PI040298AD5I212109,2018-08-21 19:08:50,0.0,1.4,17.68,26.06
Flower power 5FA9,PI040298AD5I212109,2018-08-21 19:23:50,0.0,0.27,18.07,25.2
Flower power 5FA9,PI040298AD5I212109,2018-08-21 19:38:50,0.0,0.1,17.68,24.29
Flower power 5FA9,PI040298AD5I212109,2018-08-21 19:53:50,0.0,0.1,17.55,23.93
Flower power 5FA9,PI040298AD5I212109,2018-08-21 20:08:50,0.0,0.1,17.42,23.74
Flower power 5FA9,PI040298AD5I212109,2018-08-21 20:23:50,0.0,0.1,17.94,23.14
Flower power 5FA9,PI040298AD5I212109,2018-08-21 20:38:50,0.0,0.1,17.94,23.05
Flower power 5FA9,PI040298AD5I212109,2018-08-21 20:53:50,0.0,0.1,18.07,22.54
Flower power 5FA9,PI040298AD5I212109,2018-08-21 21:08:50,0.0,0.1,17.68,22.54
Flower power 5FA9,PI040298AD5I212109,2018-08-21 21:23:50,0.0,0.1,17.81,22.82
Flower power 5FA9,PI040298AD5I212109,2018-08-21 21:38:50,0.0,0.1,17.94,22.21
Flower power 5FA9,PI040298AD5I212109,2018-08-21 21:53:50,0.0,0.1,17.81,22.16
Flower power 5FA9,PI040298AD5I212109,2018-08-21 22:08:50,0.0,0.1,17.81,22.35
Flower power 5FA9,PI040298AD5I212109,2018-08-21 22:23:50,0.0,0.1,17.81,22.16
Flower power 5FA9,PI040298AD5I212109,2018-08-21 22:38:50,0.0,0.1,17.55,22.44
Flower power 5FA9,PI040298AD5I212109,2018-08-21 22:53:50,0.0,0.1,17.81,21.31
Flower power 5FA9,PI040298AD5I212109,2018-08-21 23:08:50,0.0,0.1,17.55,20.98
Flower power 5FA9,PI040298AD5I212109,2018-08-21 23:23:50,0.0,0.1,17.81,20.59
Flower power 5FA9,PI040298AD5I212109,2018-08-21 23:38:50,0.0,0.1,17.55,20.21
Flower power 5FA9,PI040298AD5I212109,2018-08-21 23:53:50,0.0,0.1,17.68,19.96
Flower power 5FA9,PI040298AD5I212109,2018-08-22 00:08:50,0.0,0.1,17.3,19.96
Flower power 5FA9,PI040298AD5I212109,2018-08-22 00:23:50,0.0,0.1,17.55,19.92
Flower power 5FA9,PI040298AD5I212109,2018-08-22 00:38:50,0.0,0.1,17.81,20.4
Flower power 5FA9,PI040298AD5I212109,2018-08-22 00:53:50,0.0,0.1,17.81,19.43
Flower power 5FA9,PI040298AD5I212109,2018-08-22 01:08:50,0.0,0.1,17.81,18.93
Flower power 5FA9,PI040298AD5I212109,2018-08-22 01:23:50,0.0,0.1,17.42,18.59
Flower power 5FA9,PI040298AD5I212109,2018-08-22 01:38:50,0.0,0.1,17.42,18.19
Flower power 5FA9,PI040298AD5I212109,2018-08-22 01:53:50,0.0,0.1,17.3,17.93
Flower power 5FA9,PI040298AD5I212109,2018-08-22 02:08:50,0.0,0.1,17.55,17.68
Flower power 5FA9,PI040298AD5I212109,2018-08-22 02:23:50,0.0,0.1,17.42,17.17
Flower power 5FA9,PI040298AD5I212109,2018-08-22 02:38:50,0.0,0.1,17.3,16.91
Flower power 5FA9,PI040298AD5I212109,2018-08-22 02:53:50,0.0,0.1,17.55,16.81
Flower power 5FA9,PI040298AD5I212109,2018-08-22 03:08:50,0.0,0.1,17.55,16.6
Flower power 5FA9,PI040298AD5I212109,2018-08-22 03:23:50,0.0,0.1,17.42,16.45
Flower power 5FA9,PI040298AD5I212109,2018-08-22 03:38:50,0.0,0.1,17.17,16.4
Flower power 5FA9,PI040298AD5I212109,2018-08-22 03:53:50,0.0,0.1,17.68,16.08
Flower power 5FA9,PI040298AD5I212109,2018-08-22 04:08:50,0.0,0.1,17.3,15.98
Flower power 5FA9,PI040298AD5I212109,2018-08-22 04:23:50,0.0,0.1,17.42,15.66
Flower power 5FA9,PI040298AD5I212109,2018-08-22 04:38:50,0.0,0.1,17.68,15.98
Flower power 5FA9,PI040298AD5I212109,2018-08-22 04:53:50,0.0,0.1,17.42,15.87
Flower power 5FA9,PI040298AD5I212109,2018-08-22 05:08:50,0.0,0.1,17.04,16.29
Flower power 5FA9,PI040298AD5I212109,2018-08-22 05:23:50,0.0,0.1,17.42,16.4
Flower power 5FA9,PI040298AD5I212109,2018-08-22 05:38:50,0.0,0.1,17.42,16.19
Flower power 5FA9,PI040298AD5I212109,2018-08-22 05:53:50,0.0,0.38,17.68,16.34
Flower power 5FA9,PI040298AD5I212109,2018-08-22 06:08:50,0.0,1.76,17.17,17.27
Flower power 5FA9,PI040298AD5I212109,2018-08-22 06:23:50,0.0,4.33,17.04,18.24
Flower power 5FA9,PI040298AD5I212109,2018-08-22 06:38:50,0.0,7.81,17.3,19.38
Flower power 5FA9,PI040298AD5I212109,2018-08-22 06:53:50,0.0,10.46,17.55,20.5
Flower power 5FA9,PI040298AD5I212109,2018-08-22 07:08:50,0.0,13.84,17.17,22.63
Flower power 5FA9,PI040298AD5I212109,2018-08-22 07:23:50,0.0,30.73,17.04,28.33
Flower power 5FA9,PI040298AD5I212109,2018-08-22 07:38:50,0.0,47.24,17.3,30.5
Flower power 5FA9,PI040298AD5I212109,2018-08-22 07:53:50,0.0,54.09,17.17,33.56
Flower power 5FA9,PI040298AD5I212109,2018-08-22 08:08:50,0.0,60.72,17.55,37.15
Flower power 5FA9,PI040298AD5I212109,2018-08-22 08:23:50,0.0,33.46,17.55,38.79
Flower power 5FA9,PI040298AD5I212109,2018-08-22 08:38:50,0.0,55.47,17.55,40.67
Flower power 5FA9,PI040298AD5I212109,2018-08-22 08:53:50,0.0,90.59,17.17,43.28
Flower power 5FA9,PI040298AD5I212109,2018-08-22 09:08:50,0.0,99.42,17.55,45.06
Flower power 5FA9,PI040298AD5I212109,2018-08-22 09:23:50,0.0,38.99,17.68,40.43
Flower power 5FA9,PI040298AD5I212109,2018-08-22 09:38:50,0.0,83.16,17.55,45.49
Flower power 5FA9,PI040298AD5I212109,2018-08-22 09:53:50,0.0,125.97,17.3,47.69
Flower power 5FA9,PI040298AD5I212109,2018-08-22 10:08:50,0.0,133.32,17.81,50.12
Flower power 5FA9,PI040298AD5I212109,2018-08-22 10:23:50,0.0,138.14,17.55,51.56
Flower power 5FA9,PI040298AD5I212109,2018-08-22 10:38:50,0.0,143.32,17.81,51.81
Flower power 5FA9,PI040298AD5I212109,2018-08-22 10:53:50,0.0,148.89,17.68,52.36
Flower power 5FA9,PI040298AD5I212109,2018-08-22 11:08:50,0.0,152.84,17.94,53.37
Flower power 5FA9,PI040298AD5I212109,2018-08-22 11:23:50,0.0,157.0,17.81,53.49
Flower power 5FA9,PI040298AD5I212109,2018-08-22 11:38:50,0.0,159.16,18.07,53.62
Flower power 5FA9,PI040298AD5I212109,2018-08-22 11:53:50,0.0,159.16,17.94,54.2
Flower power 5FA9,PI040298AD5I212109,2018-08-22 12:08:50,0.0,161.39,17.94,53.3
Flower power 5FA9,PI040298AD5I212109,2018-08-22 12:23:50,0.0,161.39,18.2,53.56
Flower power 5FA9,PI040298AD5I212109,2018-08-22 12:38:50,0.0,161.39,17.81,53.43
Flower power 5FA9,PI040298AD5I212109,2018-08-22 12:53:50,0.0,161.39,18.2,54.01
Flower power 5FA9,PI040298AD5I212109,2018-08-22 13:08:50,0.0,161.39,18.07,54.26
Flower power 5FA9,PI040298AD5I212109,2018-08-22 13:23:50,0.0,157.0,18.07,53.94
Flower power 5FA9,PI040298AD5I212109,2018-08-22 13:38:50,0.0,152.84,18.2,54.14
Flower power 5FA9,PI040298AD5I212109,2018-08-22 13:53:50,0.0,148.89,18.45,53.56
Flower power 5FA9,PI040298AD5I212109,2018-08-22 14:08:50,0.0,145.13,18.32,51.68
Flower power 5FA9,PI040298AD5I212109,2018-08-22 14:23:50,0.0,113.4,18.2,50.24
Flower power 5FA9,PI040298AD5I212109,2018-08-22 14:38:50,0.0,106.97,18.58,50.0
Flower power 5FA9,PI040298AD5I212109,2018-08-22 14:53:50,0.0,131.78,18.2,50.89
Flower power 5FA9,PI040298AD5I212109,2018-08-22 15:08:50,0.0,123.24,18.45,51.02
Flower power 5FA9,PI040298AD5I212109,2018-08-22 15:23:50,0.0,115.71,18.45,49.88
Flower power 5FA9,PI040298AD5I212109,2018-08-22 15:38:50,0.0,97.69,18.45,48.83
Flower power 5FA9,PI040298AD5I212109,2018-08-22 15:53:50,0.0,74.76,18.45,45.71
Flower power 5FA9,PI040298AD5I212109,2018-08-22 16:08:50,0.0,63.18,18.45,42.72
Flower power 5FA9,PI040298AD5I212109,2018-08-22 16:23:50,0.0,61.41,18.45,44.53
Flower power 5FA9,PI040298AD5I212109,2018-08-22 16:38:50,0.0,59.4,18.58,44.32
Flower power 5FA9,PI040298AD5I212109,2018-08-22 16:53:50,0.0,34.0,18.58,42.21
Flower power 5FA9,PI040298AD5I212109,2018-08-22 17:08:50,0.0,33.46,18.2,41.07
Flower power 5FA9,PI040298AD5I212109,2018-08-22 17:23:50,0.0,18.19,18.71,36.18
Flower power 5FA9,PI040298AD5I212109,2018-08-22 17:38:50,0.0,15.45,18.07,31.6
Flower power 5FA9,PI040298AD5I212109,2018-08-22 17:53:50,0.0,12.22,18.58,30.1
Flower power 5FA9,PI040298AD5I212109,2018-08-22 18:08:50,0.0,9.31,18.32,28.29
Flower power 5FA9,PI040298AD5I212109,2018-08-22 18:23:50,0.0,7.8,18.2,27.44
Flower power 5FA9,PI040298AD5I212109,2018-08-22 18:38:50,0.0,5.7,18.45,26.64
Flower power 5FA9,PI040298AD5I212109,2018-08-22 18:53:50,0.0,3.24,18.07,25.92
Flower power 5FA9,PI040298AD5I212109,2018-08-22 19:08:50,0.0,1.2,18.2,24.89
Flower power 5FA9,PI040298AD5I212109,2018-08-22 19:23:50,0.0,0.22,17.94,24.16
Flower power 5FA9,PI040298AD5I212109,2018-08-22 19:38:50,0.0,0.1,18.32,22.96
